player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,74.0,74.0,95.0,4.0,0.0,73.0,73.0,27.5,37.2,10,2016
Alex Smith,QB,KC,1.0,64.0,64.0,100.0,6.0,0.0,66.0,66.0,8.4,13.1,10,2016
Ben Roethlisberger,QB,PIT,1.0,73.0,73.0,99.0,1.0,0.0,64.0,64.0,28.4,38.9,10,2016
Danny Amendola,WR,NE,1.0,26.0,26.0,39.0,0.0,4.0,4.0,4.0,1.4,5.4,10,2016
Darren Sproles,RB,PHI,1.0,31.0,31.0,39.0,6.0,32.0,32.0,39.0,7.6,24.5,10,2016
Drew Brees,QB,NO,1.0,51.0,51.0,100.0,4.0,0.0,61.0,61.0,21.0,41.2,10,2016
Eli Manning,QB,NYG,1.0,75.0,75.0,100.0,4.0,0.0,63.0,63.0,18.0,24.0,10,2016
Greg Olsen,TE,CAR,1.0,73.0,73.0,100.0,0.0,11.0,7.0,11.0,3.9,5.3,10,2016
Jason Witten,TE,DAL,1.0,65.0,65.0,100.0,0.0,12.0,9.0,12.0,5.9,9.1,10,2016
Joe Flacco,QB,BAL,1.0,77.0,77.0,94.0,1.0,0.0,55.0,55.0,22.1,28.7,10,2016
Josh McCown,QB,CLE,1.0,20.0,20.0,40.0,0.0,0.0,65.0,65.0,-3.6,-18.0,10,2016
Julian Edelman,WR,NE,1.0,52.0,52.0,79.0,0.0,17.0,13.0,17.0,7.9,15.2,10,2016
Larry Fitzgerald,WR,ARI,1.0,69.0,69.0,87.0,0.0,26.0,17.0,26.0,13.3,19.3,10,2016
Marcedes Lewis,TE,JAC,1.0,34.0,34.0,44.0,0.0,12.0,9.0,12.0,-0.1,-0.3,10,2016
Matt Ryan,QB,ATL,1.0,50.0,50.0,100.0,0.0,0.0,66.0,66.0,12.7,25.4,10,2016
Matthew Slater,WR,NE,1.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2016
Philip Rivers,QB,SD,1.0,77.0,77.0,100.0,0.0,0.0,57.0,57.0,17.0,22.1,10,2016
Ted Ginn Jr.,WR,CAR,1.0,53.0,53.0,73.0,2.0,15.0,11.0,17.0,4.5,8.5,10,2016
Tom Brady,QB,NE,1.0,66.0,66.0,100.0,8.0,0.0,56.0,56.0,11.3,17.1,10,2016
Vernon Davis,TE,WAS,1.0,34.0,34.0,53.0,0.0,9.0,9.0,9.0,12.6,37.1,10,2016
Dez Bryant,WR,DAL,1.0,58.0,58.0,89.0,0.0,16.0,10.0,16.0,17.6,30.3,10,2016
