player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,71.0,71.0,100.0,8.0,0.0,63.0,63.0,23.1,32.5,12,2016
Alex Smith,QB,KC,1.0,85.0,85.0,100.0,2.0,0.0,54.0,54.0,15.0,17.6,12,2016
Ben Roethlisberger,QB,PIT,1.0,49.0,49.0,91.0,0.0,0.0,41.0,41.0,20.8,42.4,12,2016
Danny Amendola,WR,NE,1.0,17.0,17.0,23.0,0.0,6.0,6.0,6.0,0.8,4.7,12,2016
Darren Sproles,RB,PHI,1.0,31.0,31.0,53.0,10.0,23.0,26.0,32.0,5.4,17.4,12,2016
DeSean Jackson,WR,WAS,1.0,56.0,56.0,75.0,0.0,14.0,7.0,14.0,17.8,31.8,12,2016
Drew Brees,QB,NO,1.0,74.0,74.0,100.0,1.0,0.0,50.0,50.0,32.5,43.9,12,2016
Eli Manning,QB,NYG,1.0,56.0,56.0,100.0,4.0,0.0,52.0,52.0,19.6,35.0,12,2016
Frank Gore,RB,IND,1.0,35.0,35.0,56.0,43.0,3.0,46.0,46.0,3.1,8.9,12,2016
Greg Olsen,TE,CAR,1.0,65.0,65.0,100.0,0.0,8.0,6.0,8.0,4.5,6.9,12,2016
Jared Cook,TE,GB,1.0,33.0,33.0,46.0,0.0,6.0,3.0,6.0,0.7,2.1,12,2016
Jason Witten,TE,DAL,1.0,56.0,56.0,100.0,0.0,5.0,5.0,5.0,3.3,5.9,12,2016
Joe Flacco,QB,BAL,1.0,68.0,68.0,100.0,3.0,0.0,56.0,56.0,13.3,19.6,12,2016
Josh McCown,QB,CLE,1.0,74.0,74.0,99.0,0.0,0.0,58.0,58.0,12.9,17.4,12,2016
Julian Edelman,WR,NE,1.0,66.0,66.0,90.0,0.0,17.0,12.0,17.0,8.3,12.6,12,2016
Larry Fitzgerald,WR,ARI,1.0,64.0,64.0,97.0,0.0,6.0,6.0,6.0,5.3,8.3,12,2016
LeSean McCoy,RB,BUF,1.0,40.0,40.0,73.0,48.0,5.0,53.0,53.0,27.4,68.5,12,2016
Matt Ryan,QB,ATL,1.0,70.0,70.0,100.0,6.0,0.0,54.0,54.0,18.3,26.1,12,2016
Matthew Stafford,QB,DET,1.0,61.0,61.0,100.0,7.0,0.0,72.0,72.0,16.3,26.7,12,2016
Michael Crabtree,WR,OAK,1.0,65.0,65.0,88.0,0.0,20.0,12.0,20.0,11.0,16.9,12,2016
Philip Rivers,QB,SD,1.0,56.0,56.0,100.0,0.0,0.0,54.0,54.0,19.7,35.2,12,2016
Ryan Fitzpatrick,QB,NYJ,1.0,57.0,57.0,100.0,4.0,0.0,60.0,60.0,16.9,29.6,12,2016
Ted Ginn Jr.,WR,CAR,1.0,41.0,41.0,63.0,2.0,24.0,12.0,27.0,18.8,45.9,12,2016
Tom Brady,QB,NE,1.0,73.0,73.0,100.0,4.0,0.0,73.0,73.0,19.0,26.0,12,2016
Vernon Davis,TE,WAS,1.0,46.0,46.0,61.0,0.0,15.0,11.0,15.0,6.8,14.8,12,2016
Dez Bryant,WR,DAL,1.0,43.0,43.0,77.0,0.0,16.0,12.0,16.0,7.2,16.7,12,2016
Golden Tate,WR,DET,1.0,51.0,51.0,84.0,0.0,14.0,10.0,14.0,7.7,15.1,12,2016
Andre Roberts,WR,DET,1.0,16.0,16.0,26.0,0.0,25.0,13.0,25.0,1.9,11.9,12,2016
Emmanuel Sanders,WR,DEN,1.0,73.0,73.0,91.0,0.0,14.0,10.0,14.0,22.2,30.4,12,2016
Jimmy Graham,TE,SEA,1.0,63.0,63.0,100.0,0.0,11.0,10.0,11.0,4.7,7.5,12,2016
Joe Webb III,QB,CAR,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2016
Rob Gronkowski,TE,NE,1.0,7.0,7.0,10.0,0.0,29.0,0.0,29.0,0.0,0.0,12,2016
Antonio Brown,WR,PIT,1.0,49.0,49.0,91.0,0.0,12.0,10.0,12.0,27.1,55.3,12,2016
Logan Paulsen,TE,CHI,1.0,33.0,33.0,41.0,0.0,3.0,0.0,3.0,0.0,0.0,12,2016
Julio Jones,WR,ATL,1.0,57.0,57.0,81.0,0.0,12.0,7.0,12.0,3.5,6.1,12,2016
Cam Newton,QB,CAR,1.0,65.0,65.0,100.0,5.0,0.0,49.0,49.0,20.4,31.4,12,2016
Mark Ingram II,RB,NO,1.0,42.0,42.0,57.0,33.0,5.0,36.0,38.0,28.7,68.3,12,2016
Randall Cobb,WR,GB,1.0,56.0,56.0,79.0,0.0,13.0,11.0,13.0,4.1,7.3,12,2016
Kyle Rudolph,TE,MIN,1.0,51.0,51.0,88.0,0.0,20.0,18.0,20.0,6.4,12.5,12,2016
Andy Dalton,QB,CIN,1.0,75.0,75.0,100.0,4.0,0.0,68.0,68.0,12.7,16.9,12,2016
Lance Kendricks,TE,LAR,1.0,36.0,36.0,68.0,0.0,19.0,11.0,19.0,11.1,30.8,12,2016
Luke Stocker,TE,TB,1.0,38.0,38.0,57.0,0.0,3.0,3.0,3.0,0.3,0.8,12,2016
Taiwan Jones,RB,OAK,1.0,4.0,4.0,5.0,0.0,25.0,25.0,25.0,1.5,37.5,12,2016
Anthony Sherman,RB,KC,1.0,17.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2016
Dion Lewis,RB,NE,1.0,23.0,23.0,32.0,26.0,30.0,43.0,57.0,5.8,25.2,12,2016
Dwayne Harris,WR,NYG,1.0,6.0,6.0,11.0,0.0,17.0,17.0,17.0,7.3,121.7,12,2016
Tyrod Taylor,QB,BUF,1.0,55.0,55.0,100.0,13.0,0.0,45.0,45.0,20.4,37.1,12,2016
Virgil Green,TE,DEN,1.0,50.0,50.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2016
Ryan Tannehill,QB,MIA,1.0,59.0,59.0,100.0,10.0,0.0,61.0,61.0,26.8,45.4,12,2016
Kirk Cousins,QB,WAS,1.0,75.0,75.0,100.0,1.0,0.0,72.0,72.0,30.2,40.3,12,2016
Russell Wilson,QB,SEA,1.0,63.0,63.0,100.0,13.0,0.0,65.0,65.0,10.0,15.9,12,2016
Lamar Miller,RB,HOU,1.0,48.0,48.0,70.0,40.0,8.0,46.0,48.0,5.5,11.5,12,2016
Mohamed Sanu Sr.,WR,ATL,1.0,62.0,62.0,89.0,2.0,13.0,15.0,15.0,7.0,11.3,12,2016
T.Y. Hilton,WR,IND,1.0,25.0,25.0,40.0,0.0,20.0,12.0,20.0,5.4,21.6,12,2016
Travis Benjamin,WR,SD,1.0,37.0,37.0,66.0,0.0,5.0,3.0,5.0,0.8,2.2,12,2016
Marvin Jones Jr.,WR,DET,1.0,59.0,59.0,97.0,0.0,19.0,7.0,19.0,5.4,9.2,12,2016
Rhett Ellison,TE,MIN,1.0,23.0,23.0,40.0,0.0,9.0,4.0,9.0,2.1,9.1,12,2016
Alfred Morris,RB,DAL,1.0,5.0,5.0,9.0,20.0,0.0,20.0,20.0,1.2,24.0,12,2016
Derek Carrier,TE,WAS,1.0,15.0,15.0,20.0,0.0,7.0,7.0,7.0,0.4,2.7,12,2016
Cole Beasley,WR,DAL,1.0,35.0,35.0,63.0,0.0,17.0,14.0,17.0,5.6,16.0,12,2016
Chris Hogan,WR,NE,1.0,67.0,67.0,92.0,0.0,7.0,6.0,7.0,7.0,10.4,12,2016
Garrett Celek,TE,SF,1.0,33.0,33.0,42.0,0.0,9.0,6.0,9.0,5.9,17.9,12,2016
Jermaine Kearse,WR,SEA,1.0,50.0,50.0,79.0,0.0,10.0,2.0,10.0,1.8,3.6,12,2016
Josh Bellamy,WR,CHI,1.0,46.0,46.0,58.0,0.0,20.0,9.0,20.0,4.1,8.9,12,2016
Travis Kelce,TE,KC,1.0,77.0,77.0,91.0,0.0,19.0,10.0,19.0,10.1,13.1,12,2016
