player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
A.J. Green,9.0,13.0,162.0,18.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,28.2,WR,1,2013,CIN,CHI,False,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Jarius Wright,1.0,2.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2013,MIN,CHI,False,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Cordarrelle Patterson,2.0,2.0,14.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2013,MIN,CHI,False,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Jerome Simpson,2.0,5.0,49.0,24.5,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2013,MIN,CHI,False,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Greg Jennings,5.0,6.0,84.0,16.8,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2013,MIN,CHI,False,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Antonio Brown,9.0,13.0,196.0,21.8,45.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,31.6,WR,3,2013,PIT,CHI,True,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Emmanuel Sanders,4.0,8.0,39.0,9.8,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,WR,3,2013,PIT,CHI,True,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Jerricho Cotchery,3.0,4.0,52.0,17.3,26.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,3,2013,PIT,CHI,True,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Kris Durham,3.0,4.0,58.0,19.3,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2013,DET,CHI,True,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
Calvin Johnson,4.0,10.0,44.0,11.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2013,DET,CHI,True,315.0,507.0,62.1,3730.0,7.7,233.1,48.0,25.0,19.0,31.0,189.0,86.9,483.0,2583.0,5.3,161.4,65.0,22.0,11.0,3.0,315.0,3919.0,12.4,244.9,48.0,25.0,5.0,2.0,353.0,147.0,184.0,22.0,83.0,200.0,41.5,12.0,16.0,75.0,69.0,647.0
