player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Jason Witten,8.0,9.0,70.0,8.8,21.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,19.0,TE,1,2013,DAL,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Gavin Escobar,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,1,2013,DAL,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Virgil Green,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,TE,2,2013,DEN,NYG,False,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Julius Thomas,6.0,9.0,47.0,7.8,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2013,DEN,NYG,False,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Greg Olsen,4.0,8.0,54.0,13.5,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,TE,3,2013,CAR,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Richie Brockel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,TE,3,2013,CAR,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Kevin Brock,2.0,2.0,27.0,13.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,4,2013,KC,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Sean McGrath,5.0,5.0,64.0,12.8,23.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,4,2013,KC,NYG,True,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Zach Ertz,2.0,3.0,38.0,19.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,TE,5,2013,PHI,NYG,False,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
Brent Celek,3.0,3.0,47.0,15.7,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,5,2013,PHI,NYG,False,361.0,601.0,60.1,3573.0,6.3,223.3,56.0,21.0,17.0,34.0,214.0,78.3,454.0,1743.0,3.8,108.9,34.0,12.0,6.0,3.0,361.0,3787.0,10.5,236.7,56.0,21.0,4.0,1.0,327.0,101.0,198.0,28.0,93.0,232.0,40.1,4.0,15.0,26.7,105.0,904.0
