,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Darren Waller(LV),7,8,126,18.0,48,1,2,0,0,0,0,1,24.6,24.6,92.6%
1,2,Eric Ebron(PIT),4,5,70,17.5,33,1,1,0,0,0,0,1,13.0,13.0,3.0%
2,3,Jimmy Graham(CHI),4,4,65,16.3,29,2,1,0,0,0,0,1,12.5,12.5,0.8%
3,4,Kyle Rudolph(NYG),5,6,58,11.6,15,0,1,0,0,0,0,1,11.8,11.8,0.3%
4,5,Gerald Everett(SEA),4,10,50,12.5,33,1,1,0,0,0,0,1,11.0,11.0,35.7%
5,6,Dallas Goedert(PHI),4,4,69,17.3,28,2,1,0,0,0,1,1,10.9,10.9,89.8%
6,7,Austin Hooper(CLE),4,5,46,11.5,19,0,1,0,0,0,0,1,10.6,10.6,28.8%
7,8,Josh Hill(FA),3,3,43,14.3,27,1,1,0,0,0,0,1,10.3,10.3,0.0%
8,9,Hunter Henry(NE),6,8,97,16.2,23,3,0,0,0,0,0,1,9.7,9.7,65.9%
9,10,Rhett Ellison(FA),2,2,33,16.5,28,1,1,0,0,0,0,1,9.3,9.3,0.0%
10,11,Foster Moreau(LV),2,3,24,12.0,14,0,1,0,0,0,0,1,8.4,8.4,23.7%
11,12,Jonnu Smith(NE),3,3,64,21.3,35,2,0,0,0,0,0,1,6.4,6.4,22.7%
12,13,Blake Jarwin(DAL),1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,2.7%
13,14,Irv Smith Jr.(MIN),5,6,60,12.0,28,1,0,0,0,0,0,1,6.0,6.0,7.3%
14,15,Travis Kelce(KC),6,8,44,7.3,13,0,0,0,0,0,0,1,4.4,4.4,100.0%
15,16,Adam Shaheen(MIA),2,2,24,12.0,18,0,0,0,0,0,0,1,4.4,4.4,0.0%
16,17,Mike Gesicki(MIA),4,4,41,10.3,17,0,0,0,0,0,0,1,4.1,4.1,87.6%
17,18,Mark Andrews(BAL),2,8,39,19.5,33,1,0,0,0,0,0,1,3.9,3.9,99.9%
18,19,George Kittle(SF),3,5,38,12.7,16,0,0,2,0,0,0,1,3.8,3.8,99.7%
19,20,Zach Ertz(ARI),2,6,38,19.0,24,1,0,0,0,0,0,1,3.8,3.8,85.8%
20,21,Jason Witten(FA),4,4,33,8.3,10,0,0,0,0,0,0,1,3.3,3.3,0.1%
