rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Justin Tucker,4,4,100.0,57,0,0,1,0,3,1,1,1,19.0,19.0,98.0,BAL,12,K
2,Matt Prater,3,3,100.0,48,0,1,0,2,0,1,1,1,12.0,12.0,52.8,ARI,12,K
3,Stephen Gostkowski,3,4,75.0,41,0,2,0,1,0,1,1,1,11.0,11.0,0.1,FA,12,K
4,Caleb Sturgis,2,2,100.0,50,0,0,0,1,1,1,1,1,10.0,10.0,0.0,FA,12,K
5,Brandon McManus,2,3,66.7,44,0,0,1,1,0,3,3,1,10.0,10.0,44.3,DEN,12,K
6,Ryan Succop,2,2,100.0,31,1,0,1,0,0,3,3,1,9.0,9.0,57.4,TB,12,K
7,Sebastian Janikowski,2,2,100.0,23,0,2,0,0,0,3,3,1,9.0,9.0,20.0,FA,12,K
8,Mason Crosby,2,2,100.0,33,0,0,2,0,0,3,3,1,9.0,9.0,40.7,GB,12,K
9,Matt Bryant,1,1,100.0,45,0,0,0,1,0,5,5,1,9.0,9.0,1.1,FA,12,K
10,Chandler Catanzaro,2,2,100.0,54,0,1,0,0,1,1,1,1,9.0,9.0,0.0,FA,12,K
11,Dustin Hopkins,2,4,50.0,24,0,2,0,0,0,2,2,1,8.0,8.0,14.5,LAC,12,K
12,Cairo Santos,2,2,100.0,37,0,0,2,0,0,2,2,1,8.0,8.0,2.1,CHI,12,K
13,Dan Bailey,1,1,100.0,46,0,0,0,1,0,4,4,1,8.0,8.0,0.0,FA,12,K
14,Nick Novak,2,2,100.0,45,1,0,0,1,0,1,1,1,8.0,8.0,0.1,FA,12,K
15,Wil Lutz,0,0,0.0,0,0,0,0,0,0,7,7,1,7.0,7.0,3.3,NO,12,K
16,Kai Forbath,2,2,100.0,30,0,1,1,0,0,1,1,1,7.0,7.0,3.0,LAR,12,K
17,Andrew Franks,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,0.0,FA,12,K
18,Nick Folk,1,2,50.0,51,0,0,0,0,1,2,2,1,7.0,7.0,81.8,NE,12,K
19,Cody Parkey,2,2,100.0,25,0,2,0,0,0,1,1,1,7.0,7.0,0.4,FA,12,K
20,Phil Dawson,1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,6.0,0.1,FA,12,K
21,Mike Nugent,2,2,100.0,36,0,1,1,0,0,0,1,1,6.0,6.0,1.0,FA,12,K
22,Chris Boswell,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,51.0,PIT,12,K
23,Stephen Hauschka,1,1,100.0,43,0,0,0,1,0,0,0,1,4.0,4.0,0.0,FA,12,K
24,Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,22.1,SEA,12,K
25,Robbie Gould,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,22.5,SF,12,K
26,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,74.2,DAL,12,K
27,Connor Barth,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0,FA,12,K
28,Josh Lambo,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.2,FA,12,K
29,Graham Gano,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,31.4,NYG,12,K
30,Dan Carpenter,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.2,FA,12,K
31,Roberto Aguayo,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1,FA,12,K
32,Adam Vinatieri,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.2,FA,12,K
33,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,12,K
34,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,12,K
35,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,12,K
36,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,12,K
37,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,12,K
38,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,12,K
39,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,12,K
40,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,12,K
41,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,12,K
42,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,12,K
43,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,12,K
44,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,12,K
45,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,12,K
46,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,12,K
47,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,12,K
48,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,12,K
49,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,12,K
50,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,12,K
51,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,12,K
52,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,12,K
53,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,12,K
54,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,12,K
55,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,12,K
56,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,12,K
57,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,12,K
58,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
59,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,12,K
60,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,12,K
61,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,12,K
62,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
63,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,12,K
64,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,12,K
65,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,12,K
66,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,12,K
67,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,12,K
68,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
69,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,12,K
70,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
71,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,12,K
72,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
73,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,12,K
74,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,12,K
75,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,12,K
76,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,12,K
77,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
78,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,12,K
79,Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,NO,12,K
80,Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,12,K
81,Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,12,K
82,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3,MIA,12,K
83,Jordan Gay,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,12,K
84,Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,12,K
85,Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,12,K
86,Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,12,K
87,Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,12,K
88,Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,TEN,12,K
89,Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.8,TEN,12,K
