rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Matt Bryant,4,5,80.0,51,0,1,0,1,2,3,3,1,20.0,20.0,1.1,FA,K,16,2016
2,Jason Myers,4,4,100.0,56,0,1,0,1,2,2,4,1,19.0,19.0,22.1,SEA,K,16,2016
3,Justin Tucker,4,4,100.0,46,0,1,1,2,0,1,1,1,15.0,15.0,98.0,BAL,K,16,2016
4,Robbie Gould,4,4,100.0,41,0,1,2,1,0,1,1,1,14.0,14.0,22.5,SF,K,16,2016
5,Chandler Catanzaro,2,3,66.7,43,0,0,0,2,0,4,4,1,12.0,12.0,0.0,FA,K,16,2016
6,Wil Lutz,3,3,100.0,42,0,1,1,1,0,2,2,1,12.0,12.0,3.3,NO,K,16,2016
7,Andrew Franks,2,3,66.7,55,0,1,0,0,1,4,4,1,12.0,12.0,0.0,FA,K,16,2016
8,Stephen Gostkowski,2,2,100.0,29,0,2,0,0,0,5,5,1,11.0,11.0,0.1,FA,K,16,2016
9,Graham Gano,3,3,100.0,40,0,0,2,1,0,1,1,1,11.0,11.0,31.4,NYG,K,16,2016
10,Dustin Hopkins,2,2,100.0,29,0,2,0,0,0,5,5,1,11.0,11.0,14.5,LAC,K,16,2016
11,Cairo Santos,2,3,66.7,39,0,1,1,0,0,3,4,1,9.0,9.0,2.1,CHI,K,16,2016
12,Cody Parkey,2,2,100.0,49,0,1,0,1,0,2,2,1,9.0,9.0,0.4,FA,K,16,2016
13,Mason Crosby,1,1,100.0,48,0,0,0,1,0,5,5,1,9.0,9.0,40.7,GB,K,16,2016
14,Kai Forbath,2,2,100.0,26,0,2,0,0,0,1,2,1,7.0,7.0,3.0,LAR,K,16,2016
15,Caleb Sturgis,1,1,100.0,41,0,0,0,1,0,3,3,1,7.0,7.0,0.0,FA,K,16,2016
16,Dan Carpenter,1,3,33.3,28,0,1,0,0,0,4,4,1,7.0,7.0,0.2,FA,K,16,2016
17,Chris Boswell,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,51.0,PIT,K,16,2016
18,Roberto Aguayo,1,1,100.0,35,0,0,1,0,0,3,3,1,6.0,6.0,0.1,FA,K,16,2016
19,Dan Bailey,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,0.0,FA,K,16,2016
20,Nick Novak,2,2,100.0,25,0,2,0,0,0,0,1,1,6.0,6.0,0.1,FA,K,16,2016
21,Ryan Succop,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,6.0,57.4,TB,K,16,2016
22,Brandon McManus,1,1,100.0,52,0,0,0,0,1,1,1,1,6.0,6.0,44.3,DEN,K,16,2016
23,Adam Vinatieri,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,6.0,0.2,FA,K,16,2016
24,Josh Lambo,1,3,33.3,43,0,0,0,1,0,2,2,1,6.0,6.0,3.2,FA,K,16,2016
25,Stephen Hauschka,1,2,50.0,27,0,1,0,0,0,2,3,1,5.0,5.0,0.0,FA,K,16,2016
26,Randy Bullock,1,2,50.0,43,0,0,0,1,0,1,1,1,5.0,5.0,10.8,TEN,K,16,2016
27,Nick Folk,1,2,50.0,29,0,1,0,0,0,0,0,1,3.0,3.0,81.8,NE,K,16,2016
28,Sebastian Janikowski,0,0,0.0,0,0,0,0,0,0,3,5,1,3.0,3.0,20.0,FA,K,16,2016
29,Connor Barth,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0,FA,K,16,2016
30,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,74.2,DAL,K,16,2016
31,Matt Prater,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,52.8,ARI,K,16,2016
