rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Sebastian Janikowski,4,4,100.0,52,0,1,1,1,1,3,3,1,18.0,18.0,20.0,FA,7,K
2,Josh Lambo,4,4,100.0,42,0,0,2,2,0,3,3,1,17.0,17.0,3.2,FA,7,K
3,Justin Tucker,3,3,100.0,50,0,0,0,2,1,1,1,1,14.0,14.0,98.0,BAL,7,K
4,Matt Bryant,3,4,75.0,42,0,1,1,1,0,3,3,1,13.0,13.0,1.1,FA,7,K
5,Chris Boswell,3,5,60.0,46,0,0,1,2,0,1,1,1,12.0,12.0,51.0,PIT,7,K
6,Nick Novak,3,3,100.0,43,0,1,0,2,0,0,0,1,11.0,11.0,0.1,FA,7,K
7,Jason Myers,3,3,100.0,44,0,1,1,1,0,1,1,1,11.0,11.0,22.1,SEA,7,K
8,Roberto Aguayo,2,3,66.7,38,0,0,2,0,0,4,4,1,10.0,10.0,0.1,FA,7,K
9,Ryan Succop,2,2,100.0,48,0,0,0,2,0,2,2,1,10.0,10.0,57.4,TB,7,K
10,Cairo Santos,2,2,100.0,41,0,0,1,1,0,3,3,1,10.0,10.0,2.1,CHI,7,K
11,Adam Vinatieri,2,2,100.0,33,0,1,1,0,0,4,4,1,10.0,10.0,0.2,FA,7,K
12,Mason Crosby,2,3,66.7,40,0,0,1,1,0,2,3,1,9.0,9.0,40.7,GB,7,K
13,Brandon McManus,2,2,100.0,32,0,1,1,0,0,3,3,1,9.0,9.0,44.3,DEN,7,K
14,Matt Prater,2,3,66.7,43,0,1,0,1,0,2,2,1,9.0,9.0,52.8,ARI,7,K
15,Andrew Franks,2,2,100.0,36,0,0,2,0,0,2,2,1,8.0,8.0,0.0,FA,7,K
16,Chandler Catanzaro,2,4,50.0,46,0,0,0,2,0,0,0,1,8.0,8.0,0.0,FA,7,K
17,Stephen Hauschka,2,3,66.7,40,0,0,1,1,0,0,0,1,7.0,7.0,0.0,FA,7,K
18,Caleb Sturgis,2,2,100.0,35,0,1,1,0,0,1,1,1,7.0,7.0,0.0,FA,7,K
19,Mike Nugent,1,3,33.3,36,0,0,1,0,0,4,4,1,7.0,7.0,1.0,FA,7,K
20,Nick Folk,1,2,50.0,22,0,1,0,0,0,3,3,1,6.0,6.0,81.8,NE,7,K
21,Dan Carpenter,1,1,100.0,29,0,1,0,0,0,2,2,1,5.0,5.0,0.2,FA,7,K
22,Blair Walsh,1,1,100.0,48,0,0,0,1,0,1,1,1,5.0,5.0,0.1,FA,7,K
23,Robbie Gould,1,1,100.0,29,0,1,0,0,0,2,2,1,5.0,5.0,22.5,SF,7,K
24,Cody Parkey,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,0.4,FA,7,K
25,Phil Dawson,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,5.0,0.1,FA,7,K
26,Dustin Hopkins,1,2,50.0,38,0,0,1,0,0,2,2,1,5.0,5.0,14.5,LAC,7,K
27,Connor Barth,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,0.0,FA,7,K
28,Greg Zuerlein,1,1,100.0,36,0,0,1,0,0,1,1,1,4.0,4.0,74.2,DAL,7,K
29,Stephen Gostkowski,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,0.1,FA,7,K
30,Wil Lutz,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.3,NO,7,K
