rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,New Orleans Saints,6,1,3,5,0,0,0,1,15.0,15.0,79.3,NO,12,DST
2,Chicago Bears,2,2,0,0,1,0,0,1,13.0,13.0,35.9,CHI,12,DST
3,Baltimore Ravens,3,0,1,1,1,0,1,1,12.0,12.0,51.9,BAL,12,DST
4,Tampa Bay Buccaneers,4,2,0,1,0,0,0,1,12.0,12.0,98.0,TB,12,DST
5,Denver Broncos,2,2,1,2,0,0,0,1,9.0,9.0,48.5,DEN,12,DST
6,Houston Texans,6,0,1,2,0,0,0,1,9.0,9.0,6.4,HOU,12,DST
7,Dallas Cowboys,3,3,0,2,0,0,0,1,9.0,9.0,82.9,DAL,12,DST
8,New England Patriots,2,1,0,0,0,0,0,1,8.0,8.0,93.2,NE,12,DST
9,Los Angeles Chargers,2,1,0,0,0,0,0,1,8.0,8.0,44.3,LAC,12,DST
10,Miami Dolphins,1,2,1,2,0,0,0,1,7.0,7.0,60.2,MIA,12,DST
11,Buffalo Bills,3,2,0,0,0,0,0,1,7.0,7.0,95.9,BUF,12,DST
12,Detroit Lions,4,0,1,1,0,0,0,1,7.0,7.0,1.1,DET,12,DST
13,Minnesota Vikings,4,0,1,0,0,0,0,1,7.0,7.0,28.0,MIN,12,DST
14,Cleveland Browns,1,1,1,0,0,0,0,1,6.0,6.0,40.8,CLE,12,DST
15,Philadelphia Eagles,2,1,0,1,0,0,0,1,4.0,4.0,52.5,PHI,12,DST
16,Las Vegas Raiders,1,2,0,0,0,0,0,1,4.0,4.0,7.6,LV,12,DST
17,Tennessee Titans,4,0,0,0,0,0,0,1,3.0,3.0,48.4,TEN,12,DST
18,New York Giants,3,0,0,0,0,0,0,1,3.0,3.0,4.5,NYG,12,DST
19,Washington Commanders,4,0,0,1,0,0,0,1,3.0,3.0,27.5,WAS,12,DST
20,Atlanta Falcons,2,1,0,0,0,0,0,1,3.0,3.0,5.8,ATL,12,DST
21,Indianapolis Colts,1,0,1,1,0,0,0,1,3.0,3.0,66.4,IND,12,DST
22,Pittsburgh Steelers,2,0,0,0,0,0,0,1,2.0,2.0,44.6,PIT,12,DST
23,Green Bay Packers,2,0,0,0,0,0,0,1,2.0,2.0,60.6,GB,12,DST
24,Seattle Seahawks,0,1,0,4,0,0,0,1,2.0,2.0,39.4,SEA,12,DST
25,Arizona Cardinals,4,0,1,1,0,0,0,1,2.0,2.0,60.9,ARI,12,DST
26,San Francisco 49ers,1,0,0,0,0,0,0,1,1.0,1.0,79.5,SF,12,DST
27,Carolina Panthers,2,0,0,1,0,0,0,1,1.0,1.0,27.8,CAR,12,DST
28,Kansas City Chiefs,0,0,0,0,0,0,0,0,0.0,0.0,45.7,KC,12,DST
29,New York Jets,0,0,0,0,0,0,0,1,0.0,0.0,3.3,NYJ,12,DST
30,Jacksonville Jaguars,0,0,0,1,0,0,0,1,0.0,0.0,6.9,JAC,12,DST
31,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,12,DST
32,Cincinnati Bengals,0,0,0,0,0,0,0,1,-4.0,-4.0,14.7,CIN,12,DST
