rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,New England Patriots,3,1,1,1,1,0,0,1,20.0,20.0,93.2,NE,8,DST
2,Cincinnati Bengals,6,4,0,0,1,0,0,1,19.0,19.0,14.7,CIN,8,DST
3,Washington Commanders,7,2,0,0,0,0,0,1,15.0,15.0,27.5,WAS,8,DST
4,New Orleans Saints,4,1,1,1,1,0,0,1,15.0,15.0,79.3,NO,8,DST
5,San Francisco 49ers,3,1,1,1,0,1,0,1,10.0,10.0,79.5,SF,8,DST
6,Seattle Seahawks,3,1,2,0,0,0,0,1,10.0,10.0,39.4,SEA,8,DST
7,Kansas City Chiefs,5,1,1,2,0,0,0,1,9.0,9.0,45.7,KC,8,DST
8,Jacksonville Jaguars,4,1,1,1,0,0,0,1,8.0,8.0,6.9,JAC,8,DST
9,Carolina Panthers,2,2,1,1,0,0,0,1,8.0,8.0,27.8,CAR,8,DST
10,Los Angeles Rams,3,0,1,0,0,1,0,1,7.0,7.0,74.5,LAR,8,DST
11,Pittsburgh Steelers,2,1,0,0,0,1,0,1,7.0,7.0,44.6,PIT,8,DST
12,Philadelphia Eagles,4,0,1,1,0,0,0,1,7.0,7.0,52.5,PHI,8,DST
13,Arizona Cardinals,4,0,0,0,0,0,0,1,5.0,5.0,60.9,ARI,8,DST
14,Chicago Bears,1,0,0,0,0,0,0,1,5.0,5.0,35.9,CHI,8,DST
15,Green Bay Packers,5,0,0,0,0,0,0,1,4.0,4.0,60.6,GB,8,DST
16,Houston Texans,2,1,0,0,0,0,0,1,4.0,4.0,6.4,HOU,8,DST
17,Cleveland Browns,1,1,1,2,0,0,0,1,4.0,4.0,40.8,CLE,8,DST
18,Denver Broncos,2,1,0,0,0,0,0,1,3.0,3.0,48.5,DEN,8,DST
19,New York Giants,0,0,1,1,0,0,0,1,3.0,3.0,4.5,NYG,8,DST
20,Buffalo Bills,2,0,0,1,0,0,0,1,3.0,3.0,95.9,BUF,8,DST
21,Minnesota Vikings,0,1,0,0,0,0,0,1,2.0,2.0,28.0,MIN,8,DST
22,New York Jets,2,0,0,0,0,0,0,1,2.0,2.0,3.3,NYJ,8,DST
23,Indianapolis Colts,0,0,1,1,0,0,0,1,1.0,1.0,66.4,IND,8,DST
24,Tampa Bay Buccaneers,2,0,0,0,0,0,0,1,1.0,1.0,98.0,TB,8,DST
25,Detroit Lions,2,0,0,0,0,0,0,1,1.0,1.0,1.1,DET,8,DST
26,Atlanta Falcons,0,0,0,0,0,0,0,0,0.0,0.0,5.8,ATL,8,DST
27,Dallas Cowboys,0,0,0,0,0,0,0,0,0.0,0.0,82.9,DAL,8,DST
28,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,8,DST
29,Tennessee Titans,0,0,0,0,0,0,0,0,0.0,0.0,48.4,TEN,8,DST
30,Las Vegas Raiders,0,0,0,0,0,0,0,1,-4.0,-4.0,7.6,LV,8,DST
31,Baltimore Ravens,0,0,0,0,0,0,0,1,-4.0,-4.0,51.9,BAL,8,DST
32,Miami Dolphins,0,0,0,0,0,0,0,1,-4.0,-4.0,60.2,MIA,8,DST
