rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Chicago Bears,3,4,0,1,0,1,0,1,20.0,20.0,35.9,CHI,DST,14,2018
2,New York Giants,5,3,0,0,1,0,0,1,18.0,18.0,4.5,NYG,DST,14,2018
3,Detroit Lions,3,1,0,2,1,0,0,1,18.0,18.0,1.1,DET,DST,14,2018
4,Seattle Seahawks,2,0,1,1,1,0,0,1,14.0,14.0,39.4,SEA,DST,14,2018
5,Green Bay Packers,2,1,1,0,1,0,0,1,13.0,13.0,60.6,GB,DST,14,2018
6,Tennessee Titans,4,0,1,1,0,0,0,1,10.0,10.0,48.4,TEN,DST,14,2018
7,New York Jets,3,2,1,1,0,0,0,1,9.0,9.0,3.3,NYJ,DST,14,2018
8,Philadelphia Eagles,3,2,1,1,0,0,0,1,8.0,8.0,52.5,PHI,DST,14,2018
9,Los Angeles Rams,1,3,0,0,0,0,0,1,8.0,8.0,74.5,LAR,DST,14,2018
10,Arizona Cardinals,1,0,1,1,0,0,0,1,7.0,7.0,60.9,ARI,DST,14,2018
11,New Orleans Saints,4,1,0,1,0,0,0,1,7.0,7.0,79.3,NO,DST,14,2018
12,Pittsburgh Steelers,4,0,1,0,0,0,0,1,6.0,6.0,44.6,PIT,DST,14,2018
13,Denver Broncos,3,1,0,2,0,0,0,1,6.0,6.0,48.5,DEN,DST,14,2018
14,Minnesota Vikings,2,1,0,0,0,0,0,1,5.0,5.0,28.0,MIN,DST,14,2018
15,Indianapolis Colts,5,0,0,0,0,0,0,1,5.0,5.0,66.4,IND,DST,14,2018
16,Kansas City Chiefs,3,0,1,1,0,0,0,1,5.0,5.0,45.7,KC,DST,14,2018
17,Carolina Panthers,1,0,2,2,0,0,0,1,5.0,5.0,27.8,CAR,DST,14,2018
18,Baltimore Ravens,3,1,0,0,0,0,0,1,5.0,5.0,51.9,BAL,DST,14,2018
19,Tampa Bay Buccaneers,1,1,1,1,0,0,0,1,4.0,4.0,98.0,TB,DST,14,2018
20,Jacksonville Jaguars,1,1,0,0,0,1,0,1,4.0,4.0,6.9,JAC,DST,14,2018
21,New England Patriots,5,0,0,1,0,0,0,1,4.0,4.0,93.2,NE,DST,14,2018
22,Houston Texans,2,1,0,0,0,0,0,1,4.0,4.0,6.4,HOU,DST,14,2018
23,Dallas Cowboys,2,0,1,1,0,0,0,1,4.0,4.0,82.9,DAL,DST,14,2018
24,Cleveland Browns,1,1,0,0,0,0,0,1,4.0,4.0,40.8,CLE,DST,14,2018
25,Buffalo Bills,0,1,1,0,0,0,0,1,4.0,4.0,95.9,BUF,DST,14,2018
26,San Francisco 49ers,2,0,0,1,0,0,0,1,3.0,3.0,79.5,SF,DST,14,2018
27,Washington Commanders,2,1,0,0,0,0,0,1,3.0,3.0,27.5,WAS,DST,14,2018
28,Los Angeles Chargers,3,0,0,0,0,0,0,1,3.0,3.0,44.3,LAC,DST,14,2018
29,Las Vegas Raiders,1,1,0,0,0,0,0,1,3.0,3.0,7.6,LV,DST,14,2018
30,Atlanta Falcons,4,0,0,0,0,0,0,1,3.0,3.0,5.8,ATL,DST,14,2018
31,Cincinnati Bengals,2,0,0,0,0,0,0,1,2.0,2.0,14.7,CIN,DST,14,2018
32,Miami Dolphins,2,0,0,0,0,0,0,1,1.0,1.0,60.2,MIA,DST,14,2018
