rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Green Bay Packers,7,2,1,1,0,0,0,1,23.0,23.0,60.6,GB,DST,4,2018
2,Chicago Bears,4,3,0,1,0,0,0,1,14.0,14.0,35.9,CHI,DST,4,2018
3,Houston Texans,4,0,2,2,1,0,0,1,13.0,13.0,6.4,HOU,DST,4,2018
4,Las Vegas Raiders,2,2,2,2,1,0,0,1,12.0,12.0,7.6,LV,DST,4,2018
5,New England Patriots,2,1,1,0,0,0,0,1,10.0,10.0,93.2,NE,DST,4,2018
6,Jacksonville Jaguars,3,0,0,0,0,1,0,1,9.0,9.0,6.9,JAC,DST,4,2018
7,New Orleans Saints,3,0,2,2,0,0,0,1,8.0,8.0,79.3,NO,DST,4,2018
8,Indianapolis Colts,7,1,0,0,0,0,0,1,8.0,8.0,66.4,IND,DST,4,2018
9,San Francisco 49ers,1,1,0,1,1,0,0,1,8.0,8.0,79.5,SF,DST,4,2018
10,New York Jets,2,1,2,2,0,0,0,1,7.0,7.0,3.3,NYJ,DST,4,2018
11,Tennessee Titans,4,0,1,3,0,0,0,1,6.0,6.0,48.4,TEN,DST,4,2018
12,Buffalo Bills,2,1,1,3,0,0,0,1,6.0,6.0,95.9,BUF,DST,4,2018
13,Kansas City Chiefs,4,1,0,0,0,0,0,1,6.0,6.0,45.7,KC,DST,4,2018
14,Baltimore Ravens,1,1,1,1,0,0,0,1,6.0,6.0,51.9,BAL,DST,4,2018
15,Philadelphia Eagles,3,1,0,0,0,0,0,1,5.0,5.0,52.5,PHI,DST,4,2018
16,Los Angeles Rams,4,0,1,1,0,0,0,1,5.0,5.0,74.5,LAR,DST,4,2018
17,Los Angeles Chargers,1,2,0,0,0,0,0,1,5.0,5.0,44.3,LAC,DST,4,2018
18,Seattle Seahawks,1,0,1,1,0,0,0,1,4.0,4.0,39.4,SEA,DST,4,2018
19,Pittsburgh Steelers,2,0,1,1,0,0,0,1,4.0,4.0,44.6,PIT,DST,4,2018
20,Detroit Lions,3,0,0,2,0,0,0,1,3.0,3.0,1.1,DET,DST,4,2018
21,Dallas Cowboys,3,0,0,0,0,0,0,1,3.0,3.0,82.9,DAL,DST,4,2018
22,Cleveland Browns,3,2,0,0,0,0,0,1,3.0,3.0,40.8,CLE,DST,4,2018
23,Arizona Cardinals,2,0,0,2,0,0,0,1,3.0,3.0,60.9,ARI,DST,4,2018
24,Atlanta Falcons,3,1,0,0,0,0,0,1,1.0,1.0,5.8,ATL,DST,4,2018
25,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,48.5,DEN,DST,4,2018
26,Miami Dolphins,0,2,0,0,0,0,0,1,0.0,0.0,60.2,MIA,DST,4,2018
27,New York Giants,1,0,0,0,0,0,0,1,0.0,0.0,4.5,NYG,DST,4,2018
28,Carolina Panthers,0,0,0,0,0,0,0,0,0.0,0.0,27.8,CAR,DST,4,2018
29,Washington Commanders,0,0,0,0,0,0,0,0,0.0,0.0,27.5,WAS,DST,4,2018
30,Cincinnati Bengals,3,0,0,0,0,0,0,1,-1.0,-1.0,14.7,CIN,DST,4,2018
31,Minnesota Vikings,1,0,0,1,0,0,0,1,-3.0,-3.0,28.0,MIN,DST,4,2018
32,Tampa Bay Buccaneers,1,0,0,0,0,0,0,1,-3.0,-3.0,98.0,TB,DST,4,2018
