rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Buffalo Bills,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,17.0,17.0,95.9,BUF,DST,3,2018
2.0,Pittsburgh Steelers,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,17.0,17.0,44.6,PIT,DST,3,2018
3.0,Seattle Seahawks,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,39.4,SEA,DST,3,2018
4.0,Chicago Bears,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,13.0,13.0,35.9,CHI,DST,3,2018
5.0,Tennessee Titans,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,48.4,TEN,DST,3,2018
6.0,Los Angeles Rams,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,12.0,12.0,74.5,LAR,DST,3,2018
7.0,Indianapolis Colts,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,66.4,IND,DST,3,2018
8.0,Carolina Panthers,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,27.8,CAR,DST,3,2018
9.0,Cleveland Browns,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,40.8,CLE,DST,3,2018
10.0,Arizona Cardinals,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,60.9,ARI,DST,3,2018
11.0,Miami Dolphins,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,60.2,MIA,DST,3,2018
12.0,Detroit Lions,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,1.1,DET,DST,3,2018
13.0,Washington Commanders,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,27.5,WAS,DST,3,2018
14.0,New York Giants,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,4.5,NYG,DST,3,2018
15.0,Jacksonville Jaguars,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,6.9,JAC,DST,3,2018
16.0,Baltimore Ravens,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,51.9,BAL,DST,3,2018
17.0,Tampa Bay Buccaneers,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,98.0,TB,DST,3,2018
18.0,Los Angeles Chargers,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,44.3,LAC,DST,3,2018
19.0,Houston Texans,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,6.4,HOU,DST,3,2018
20.0,New York Jets,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,3.3,NYJ,DST,3,2018
21.0,Kansas City Chiefs,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,45.7,KC,DST,3,2018
22.0,New England Patriots,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,93.2,NE,DST,3,2018
23.0,Philadelphia Eagles,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,52.5,PHI,DST,3,2018
24.0,Minnesota Vikings,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,MIN,DST,3,2018
25.0,Denver Broncos,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,48.5,DEN,DST,3,2018
26.0,Dallas Cowboys,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,82.9,DAL,DST,3,2018
27.0,Green Bay Packers,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,60.6,GB,DST,3,2018
28.0,Las Vegas Raiders,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.6,LV,DST,3,2018
29.0,Cincinnati Bengals,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.7,CIN,DST,3,2018
30.0,New Orleans Saints,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,79.3,NO,DST,3,2018
31.0,San Francisco 49ers,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,-2.0,79.5,SF,DST,3,2018
32.0,Atlanta Falcons,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,5.8,ATL,DST,3,2018
