player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Larry Fitzgerald,6.0,11.0,71.0,11.8,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.1,WR,1,2009,ARI,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Anquan Boldin,2.0,5.0,19.0,9.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,1,2009,ARI,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Deon Butler,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2009,SEA,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Nate Burleson,4.0,10.0,46.0,11.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2009,SEA,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Percy Harvin,4.0,9.0,51.0,12.8,18.0,0.0,0.0,1.0,-8.0,0.0,0.0,1.0,0.0,WR,3,2009,MIN,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Sidney Rice,4.0,7.0,56.0,14.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,3,2009,MIN,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Donnie Avery,3.0,4.0,47.0,15.7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2009,LAR,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Danny Amendola,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2009,LAR,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Roddy White,8.0,10.0,210.0,26.3,90.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,5,2009,ATL,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Michael Jenkins,2.0,4.0,35.0,17.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,5,2009,ATL,SF,False,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Kevin Walter,3.0,3.0,29.0,9.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,7,2009,HOU,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Andre Johnson,2.0,4.0,62.0,31.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,7,2009,HOU,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
Austin Collie,6.0,8.0,66.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,8,2009,IND,SF,True,352.0,580.0,60.7,3670.0,6.8,229.4,90.0,14.0,18.0,44.0,293.0,76.2,426.0,1552.0,3.6,97.0,41.0,12.0,7.0,4.0,352.0,3963.0,11.3,247.7,90.0,14.0,8.0,5.0,278.0,77.0,176.0,25.0,88.0,240.0,36.7,6.0,15.0,40.0,114.0,969.0
