Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Seattle Seahawks,16,313,507,61.7,"2,970",6.3,185.6,60,17,13,37,234,80.4
Kansas City Chiefs,16,318,545,58.3,"3,252",6.4,203.3,48,22,6,46,253,86.4
Buffalo Bills,16,337,559,60.3,"3,292",6.4,205.8,56,16,19,54,308,74.5
San Diego Chargers,16,320,524,61.1,"3,427",6.9,214.2,77,24,7,26,178,91.3
San Francisco 49ers,16,324,551,58.8,"3,531",6.8,220.7,63,29,23,36,200,79.4
Miami Dolphins,16,338,537,62.9,"3,557",7.0,222.3,74,27,14,39,211,89.7
Minnesota Vikings,16,353,534,66.1,"3,572",7.1,223.3,66,26,13,41,217,92.8
Cleveland Browns,16,335,587,57.1,"3,592",6.4,224.5,75,22,21,31,191,74.1
Denver Broncos,16,399,641,62.2,"3,607",6.0,225.4,81,29,18,41,252,82.4
Green Bay Packers,16,333,564,59.0,"3,623",6.9,226.4,79,26,18,41,261,82.1
Carolina Panthers,16,364,562,64.8,"3,645",7.0,227.8,81,25,14,40,268,89.5
Indianapolis Colts,16,320,543,58.9,"3,669",7.2,229.3,63,27,12,41,263,88.7
Detroit Lions,16,383,592,64.7,"3,706",6.8,231.6,50,23,20,42,295,83.0
New York Jets,16,345,538,64.1,"3,746",7.5,234.1,87,31,6,45,310,101.5
Tennessee Titans,16,347,545,63.7,"3,773",7.3,235.8,80,28,12,39,222,93.6
Oakland Raiders,16,343,538,63.8,"3,810",7.4,238.1,70,29,9,22,157,96.9
New England Patriots,16,342,574,59.6,"3,837",7.2,239.8,50,24,16,40,282,84.0
New York Giants,16,324,522,62.1,"3,850",8.0,240.6,74,25,17,47,313,89.4
St. Louis Rams,16,368,540,68.1,"3,861",7.6,241.3,80,18,13,40,265,91.8
Cincinnati Bengals,16,365,608,60.0,"3,888",6.6,243.0,94,18,20,20,125,75.8
Houston Texans,16,363,619,58.6,"3,890",6.7,243.1,80,28,20,38,251,80.4
Jacksonville Jaguars,16,355,541,65.6,"3,899",7.7,243.7,73,24,6,45,275,99.1
Baltimore Ravens,16,382,595,64.2,"3,979",7.3,248.7,77,22,11,49,362,90.6
Washington Redskins,16,345,519,66.5,"3,990",8.2,249.4,79,35,7,36,241,108.3
New Orleans Saints,16,341,546,62.5,"4,019",7.7,251.2,73,26,12,34,188,92.9
Dallas Cowboys,16,371,558,66.5,"4,031",7.5,251.9,72,22,18,28,156,88.5
Pittsburgh Steelers,16,350,543,64.5,"4,049",7.8,253.1,81,30,11,33,194,98.3
Tampa Bay Buccaneers,16,387,563,68.7,"4,084",7.6,255.3,56,28,14,36,210,97.4
Arizona Cardinals,16,365,579,63.0,"4,152",7.6,259.5,86,22,18,35,244,86.0
Chicago Bears,16,366,548,66.8,"4,230",8.1,264.4,73,34,14,39,228,101.7
Philadelphia Eagles,16,345,591,58.4,"4,238",7.8,264.9,81,30,12,49,357,91.6
Atlanta Falcons,16,359,566,63.4,"4,478",8.2,279.9,76,20,16,22,140,88.9
