Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Seattle Seahawks,16,313,"3,204",10.2,200.3,60,17,6,2
Kansas City Chiefs,16,318,"3,505",11.0,219.1,48,22,2,1
Buffalo Bills,16,337,"3,600",10.7,225.0,56,16,5,4
San Diego Chargers,16,320,"3,605",11.3,225.3,77,24,3,1
San Francisco 49ers,16,324,"3,731",11.5,233.2,63,29,3,3
Miami Dolphins,16,338,"3,768",11.1,235.5,74,27,2,1
Cleveland Browns,16,335,"3,783",11.3,236.4,75,22,2,1
Minnesota Vikings,16,353,"3,789",10.7,236.8,66,26,5,3
Denver Broncos,16,399,"3,859",9.7,241.2,81,29,11,3
Green Bay Packers,16,333,"3,884",11.7,242.8,79,26,2,1
Carolina Panthers,16,364,"3,913",10.8,244.6,81,25,8,4
Indianapolis Colts,16,320,"3,932",12.3,245.8,63,27,7,5
Oakland Raiders,16,343,"3,967",11.6,247.9,70,29,2,1
Tennessee Titans,16,347,"3,995",11.5,249.7,80,28,2,2
Detroit Lions,16,383,"4,001",10.4,250.1,50,23,4,0
Cincinnati Bengals,16,365,"4,013",11.0,250.8,94,18,0,0
New York Jets,16,345,"4,056",11.8,253.5,87,31,3,1
New England Patriots,16,342,"4,119",12.0,257.4,50,24,5,3
St. Louis Rams,16,368,"4,126",11.2,257.9,80,18,5,5
Houston Texans,16,363,"4,141",11.4,258.8,80,28,7,5
New York Giants,16,324,"4,163",12.8,260.2,74,25,1,1
Jacksonville Jaguars,16,355,"4,174",11.8,260.9,73,24,5,3
Dallas Cowboys,16,371,"4,187",11.3,261.7,72,22,9,7
New Orleans Saints,16,341,"4,207",12.3,262.9,73,26,5,2
Washington Redskins,16,345,"4,231",12.3,264.4,79,35,3,2
Pittsburgh Steelers,16,350,"4,243",12.1,265.2,81,30,4,3
Tampa Bay Buccaneers,16,387,"4,294",11.1,268.4,56,28,5,2
Baltimore Ravens,16,382,"4,341",11.4,271.3,77,22,6,3
Arizona Cardinals,16,365,"4,396",12.0,274.8,86,22,4,4
Chicago Bears,16,366,"4,458",12.2,278.6,73,34,8,4
Philadelphia Eagles,16,345,"4,595",13.3,287.2,81,30,4,4
Atlanta Falcons,16,359,"4,618",12.9,288.6,76,20,5,4
