Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Indianapolis Colts,16,410,"5,062",12.3,316.4,80,42,6,3
Pittsburgh Steelers,16,411,"4,997",12.2,312.3,94,33,5,4
New Orleans Saints,16,456,"4,952",10.9,309.5,69,33,8,6
Denver Broncos,16,399,"4,779",12.0,298.7,86,40,4,1
Atlanta Falcons,16,418,"4,758",11.4,297.4,79,28,7,4
Philadelphia Eagles,16,384,"4,581",11.9,286.3,72,27,5,5
New York Giants,16,383,"4,470",11.7,279.4,80,30,6,6
Washington Redskins,16,364,"4,461",12.3,278.8,81,18,6,5
Green Bay Packers,16,349,"4,447",12.7,277.9,80,38,1,1
San Diego Chargers,16,380,"4,296",11.3,268.5,59,31,3,2
New England Patriots,16,392,"4,291",10.9,268.2,69,34,4,1
Detroit Lions,16,365,"4,284",11.7,267.8,73,22,3,1
Miami Dolphins,16,394,"4,066",10.3,254.1,50,27,7,2
Chicago Bears,16,396,"4,035",10.2,252.2,74,30,3,3
Dallas Cowboys,16,328,"4,008",12.2,250.5,68,37,4,4
Arizona Cardinals,16,320,"3,990",12.5,249.4,81,21,5,2
Baltimore Ravens,16,344,"3,986",11.6,249.1,80,27,3,3
Buffalo Bills,16,363,"3,856",10.6,241.0,84,23,8,4
Carolina Panthers,16,327,"3,828",11.7,239.3,51,23,3,1
Tennessee Titans,16,299,"3,738",12.5,233.6,80,20,4,2
St. Louis Rams,16,327,"3,695",11.3,230.9,63,20,1,1
Cleveland Browns,16,274,"3,678",13.4,229.9,81,12,0,0
Tampa Bay Buccaneers,16,301,"3,623",12.0,226.4,56,21,5,4
Minnesota Vikings,16,322,"3,566",11.1,222.9,87,17,3,0
Cincinnati Bengals,16,323,"3,551",11.0,221.9,81,20,7,3
Seattle Seahawks,16,287,"3,492",12.2,218.3,80,20,3,2
Houston Texans,16,295,"3,460",11.7,216.3,76,22,6,4
Oakland Raiders,16,365,"3,456",9.5,216.0,77,22,7,3
Jacksonville Jaguars,16,325,"3,451",10.6,215.7,63,15,2,2
Kansas City Chiefs,16,320,"3,428",10.7,214.3,70,18,9,5
San Francisco 49ers,16,292,"3,407",11.7,212.9,80,20,2,1
New York Jets,16,287,"3,206",11.2,200.4,74,16,3,0
