Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Seattle Seahawks,16,277,70,175,32,75,202,37.1,8,14,57.1,70,613
New York Jets,16,300,74,194,32,99,219,45.2,0,4,0.0,91,780
Arizona Cardinals,16,300,77,195,28,81,215,37.7,5,13,38.5,130,"1,192"
St. Louis Rams,16,301,83,189,29,82,213,38.5,0,10,0.0,105,882
Buffalo Bills,16,302,89,171,42,73,220,33.2,5,11,45.5,104,849
San Diego Chargers,16,307,98,168,41,89,207,43.0,2,10,20.0,129,"1,067"
Washington Redskins,16,307,77,195,35,89,207,43.0,5,9,55.6,144,"1,164"
San Francisco 49ers,16,308,83,188,37,88,203,43.4,7,14,50.0,122,909
Indianapolis Colts,16,309,103,175,31,67,201,33.3,4,17,23.5,101,866
Miami Dolphins,16,309,99,194,16,98,223,44.0,13,22,59.1,105,920
Carolina Panthers,16,309,91,193,25,89,210,42.4,5,11,45.5,97,760
Detroit Lions,16,310,59,209,42,77,207,37.2,6,15,40.0,99,849
Kansas City Chiefs,16,310,108,184,18,79,216,36.6,8,21,38.1,107,851
Denver Broncos,16,311,60,219,32,81,222,36.5,10,17,58.8,103,816
Baltimore Ravens,16,311,75,205,31,89,221,40.3,5,14,35.7,110,"1,007"
Pittsburgh Steelers,16,314,88,193,33,71,189,37.6,10,14,71.4,97,835
Dallas Cowboys,16,315,86,195,34,89,204,43.6,10,20,50.0,104,861
Oakland Raiders,16,320,95,190,35,85,221,38.5,4,9,44.4,116,941
Minnesota Vikings,16,321,100,189,32,90,217,41.5,9,14,64.3,112,938
Chicago Bears,16,325,78,227,20,85,201,42.3,12,19,63.2,106,978
New York Giants,16,326,112,187,27,72,200,36.0,4,10,40.0,105,948
New England Patriots,16,329,88,196,45,84,209,40.2,8,23,34.8,92,752
Houston Texans,16,329,89,206,34,74,218,34.0,6,17,35.3,99,786
Jacksonville Jaguars,16,330,107,200,23,101,236,42.8,4,10,40.0,115,886
Cincinnati Bengals,16,337,105,197,35,79,215,36.7,10,19,52.6,105,876
Philadelphia Eagles,16,338,88,211,39,88,232,37.9,3,12,25.0,121,"1,089"
Green Bay Packers,16,339,116,196,27,83,206,40.3,15,28,53.6,104,945
New Orleans Saints,16,345,111,205,29,99,215,46.1,4,8,50.0,105,889
Cleveland Browns,16,348,126,184,38,90,239,37.7,11,18,61.1,98,769
Tampa Bay Buccaneers,16,353,103,223,27,93,213,43.7,5,9,55.6,106,935
Tennessee Titans,16,357,119,211,27,94,227,41.4,5,11,45.5,93,731
Atlanta Falcons,16,358,108,224,26,95,203,46.8,4,8,50.0,91,744
