Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Detroit Lions,16,350,"1,109",3.2,69.3,35,8,6,5
Denver Broncos,16,349,"1,276",3.7,79.8,85,9,3,1
Seattle Seahawks,16,380,"1,304",3.4,81.5,47,8,10,5
Baltimore Ravens,16,390,"1,412",3.6,88.3,67,8,8,5
New York Jets,16,393,"1,489",3.8,93.1,97,10,5,1
Pittsburgh Steelers,16,368,"1,605",4.4,100.3,41,9,9,4
San Francisco 49ers,16,402,"1,612",4.0,100.8,37,7,4,1
Dallas Cowboys,16,392,"1,650",4.2,103.1,62,18,2,2
New England Patriots,16,419,"1,669",4.0,104.3,48,6,6,2
Houston Texans,16,420,"1,681",4.0,105.1,41,6,8,4
Buffalo Bills,16,414,"1,703",4.1,106.4,47,10,6,4
Washington Redskins,16,421,"1,722",4.1,107.6,65,11,12,5
Arizona Cardinals,16,396,"1,739",4.4,108.7,79,9,4,1
St. Louis Rams,16,425,"1,765",4.2,110.3,67,12,13,4
Philadelphia Eagles,16,473,"1,771",3.7,110.7,37,14,10,6
Carolina Panthers,16,397,"1,792",4.5,112.0,89,14,6,2
Chicago Bears,16,421,"1,803",4.3,112.7,48,12,5,1
Indianapolis Colts,16,423,"1,814",4.3,113.4,52,14,9,5
Tampa Bay Buccaneers,16,468,"1,819",3.9,113.7,57,15,8,4
Cincinnati Bengals,16,439,"1,861",4.2,116.3,53,16,7,4
Atlanta Falcons,16,450,"1,894",4.2,118.4,55,21,5,2
Oakland Raiders,16,481,"1,911",4.0,119.4,89,17,7,3
Green Bay Packers,16,449,"1,919",4.3,119.9,40,11,11,5
Miami Dolphins,16,453,"1,937",4.3,121.1,47,13,7,3
Minnesota Vikings,16,450,"1,943",4.3,121.4,53,10,3,1
San Diego Chargers,16,438,"1,986",4.5,124.1,90,11,10,6
Jacksonville Jaguars,16,499,"2,033",4.1,127.1,60,15,4,1
Kansas City Chiefs,16,433,"2,036",4.7,127.3,90,4,4,2
New Orleans Saints,16,442,"2,125",4.8,132.8,69,17,5,0
New York Giants,16,438,"2,162",4.9,135.1,46,15,10,3
Tennessee Titans,16,515,"2,195",4.3,137.2,62,17,2,1
Cleveland Browns,16,500,"2,265",4.5,141.6,38,13,6,2
