Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Seattle Seahawks,16,525,"2,762",5.3,172.6,79,20,9,2
Dallas Cowboys,16,508,"2,354",4.6,147.1,65,16,9,6
New York Jets,16,507,"2,280",4.5,142.5,71,11,10,5
San Francisco 49ers,16,470,"2,176",4.6,136.0,90,10,10,7
Houston Texans,16,551,"2,161",3.9,135.1,51,12,6,3
Cincinnati Bengals,16,492,"2,147",4.4,134.2,89,19,8,3
Carolina Panthers,16,473,"2,036",4.3,127.3,69,10,9,4
Baltimore Ravens,16,448,"2,019",4.5,126.2,52,16,6,2
Philadelphia Eagles,16,474,"1,992",4.2,124.5,53,16,10,6
Kansas City Chiefs,16,420,"1,918",4.6,119.9,63,18,9,4
Green Bay Packers,16,435,"1,917",4.4,119.8,44,14,7,3
Miami Dolphins,16,399,"1,872",4.7,117.0,97,12,8,4
New Orleans Saints,16,406,"1,818",4.5,113.6,67,16,6,3
Minnesota Vikings,16,413,"1,804",4.4,112.8,67,12,3,1
Denver Broncos,16,443,"1,785",4.0,111.6,47,15,6,2
Pittsburgh Steelers,16,423,"1,752",4.1,109.5,81,10,7,3
Cleveland Browns,16,477,"1,728",3.6,108.0,36,17,7,4
New England Patriots,16,438,"1,727",3.9,107.9,43,13,1,0
Washington Redskins,16,401,"1,691",4.2,105.7,30,15,9,2
St. Louis Rams,16,395,"1,635",4.1,102.2,89,11,7,3
Jacksonville Jaguars,16,360,"1,633",4.5,102.1,62,9,6,4
Indianapolis Colts,16,415,"1,612",3.9,100.8,49,9,10,5
New York Giants,16,449,"1,603",3.6,100.2,50,13,1,0
Atlanta Falcons,16,372,"1,498",4.0,93.6,55,11,4,2
Buffalo Bills,16,402,"1,482",3.7,92.6,53,7,5,2
Tennessee Titans,16,356,"1,447",4.1,90.4,52,6,5,3
Chicago Bears,16,355,"1,441",4.1,90.1,32,8,6,1
Detroit Lions,16,396,"1,422",3.6,88.9,57,11,7,2
Tampa Bay Buccaneers,16,353,"1,375",3.9,85.9,63,7,5,3
San Diego Chargers,16,398,"1,367",3.4,85.4,52,6,5,0
Arizona Cardinals,16,397,"1,308",3.3,81.8,22,6,4,2
Oakland Raiders,16,337,"1,240",3.7,77.5,90,4,10,4
