player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Adrien Robinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Rhett Ellison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Taylor Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
James Hanna,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
David Paulson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Tommy Gallarda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Dominique Jones,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Danny Noble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Mike McNeill,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Dustin Keller,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Dante Rosario,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Delanie Walker,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Fred Davis,2.0,4.0,38.0,19.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Gary Barnidge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Heath Miller,4.0,7.0,50.0,12.5,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Jacob Tamme,5.0,5.0,43.0,8.6,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
James Casey,1.0,2.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Jeff King,2.0,3.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Anthony Fasano,3.0,5.0,19.0,6.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Antonio Gates,4.0,8.0,43.0,10.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Bear Pascoe,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Ben Hartsock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Benjamin Watson,2.0,2.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Dallas Clark,1.0,1.0,33.0,33.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Brandon Myers,5.0,5.0,65.0,13.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Brandon Pettigrew,5.0,10.0,77.0,15.4,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Brent Celek,4.0,8.0,65.0,16.3,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Brian Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Colin Cloherty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Craig Stevens,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Tony Moeaki,3.0,6.0,37.0,12.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Tony Gonzalez,5.0,6.0,53.0,10.6,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Tony Scheffler,5.0,8.0,30.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Vernon Davis,3.0,5.0,43.0,14.3,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Will Heller,2.0,2.0,19.0,9.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Zach Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Zach Miller,3.0,3.0,40.0,13.3,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Zach Potter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Aaron Hernandez,6.0,7.0,59.0,9.8,23.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Jermaine Gresham,3.0,8.0,30.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Tim Tebow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Dennis Pitta,5.0,9.0,73.0,14.6,25.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Ed Dickson,2.0,3.0,22.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Owen Daniels,4.0,8.0,87.0,21.8,29.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Jermichael Finley,7.0,11.0,47.0,6.7,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Joel Dreessen,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
John Carlson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
John Phillips,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Kellen Davis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Martellus Bennett,4.0,6.0,40.0,10.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Matt Spaeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Matthew Mulligan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Mike Leach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,1,2012,,
Luke Stocker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MIN,TE,1,2012,JAC,True
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CIN,TE,1,2012,BAL,False
Rob Gronkowski,6.0,9.0,75.0,12.5,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.5,TB,TE,2,2012,NYG,False
Jimmy Graham,7.0,13.0,71.0,10.1,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.1,CHI,TE,2,2012,GB,False
Beau Brinkley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CHI,TE,2,2012,GB,False
Kyle Rudolph,3.0,5.0,35.0,11.7,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.5,NYG,TE,2,2012,TB,True
Jason Witten,4.0,11.0,58.0,14.5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,FA,TE,2,2012,,
Garrett Graham,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,FA,TE,2,2012,,
Greg Olsen,1.0,3.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,FA,TE,2,2012,,
Alex Smith,3.0,4.0,30.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Allen Reisner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Bruce Miller,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Ryan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
David Ausberry,1.0,3.0,31.0,31.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Konrad Reuland,2.0,2.0,20.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Richie Brockel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jeff Cumberland,2.0,5.0,13.0,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Charles Clay,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
Jeron Mastrud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,2,2012,,
