player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Marcedes Lewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GB,TE,2,2012,CHI,True
Kyle Rudolph,5.0,7.0,36.0,7.2,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.6,NYG,TE,3,2012,CAR,False
Jared Cook,4.0,4.0,77.0,19.3,61.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.7,LAC,TE,3,2012,ATL,True
Greg Olsen,7.0,14.0,98.0,14.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.8,FA,TE,3,2012,,
Garrett Graham,2.0,4.0,39.0,19.5,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,FA,TE,3,2012,,
Jason Witten,2.0,6.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,FA,TE,3,2012,,
Jeron Mastrud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Ryan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
David Ausberry,1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Konrad Reuland,2.0,2.0,12.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Richie Brockel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Kyle Adams,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Allen Reisner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jeff Cumberland,2.0,6.0,25.0,12.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dwayne Allen,5.0,6.0,35.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Coby Fleener,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Bruce Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Richard Gordon,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Michael Hoomanawanui,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Anthony McCoy,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Clay Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jim Dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Michael Palmer,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Charles Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dorin Dickerson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Logan Paulsen,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Scott Chandler,2.0,4.0,22.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Lance Kendricks,3.0,7.0,18.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Rob Housler,2.0,2.0,18.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jordan Cameron,5.0,7.0,45.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Julius Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
D.J. Williams,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Niles Paul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Lee Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Orson Charles,1.0,1.0,25.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Evan Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Rhett Ellison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Taylor Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
James Hanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Greg Scruggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
David Paulson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Tommy Gallarda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dominique Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Danny Noble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Steve Maneri,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Mike McNeill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dante Rosario,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,TE,3,2012,,
Delanie Walker,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Fred Davis,7.0,7.0,90.0,12.9,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Gary Barnidge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Heath Miller,8.0,10.0,60.0,7.5,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jacob Tamme,3.0,10.0,31.0,10.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
James Casey,3.0,3.0,11.0,3.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Daniel Fells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jeff King,1.0,2.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Anthony Fasano,5.0,10.0,47.0,9.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Antonio Gates,3.0,7.0,22.0,7.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Bear Pascoe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Ben Hartsock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Benjamin Watson,4.0,8.0,15.0,3.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dallas Clark,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Brandon Myers,4.0,4.0,55.0,13.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Brandon Pettigrew,8.0,12.0,61.0,7.6,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,TE,3,2012,,
Brent Celek,2.0,6.0,36.0,18.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Brian Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Craig Stevens,5.0,7.0,63.0,12.6,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Tony Moeaki,2.0,3.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Tony Gonzalez,9.0,12.0,91.0,10.1,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Vernon Davis,5.0,8.0,53.0,10.6,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Will Heller,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Zach Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Zach Miller,2.0,4.0,12.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Zach Potter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jermaine Gresham,5.0,7.0,64.0,12.8,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Tim Tebow,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Dennis Pitta,5.0,7.0,50.0,10.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Ed Dickson,2.0,2.0,5.0,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Owen Daniels,3.0,5.0,26.0,8.7,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jermichael Finley,4.0,5.0,60.0,15.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Joel Dreessen,2.0,5.0,36.0,18.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
John Carlson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
John Phillips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Kellen Davis,2.0,3.0,20.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Kellen Winslow,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Martellus Bennett,6.0,7.0,73.0,12.2,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Matt Spaeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Matthew Mulligan,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Mike Leach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,3,2012,,
Jimmy Graham,4.0,8.0,16.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.6,CHI,TE,3,2012,LAR,True
Beau Brinkley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CHI,TE,3,2012,LAR,True
Luke Stocker,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1,MIN,TE,3,2012,SF,True
Rob Gronkowski,2.0,3.0,21.0,10.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,TB,TE,3,2012,DAL,False
Marcedes Lewis,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,GB,TE,3,2012,SEA,False
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CIN,TE,3,2012,WAS,False
Jason Witten,13.0,14.0,112.0,8.6,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.2,FA,TE,4,2012,,
Greg Olsen,6.0,7.0,89.0,14.8,34.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.9,FA,TE,4,2012,,
Bruce Miller,1.0,1.0,9.0,9.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.4,FA,TE,4,2012,,
Jeron Mastrud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Ryan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
David Ausberry,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Konrad Reuland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Richie Brockel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Kyle Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jeff Cumberland,4.0,5.0,17.0,4.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Charles Clay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Michael Hoomanawanui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Anthony McCoy,2.0,3.0,20.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Clay Harbor,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Garrett Graham,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tom Crabtree,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Lee Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Dorin Dickerson,2.0,2.0,36.0,18.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Logan Paulsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Scott Chandler,4.0,8.0,62.0,15.5,24.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Lance Kendricks,2.0,2.0,22.0,11.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Rob Housler,2.0,3.0,48.0,24.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jordan Cameron,1.0,6.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Julius Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Niles Paul,1.0,2.0,30.0,30.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Orson Charles,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jake Bequette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Rhett Ellison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Taylor Thompson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
James Hanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tommy Gallarda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Garrett Celek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Danny Noble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Steve Maneri,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Mike McNeill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Dante Rosario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Delanie Walker,2.0,4.0,31.0,15.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Fred Davis,4.0,4.0,70.0,17.5,26.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Gary Barnidge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jacob Tamme,5.0,6.0,38.0,7.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
James Casey,5.0,5.0,36.0,7.2,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Daniel Fells,1.0,2.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jeff King,2.0,2.0,22.0,11.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Anthony Fasano,5.0,5.0,30.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Antonio Gates,3.0,3.0,59.0,19.7,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Bear Pascoe,1.0,2.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Ben Hartsock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Benjamin Watson,5.0,6.0,52.0,10.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Dallas Clark,3.0,4.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Brandon Myers,1.0,2.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Brandon Pettigrew,7.0,9.0,67.0,9.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Brent Celek,4.0,5.0,57.0,14.3,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Brian Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Craig Stevens,2.0,2.0,24.0,12.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tony Moeaki,3.0,4.0,18.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tony Gonzalez,5.0,5.0,51.0,10.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tony Scheffler,1.0,3.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Vernon Davis,2.0,2.0,28.0,14.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Will Heller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Zach Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Zach Miller,3.0,3.0,32.0,10.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Zach Potter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jermaine Gresham,5.0,5.0,47.0,9.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Tim Tebow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Dennis Pitta,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Ed Dickson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Owen Daniels,6.0,6.0,72.0,12.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Jermichael Finley,4.0,5.0,54.0,13.5,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Joel Dreessen,2.0,3.0,17.0,8.5,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
John Carlson,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
John Phillips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Kellen Davis,3.0,4.0,62.0,20.7,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Martellus Bennett,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Matt Spaeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Matthew Mulligan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Mike Leach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,4,2012,,
Rob Gronkowski,5.0,11.0,104.0,20.8,41.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,14.4,TB,TE,4,2012,WAS,True
Marcedes Lewis,3.0,3.0,32.0,10.7,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.2,GB,TE,4,2012,NO,True
Jimmy Graham,7.0,9.0,76.0,10.9,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,CHI,TE,4,2012,DAL,False
Beau Brinkley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CHI,TE,4,2012,DAL,False
Jared Cook,3.0,4.0,36.0,12.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,LAC,TE,4,2012,KC,False
Kyle Rudolph,2.0,5.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,NYG,TE,4,2012,PHI,False
Luke Stocker,1.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,MIN,TE,4,2012,DET,False
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CIN,TE,4,2012,JAC,False
Jared Cook,5.0,8.0,37.0,7.4,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.7,LAC,TE,5,2012,NO,False
Kyle Rudolph,4.0,7.0,23.0,5.8,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.3,NYG,TE,5,2012,CLE,True
Greg Olsen,2.0,3.0,37.0,18.5,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,FA,TE,5,2012,,
Bruce Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.9,FA,TE,5,2012,,
Virgil Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
Ryan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
Konrad Reuland,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
Richie Brockel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
Kyle Adams,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
Jeff Cumberland,2.0,4.0,51.0,25.5,27.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,TE,5,2012,,
