player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Jerricho Cotchery,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Jeremy Maclin,7.0,14.0,96.0,13.7,46.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Jordy Nelson,5.0,7.0,64.0,12.8,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
James Jones,4.0,6.0,81.0,20.3,49.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Jacoby Jones,3.0,3.0,46.0,15.3,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Hakeem Nicks,4.0,6.0,38.0,9.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Greg Jennings,5.0,9.0,34.0,6.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Eric Weems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Josh Cribbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Lance Moore,6.0,10.0,120.0,20.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Mario Manningham,4.0,4.0,29.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Malcom Floyd,4.0,6.0,66.0,16.5,25.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Louis Murphy,3.0,5.0,63.0,21.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Lavelle Hawkins,2.0,4.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Josh Morgan,1.0,2.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kevin Walter,2.0,2.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kevin Ogletree,8.0,11.0,114.0,14.3,40.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kassim Osgood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Eddie Royal,2.0,2.0,4.0,2.0,7.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
