Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Alvin KamaraNO,15.8,73.8,0.7,5.3,45.4,0.3,0.1,17.6
Nick ChubbCLE,19.6,100.1,1.0,1.7,14.7,0.1,0.1,17.6
Christian McCaffreyCAR,18.7,77.5,0.7,5.7,45.3,0.2,0.1,17.3
Dalvin CookMIN,19.9,91.6,0.7,3.7,31.9,0.1,0.2,17.1
Derrick HenryTEN,21.8,101.4,0.8,1.8,14.6,0.1,0.1,16.6
Aaron JonesGB,15.1,76.4,0.8,3.5,30.1,0.2,0.1,16.2
Najee HarrisPIT,18.7,79.2,0.7,3.0,25.1,0.1,0.2,15.0
Austin EkelerLAC,13.5,58.4,0.5,5.0,40.2,0.3,0.1,14.5
Chris CarsonSEA,16.5,75.8,0.6,3.0,22.9,0.2,0.1,14.4
Antonio GibsonWAS,18.6,76.1,0.7,3.1,22.8,0.1,0.1,14.3
David MontgomeryCHI,17.8,75.8,0.6,2.8,21.1,0.1,0.1,14.0
Ezekiel ElliottDAL,15.8,69.1,0.6,3.2,24.0,0.1,0.1,13.7
Joe MixonCIN,17.7,71.0,0.5,3.5,25.7,0.1,0.1,13.4
Jonathan TaylorIND,15.7,66.5,0.6,2.8,23.2,0.1,0.1,13.0
D'Andre SwiftDET,11.8,51.3,0.5,4.5,39.4,0.2,0.1,12.9
Darrell Henderson Jr.LAR,17.2,67.4,0.6,2.0,17.6,0.1,0.1,12.4
Damien HarrisNE,18.7,78.8,0.6,1.0,8.5,0.0,0.1,12.3
Miles SandersPHI,13.6,60.9,0.5,2.8,23.5,0.1,0.1,11.8
Elijah MitchellSF,15.4,69.6,0.6,1.1,10.0,0.0,0.1,11.6
Melvin Gordon IIIDEN,13.3,61.5,0.6,2.2,15.2,0.1,0.1,11.4
Kareem HuntCLE,9.5,42.9,0.6,2.6,23.7,0.2,0.1,10.9
Clyde Edwards-HelaireKC,14.1,57.4,0.3,3.2,25.8,0.1,0.1,10.8
Saquon BarkleyNYG,12.7,55.7,0.4,2.8,21.2,0.1,0.1,10.7
Myles GaskinMIA,12.0,53.0,0.3,3.4,26.7,0.1,0.1,10.5
Kenyan DrakeLV,13.0,53.4,0.3,3.3,23.1,0.1,0.1,10.1
James RobinsonJAC,11.4,50.8,0.3,3.2,23.9,0.1,0.1,9.9
Mike DavisATL,13.2,48.9,0.3,3.6,23.5,0.1,0.1,9.5
Ty'Son WilliamsBAL,10.9,50.9,0.4,1.8,14.2,0.1,0.1,9.4
Chase EdmondsARI,10.4,43.8,0.2,3.5,28.7,0.2,0.1,9.3
Javonte WilliamsDEN,12.9,52.0,0.4,1.4,12.1,0.1,0.1,9.3
Leonard FournetteTB,11.8,46.7,0.4,2.6,17.9,0.1,0.1,9.0
Devin SingletaryBUF,12.3,47.7,0.2,2.3,16.3,0.1,0.1,7.9
Ronald Jones IITB,10.4,43.0,0.5,0.7,5.0,0.0,0.1,7.7
James ConnerARI,11.0,46.2,0.3,1.4,10.5,0.0,0.1,7.4
Jamaal WilliamsDET,9.3,37.0,0.2,2.6,18.7,0.1,0.1,6.9
Nyheim HinesIND,5.7,21.8,0.1,3.8,28.1,0.1,0.1,6.5
Mark Ingram IINO,11.0,41.3,0.2,0.9,6.9,0.0,0.1,6.3
James WhiteNE,3.8,14.2,0.1,4.1,32.0,0.2,0.1,6.3
AJ DillonGB,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.0
Latavius MurrayBAL,9.1,37.1,0.2,0.9,6.4,0.0,0.1,5.8
Damien WilliamsCHI,5.9,25.2,0.2,2.0,15.3,0.1,0.1,5.6
Tevin ColemanNYJ,9.8,36.9,0.2,1.0,7.8,0.0,0.1,5.6
Tony PollardDAL,5.5,24.8,0.2,1.8,13.8,0.1,0.0,5.2
Carlos HydeJAC,8.5,32.3,0.2,1.2,7.7,0.0,0.1,4.9
Tony Jones Jr.NO,7.3,27.8,0.2,1.1,8.8,0.1,0.0,4.9
Kenneth GainwellPHI,6.1,23.0,0.2,1.4,11.5,0.1,0.0,4.6
J.D. McKissicWAS,3.7,16.2,0.1,2.9,21.9,0.1,0.1,4.6
Peyton BarberLV,9.1,29.2,0.2,0.6,4.9,0.0,0.1,4.5
Larry Rountree IIILAC,6.4,25.4,0.2,0.8,6.5,0.0,0.1,4.5
Ty JohnsonNYJ,5.4,23.5,0.1,1.8,13.6,0.1,0.1,4.5
Michael CarterNYJ,6.2,23.5,0.1,1.2,9.4,0.0,0.0,4.1
Cordarrelle PattersonATL,4.7,18.4,0.1,1.3,11.4,0.1,0.0,4.1
David JohnsonHOU,3.7,14.0,0.1,2.3,17.7,0.1,0.0,4.1
Sony MichelLAR,5.4,23.5,0.1,0.7,5.7,0.0,0.0,3.7
Trey SermonSF,5.0,21.1,0.1,0.8,6.0,0.0,0.0,3.7
Phillip LindsayMIA,5.2,22.3,0.1,1.0,6.7,0.0,0.0,3.6
Malcolm BrownMIA,5.7,20.4,0.2,0.7,4.9,0.0,0.1,3.5
Zack MossBUF,4.8,20.9,0.1,0.5,4.0,0.0,0.0,3.3
Giovani BernardTB,2.3,10.1,0.1,1.9,15.0,0.1,0.0,3.3
JaMycal HastySF,3.6,15.4,0.1,1.0,8.3,0.0,0.0,3.1
Darrel WilliamsKC,3.8,15.5,0.1,1.2,8.9,0.0,0.0,3.1
Salvon AhmedMIA,3.7,16.1,0.1,1.0,7.8,0.0,0.0,3.0
Samaje PerineCIN,3.5,15.2,0.1,0.9,6.8,0.0,0.0,2.8
Justin JacksonLAC,2.4,13.7,0.1,0.9,7.0,0.0,0.0,2.7
Alexander MattisonMIN,3.5,16.4,0.1,0.6,6.0,0.0,0.0,2.7
DeeJay DallasSEA,3.1,11.7,0.1,0.9,7.7,0.0,0.0,2.5
Trey RagasLV,2.9,11.1,0.0,0.8,8.3,0.1,0.0,2.5
Alex CollinsSEA,2.5,12.2,0.1,0.4,3.6,0.0,0.0,2.3
Devonta FreemanBAL,2.7,12.1,0.1,0.6,4.9,0.0,0.0,2.3
J.J. TaylorNE,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.3
Matt BreidaBUF,3.7,14.4,0.0,0.7,5.2,0.0,0.0,2.1
Kyle JuszczykSF,0.7,2.5,0.0,1.3,12.2,0.1,0.0,2.1
Ty MontgomeryNO,1.0,5.6,0.0,1.1,10.1,0.0,0.0,2.0
Marlon MackIND,1.2,11.5,0.1,0.3,2.2,0.0,0.0,1.9
Benny Snell Jr.PIT,2.3,11.0,0.1,0.2,1.7,0.0,0.0,1.8
Rex BurkheadHOU,0.4,4.6,0.0,0.9,7.0,0.0,0.0,1.6
Rhamondre StevensonNE,4.0,15.0,0.0,0.0,0.0,0.0,0.0,1.5
Wayne Gallman Jr.MIN,2.0,9.0,0.1,0.0,0.0,0.0,0.0,1.5
Chuba HubbardCAR,1.8,6.5,0.0,0.7,5.0,0.0,0.0,1.4
Kalen BallagePIT,1.1,7.2,0.1,0.4,2.9,0.0,0.0,1.4
Darrynton EvansTEN,1.2,4.8,0.0,0.7,5.3,0.0,0.0,1.4
Kylin HillGB,1.3,7.4,0.1,0.3,3.0,0.0,0.0,1.4
Jaret PattersonWAS,1.5,7.2,0.1,0.3,2.4,0.0,0.0,1.3
Alec IngoldLV,0.3,1.2,0.0,0.9,7.8,0.0,0.0,1.2
Damarea CrockettDEN,1.0,6.8,0.0,0.4,2.7,0.0,0.0,1.2
Ameer AbdullahCAR,1.2,5.0,0.0,0.6,4.0,0.0,0.0,1.2
Patrick RicardBAL,0.1,0.1,0.0,1.0,7.6,0.1,0.0,1.2
Travis HomerSEA,0.7,4.7,0.0,0.5,3.8,0.0,0.0,1.2
Brandon BoldenNE,0.9,3.7,0.1,0.3,3.4,0.0,0.0,1.1
C.J. HamMIN,0.3,1.2,0.0,0.7,6.0,0.0,0.0,1.0
Dare OgunbowaleJAC,0.4,4.5,0.0,0.4,3.4,0.0,0.0,1.0
Chris EvansCIN,0.8,4.7,0.0,0.3,2.1,0.0,0.0,0.9
Boston ScottPHI,0.6,4.0,0.0,0.3,2.9,0.0,0.0,0.9
Keith SmithATL,0.6,2.4,0.0,0.7,5.2,0.0,0.0,0.9
Trey EdmundsPIT,0.8,3.3,0.0,0.4,2.9,0.0,0.0,0.9
Khalil HerbertCHI,0.7,3.8,0.0,0.2,1.5,0.0,0.0,0.8
Jerick McKinnonKC,0.7,3.6,0.0,0.4,2.8,0.0,0.0,0.8
Demetric FeltonCLE,0.7,3.8,0.0,0.2,1.7,0.0,0.0,0.8
Jake FunkLAR,0.3,3.8,0.0,0.2,1.5,0.0,0.0,0.7
Derek WattPIT,0.4,2.6,0.0,0.1,1.1,0.0,0.0,0.6
Mekhi SargentJAC,0.3,3.6,0.0,0.2,1.3,0.0,0.0,0.6
Gabe NabersLAC,0.5,1.8,0.0,0.3,1.9,0.0,0.0,0.6
Jason CabindaDET,1.5,3.6,0.0,0.2,1.8,0.0,0.0,0.6
Gary BrightwellNYG,0.4,3.0,0.0,0.2,1.7,0.0,0.0,0.6
Corey ClementDAL,0.6,3.1,0.0,0.1,1.2,0.0,0.0,0.6
Royce FreemanHOU,0.7,3.5,0.0,0.2,1.3,0.0,0.0,0.5
Trenton CannonSF,0.3,1.5,0.0,0.3,2.1,0.0,0.0,0.5
Andy JanovichCLE,0.1,0.5,0.0,0.3,3.3,0.0,0.0,0.5
D'Ernest JohnsonCLE,0.8,3.4,0.0,0.1,1.2,0.0,0.0,0.5
Taiwan JonesBUF,0.4,1.7,0.0,0.1,1.7,0.0,0.0,0.4
Alex Armah Jr.WAS,0.0,0.8,0.0,0.3,1.8,0.0,0.0,0.3
Jakob JohnsonNE,0.0,0.2,0.0,0.3,1.6,0.0,0.0,0.3
Michael BurtonKC,0.2,0.9,0.0,0.3,1.7,0.0,0.0,0.3
Elijhaa PennyNYG,0.5,1.7,0.0,0.2,0.9,0.0,0.0,0.3
Godwin IgwebuikeDET,0.4,1.5,0.0,0.1,1.0,0.0,0.0,0.3
Dwayne WashingtonNO,0.3,0.8,0.0,0.1,1.2,0.0,0.0,0.2
Khari BlasingameTEN,0.0,0.2,0.0,0.2,1.9,0.0,0.0,0.2
Cullen GillaspiaNYG,0.3,1.3,0.0,0.1,0.9,0.0,0.0,0.2
Nick BelloreSEA,0.3,0.9,0.0,0.1,1.0,0.0,0.0,0.2
Giovanni RicciCAR,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
Reggie GilliamBUF,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1
Adrian Killins Jr.DEN,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1
Austin WalterNYJ,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1
Alfred MorrisNYG,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.1
Dontrell HilliardTEN,0.0,0.2,0.0,0.1,0.4,0.0,0.0,0.1
Antonio WilliamsNYG,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
Jonathan WilliamsWAS,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
Mike BooneDEN,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
Jordan HowardPHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb HuntleyATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate McCraryBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh JacobsLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eno BenjaminARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerrid DoaksMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashaad PennySEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La'Mical PerineNYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermar JeffersonDET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarik CohenCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick GoreKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua KelleyLAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter WilliamsCLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke Johnson Jr.MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony McFarland Jr.PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JaQuan HardyDAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ke'Shawn VaughnTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kene NwangwuMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne Jr.JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Taylor Jr.GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trayveon WilliamsCIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
