Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffreyCAR,16.6,69.8,0.6,5.3,47.2,0.2,0.1,16.3
Nick ChubbCLE,18.7,95.3,0.8,1.8,14.7,0.1,0.1,16.1
Najee HarrisPIT,20.5,81.2,0.6,4.1,32.0,0.2,0.1,15.5
Austin EkelerLAC,14.5,64.2,0.5,4.7,40.8,0.3,0.1,15.3
Dalvin CookMIN,19.0,86.9,0.6,3.0,22.8,0.1,0.1,15.0
Jonathan TaylorIND,17.0,82.0,0.7,2.9,22.9,0.1,0.1,14.9
AJ DillonGB,18.0,79.8,0.6,2.6,23.4,0.1,0.1,14.0
Ezekiel ElliottDAL,16.4,71.0,0.6,2.9,22.3,0.1,0.1,13.4
Joe MixonCIN,16.0,68.1,0.6,2.6,20.4,0.1,0.1,13.2
Leonard FournetteTB,15.7,63.2,0.6,3.6,26.6,0.1,0.1,13.1
D'Andre SwiftDET,14.0,56.2,0.5,4.5,38.2,0.2,0.1,12.9
James ConnerARI,16.3,65.4,0.7,2.4,19.4,0.1,0.1,12.7
Mark Ingram IINO,16.5,65.5,0.5,3.0,24.6,0.1,0.1,12.6
Jeff Wilson Jr.SF,15.3,67.4,0.6,1.7,15.8,0.1,0.1,12.5
David MontgomeryCHI,15.6,64.4,0.5,2.6,21.5,0.1,0.1,12.1
James RobinsonJAC,14.3,61.9,0.6,2.5,18.5,0.1,0.1,11.7
Myles GaskinMIA,13.8,54.6,0.5,3.6,25.5,0.2,0.1,11.6
Michael CarterNYJ,13.1,52.4,0.5,3.3,27.2,0.1,0.1,11.3
Saquon BarkleyNYG,13.4,54.3,0.4,3.5,26.2,0.1,0.1,11.3
Josh JacobsLV,13.1,53.2,0.6,2.8,21.1,0.1,0.1,11.0
Damien HarrisNE,14.4,64.9,0.6,0.9,6.7,0.0,0.1,10.9
Antonio GibsonWAS,15.1,60.9,0.5,1.9,14.4,0.1,0.1,10.9
D'Onta ForemanTEN,13.8,53.9,0.5,1.4,13.6,0.1,0.1,9.8
Alex CollinsSEA,14.2,59.5,0.4,1.2,9.5,0.0,0.1,9.1
Rhamondre StevensonNE,9.5,40.1,0.5,2.1,18.1,0.1,0.1,8.8
Darrel WilliamsKC,8.3,35.4,0.4,2.5,20.5,0.1,0.0,8.6
Miles SandersPHI,9.9,43.7,0.2,2.3,19.6,0.1,0.1,8.1
Adrian PetersonSEA,10.9,50.3,0.4,0.6,4.6,0.0,0.1,7.9
Clyde Edwards-HelaireKC,9.9,40.5,0.2,2.2,17.7,0.1,0.1,7.6
Mike DavisATL,10.5,37.9,0.2,3.2,20.6,0.1,0.1,7.4
Devonta FreemanBAL,8.8,41.3,0.2,1.9,14.1,0.1,0.1,7.1
D'Ernest JohnsonCLE,9.1,38.5,0.2,1.4,12.7,0.0,0.1,6.7
Tony PollardDAL,7.2,34.4,0.2,2.1,17.6,0.1,0.1,6.5
Zack MossBUF,8.7,32.2,0.2,1.7,14.3,0.1,0.1,6.4
Kenyan DrakeLV,6.2,27.2,0.2,2.6,21.5,0.1,0.1,6.4
David JohnsonHOU,6.9,29.7,0.1,2.5,20.8,0.1,0.1,6.3
Devin SingletaryBUF,7.9,34.5,0.2,1.9,12.4,0.1,0.1,5.8
Latavius MurrayBAL,9.3,37.1,0.2,0.9,6.6,0.0,0.1,5.8
J.D. McKissicWAS,4.0,16.9,0.1,4.2,30.1,0.1,0.1,5.7
Jamaal WilliamsDET,7.6,30.6,0.2,1.7,11.8,0.0,0.0,5.4
Wayne Gallman Jr.MIN,9.2,31.6,0.2,1.1,9.2,0.0,0.1,5.1
Ty JohnsonNYJ,4.7,18.9,0.1,2.4,20.5,0.1,0.0,5.1
Brandon BoldenNE,3.8,16.8,0.1,2.4,20.8,0.1,0.0,4.8
Jordan HowardPHI,7.9,31.0,0.2,0.3,3.0,0.0,0.1,4.7
Duke Johnson Jr.MIA,5.3,20.4,0.2,1.7,14.4,0.1,0.1,4.7
Samaje PerineCIN,5.9,24.9,0.2,1.1,8.4,0.1,0.1,4.5
Phillip LindsayMIA,8.4,32.2,0.1,0.4,2.8,0.0,0.1,4.3
Nyheim HinesIND,4.0,16.3,0.1,2.5,18.1,0.1,0.0,4.2
Khalil HerbertCHI,6.0,24.2,0.1,1.1,8.9,0.0,0.1,4.2
Tony Jones Jr.NO,4.6,19.6,0.1,1.3,11.4,0.0,0.0,4.0
Trey SermonSF,5.9,23.2,0.2,0.6,5.2,0.0,0.0,3.9
Boston ScottPHI,5.0,19.0,0.1,1.3,11.2,0.0,0.0,3.9
Rex BurkheadHOU,4.3,15.2,0.1,1.3,11.2,0.1,0.0,3.8
Eno BenjaminARI,5.9,21.7,0.1,0.9,7.4,0.0,0.1,3.8
Alexander MattisonMIN,5.0,20.5,0.1,1.0,8.0,0.0,0.0,3.6
Ronald Jones IITB,5.2,22.7,0.2,0.4,3.2,0.0,0.0,3.6
Chuba HubbardCAR,4.3,17.3,0.1,1.0,9.4,0.0,0.0,3.4
Patrick Taylor Jr.GB,4.2,16.5,0.1,0.9,7.7,0.0,0.0,3.3
Salvon AhmedMIA,5.0,19.0,0.0,2.0,13.0,0.0,0.0,3.2
Giovani BernardTB,2.5,10.0,0.1,1.8,12.8,0.1,0.0,3.1
Joshua KelleyLAC,4.0,14.0,0.1,1.1,11.0,0.1,0.0,3.1
Carlos HydeJAC,4.5,17.9,0.1,1.0,6.3,0.0,0.0,3.0
Justin JacksonLAC,3.8,18.6,0.1,0.7,5.3,0.0,0.0,2.9
Demetric FeltonCLE,1.1,5.7,0.0,1.4,15.0,0.1,0.0,2.8
Kyle JuszczykSF,1.3,3.9,0.0,1.7,16.1,0.1,0.0,2.8
Dontrell HilliardTEN,3.9,13.3,0.1,0.7,6.2,0.0,0.0,2.7
Travis HomerSEA,2.1,9.6,0.0,1.3,11.3,0.1,0.0,2.6
Tevin ColemanNYJ,3.7,15.4,0.1,0.4,3.4,0.0,0.0,2.5
Kenneth GainwellPHI,3.0,13.0,0.0,1.0,12.0,0.0,0.0,2.5
Rashaad PennySEA,3.8,16.1,0.1,0.3,2.5,0.0,0.0,2.5
Peyton BarberLV,2.1,12.9,0.1,0.4,2.9,0.0,0.0,2.3
Larry Rountree IIILAC,3.8,13.6,0.1,0.3,2.6,0.0,0.0,2.3
Ameer AbdullahCAR,2.0,8.6,0.0,1.2,9.5,0.0,0.0,2.2
Ty'Son WilliamsBAL,2.7,11.9,0.1,0.6,4.6,0.0,0.0,2.2
Matt BreidaBUF,2.8,11.5,0.1,0.6,4.4,0.0,0.1,2.1
Jaret PattersonWAS,3.3,13.2,0.1,0.3,2.0,0.0,0.0,2.0
Derrick GoreKC,2.8,10.0,0.1,0.3,3.0,0.0,0.0,1.9
DeeJay DallasSEA,2.0,7.0,0.1,1.0,8.0,0.0,0.0,1.8
Jerick McKinnonKC,1.2,6.5,0.1,0.9,6.9,0.0,0.0,1.8
Chris EvansCIN,1.0,3.3,0.0,1.0,8.9,0.1,0.0,1.7
Tavien FeasterARI,0.0,9.5,0.1,0.7,3.1,0.0,0.0,1.7
Qadree OllisonATL,2.1,7.7,0.1,0.4,2.9,0.0,0.0,1.5
Patrick RicardBAL,0.3,0.7,0.0,1.0,8.3,0.1,0.0,1.4
Alec IngoldLV,0.7,2.9,0.0,0.8,7.0,0.0,0.0,1.4
Kalen BallagePIT,1.9,5.6,0.1,0.6,3.8,0.0,0.0,1.3
Elijhaa PennyNYG,1.3,6.7,0.1,0.2,1.6,0.0,0.0,1.2
Tarik CohenCHI,1.7,6.7,0.0,0.7,4.7,0.0,0.0,1.1
C.J. HamMIN,0.5,2.0,0.0,0.9,6.9,0.0,0.0,1.1
Patrick LairdMIA,1.0,3.0,0.0,0.6,4.4,0.0,0.0,0.9
Dwayne WashingtonNO,1.2,5.2,0.0,0.3,3.1,0.0,0.0,0.9
Corey ClementDAL,1.8,6.4,0.0,0.3,1.6,0.0,0.0,0.9
Keith SmithATL,0.9,2.5,0.0,0.6,4.6,0.0,0.0,0.8
Benny Snell Jr.PIT,1.4,4.9,0.0,0.2,1.4,0.0,0.0,0.8
Dare OgunbowaleJAC,0.9,3.4,0.0,0.4,3.0,0.0,0.0,0.7
Kene NwangwuMIN,0.6,3.9,0.0,0.2,1.7,0.0,0.0,0.7
Ke'Shawn VaughnTB,1.6,6.0,0.0,0.1,1.0,0.0,0.0,0.7
Godwin IgwebuikeDET,0.9,3.6,0.0,0.1,1.3,0.0,0.0,0.7
Alex Armah Jr.WAS,0.7,2.0,0.0,0.3,1.8,0.0,0.0,0.6
Trenton CannonSF,1.3,2.0,0.0,0.3,3.2,0.0,0.0,0.5
Deon JacksonIND,0.2,1.8,0.0,0.4,2.2,0.0,0.0,0.5
Taiwan JonesBUF,0.5,2.1,0.0,0.2,2.3,0.0,0.0,0.5
Ryan NallCHI,0.3,0.9,0.0,0.3,3.3,0.0,0.0,0.5
Johnny StantonCLE,0.7,3.0,0.0,0.2,2.0,0.0,0.0,0.5
Andy JanovichCLE,0.5,0.4,0.0,0.2,1.9,0.0,0.0,0.5
Gary BrightwellNYG,0.5,2.5,0.0,0.1,1.0,0.0,0.0,0.4
Jakob JohnsonNE,0.2,0.4,0.0,0.4,3.4,0.0,0.0,0.4
Reggie GilliamBUF,0.5,2.0,0.0,0.1,2.0,0.0,0.0,0.4
Giovanni RicciCAR,0.0,0.0,0.0,0.3,4.0,0.0,0.0,0.4
Jason CabindaDET,0.9,1.5,0.0,0.2,1.4,0.0,0.0,0.3
Michael BurtonKC,0.6,1.3,0.0,0.2,1.2,0.0,0.0,0.3
Tory CarterTEN,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.3
