Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan TaylorIND,22.1,107.1,1.0,3.2,26.4,0.1,0.1,19.8
Joe MixonCIN,20.0,85.7,0.8,2.8,20.6,0.1,0.1,15.9
Austin EkelerLAC,12.5,55.9,0.5,4.8,42.0,0.3,0.1,14.5
Alvin KamaraNO,17.0,65.6,0.4,4.7,41.1,0.3,0.2,14.5
Alexander MattisonMIN,19.6,79.4,0.5,2.8,24.3,0.1,0.1,14.1
Elijah MitchellSF,19.9,84.0,0.6,2.0,17.7,0.1,0.1,14.1
Leonard FournetteTB,15.9,64.6,0.7,4.2,30.0,0.1,0.1,14.0
James ConnerARI,16.9,67.1,0.7,2.4,19.5,0.1,0.1,13.3
Antonio GibsonWAS,17.4,71.5,0.6,2.9,21.1,0.1,0.1,13.3
Najee HarrisPIT,16.7,65.7,0.5,3.7,29.1,0.1,0.1,13.2
Javonte WilliamsDEN,15.2,71.6,0.5,3.2,26.2,0.1,0.1,13.2
Jamaal WilliamsDET,15.1,64.3,0.6,3.2,21.8,0.1,0.0,12.3
Miles SandersPHI,15.5,70.8,0.5,1.9,14.3,0.1,0.1,12.0
David MontgomeryCHI,15.7,67.9,0.5,2.7,20.2,0.1,0.1,11.9
Dalvin CookMIN,14.9,68.1,0.5,2.7,22.5,0.0,0.2,11.7
Myles GaskinMIA,14.7,57.7,0.5,3.2,22.0,0.1,0.1,11.6
James RobinsonJAC,14.4,61.3,0.5,2.6,19.8,0.1,0.1,11.5
Ezekiel ElliottDAL,13.9,57.7,0.5,2.7,19.9,0.1,0.1,11.4
Josh JacobsLV,13.7,55.0,0.5,3.1,24.0,0.1,0.1,11.4
Cordarrelle PattersonATL,9.8,44.4,0.3,3.9,38.0,0.2,0.1,11.3
Saquon BarkleyNYG,13.9,59.2,0.4,3.4,24.6,0.1,0.1,11.3
Sony MichelLAR,14.9,63.8,0.5,1.7,13.8,0.1,0.1,11.2
Mark Ingram IINO,13.3,56.9,0.5,2.7,22.3,0.1,0.1,11.0
Clyde Edwards-HelaireKC,13.0,55.5,0.4,1.9,15.5,0.1,0.1,10.0
Devonta FreemanBAL,11.1,49.4,0.4,2.0,15.6,0.1,0.1,9.4
Damien HarrisNE,12.1,54.8,0.5,1.0,7.6,0.0,0.1,9.1
Rex BurkheadHOU,12.0,46.5,0.3,2.0,17.8,0.1,0.1,8.4
Tony PollardDAL,8.9,41.0,0.2,2.2,17.9,0.1,0.0,7.4
Devin SingletaryBUF,9.8,43.9,0.2,2.2,14.3,0.1,0.1,7.0
Rhamondre StevensonNE,9.2,41.4,0.2,1.7,14.3,0.1,0.1,7.0
Tevin ColemanNYJ,10.5,43.7,0.2,1.6,11.2,0.0,0.0,7.0
Boston ScottPHI,9.3,38.2,0.3,1.3,9.7,0.1,0.1,6.7
J.D. McKissicWAS,5.3,24.7,0.2,2.9,25.4,0.1,0.1,6.6
Darrel WilliamsKC,6.4,26.0,0.2,2.4,20.0,0.1,0.1,6.4
Melvin Gordon IIIDEN,7.3,32.5,0.3,1.1,8.9,0.1,0.1,6.3
Ty JohnsonNYJ,7.3,27.1,0.1,2.4,20.5,0.1,0.1,6.0
Darrell Henderson Jr.LAR,7.7,33.9,0.2,1.1,9.0,0.1,0.1,5.9
Kenyan DrakeLV,5.3,22.1,0.1,2.1,18.1,0.1,0.0,5.4
Chase EdmondsARI,6.3,27.5,0.1,2.2,14.9,0.1,0.1,5.2
Matt BreidaBUF,6.7,29.1,0.1,1.5,13.0,0.1,0.1,5.2
Latavius MurrayBAL,8.1,31.8,0.2,1.0,6.8,0.0,0.1,5.1
Austin WalterNYJ,7.8,25.0,0.2,1.2,10.7,0.1,0.1,5.1
Mike DavisATL,6.3,22.9,0.1,2.5,17.0,0.1,0.0,5.1
David JohnsonHOU,5.6,19.1,0.1,2.4,21.3,0.1,0.1,5.0
