Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan TaylorIND,24.2,110.7,1.0,2.1,17.0,0.1,0.1,19.0
Alvin KamaraNO,16.4,68.2,0.6,4.3,38.9,0.2,0.1,15.1
Najee HarrisPIT,18.3,73.9,0.6,3.7,27.3,0.1,0.1,14.3
David MontgomeryCHI,18.8,73.9,0.6,3.5,25.6,0.1,0.1,14.1
Nick ChubbCLE,16.8,83.9,0.6,2.3,17.4,0.1,0.1,14.0
Dalvin CookMIN,17.3,79.2,0.4,3.2,24.4,0.3,0.1,13.9
Chase EdmondsARI,14.3,62.7,0.5,4.2,32.3,0.1,0.1,13.4
Joe MixonCIN,16.8,71.6,0.6,2.4,18.9,0.1,0.1,13.3
Austin EkelerLAC,12.6,56.9,0.5,3.7,31.9,0.2,0.1,13.3
Aaron JonesGB,13.2,62.3,0.6,3.2,23.5,0.2,0.1,12.8
Sony MichelLAR,16.5,69.8,0.6,2.3,19.4,0.1,0.1,12.7
Ronald Jones IITB,16.8,72.1,0.7,1.9,12.9,0.1,0.1,12.7
Josh JacobsLV,15.0,60.8,0.5,3.8,27.7,0.1,0.1,12.2
Damien HarrisNE,16.0,71.7,0.7,1.0,7.6,0.0,0.1,12.1
Rashaad PennySEA,15.7,72.2,0.6,0.9,7.9,0.1,0.1,11.9
Elijah MitchellSF,14.3,64.3,0.6,1.7,12.6,0.1,0.0,11.7
Ezekiel ElliottDAL,12.7,54.9,0.5,2.5,18.3,0.1,0.1,11.0
Darrel WilliamsKC,11.9,46.2,0.5,3.2,27.6,0.1,0.0,10.9
Javonte WilliamsDEN,12.0,53.8,0.4,2.7,22.2,0.1,0.1,10.6
Devin SingletaryBUF,14.6,59.6,0.3,3.1,20.6,0.1,0.1,10.2
Cordarrelle PattersonATL,10.5,48.6,0.3,3.0,26.6,0.1,0.1,9.9
D'Andre SwiftDET,13.1,52.5,0.2,3.7,28.0,0.1,0.1,9.9
Michael CarterNYJ,11.3,49.9,0.3,3.3,27.3,0.1,0.1,9.8
Saquon BarkleyNYG,13.1,56.8,0.2,2.6,20.3,0.1,0.1,9.4
D'Onta ForemanTEN,13.6,58.8,0.3,1.1,10.8,0.1,0.1,8.8
Rex BurkheadHOU,13.1,52.2,0.2,2.0,15.9,0.1,0.0,8.6
Melvin Gordon IIIDEN,12.6,52.6,0.3,1.6,11.5,0.1,0.1,8.5
Jordan HowardPHI,12.0,46.8,0.5,0.8,6.3,0.0,0.0,8.4
AJ DillonGB,12.8,51.3,0.2,1.6,12.7,0.1,0.1,8.1
Devonta FreemanBAL,11.7,46.5,0.2,2.4,17.0,0.1,0.0,8.0
Jaret PattersonWAS,12.5,51.7,0.3,1.0,8.1,0.0,0.1,7.6
Dare OgunbowaleJAC,10.0,43.0,0.2,2.0,15.3,0.0,0.1,7.2
Boston ScottPHI,9.4,42.6,0.3,1.4,11.4,0.0,0.1,7.1
Tony PollardDAL,8.4,38.0,0.2,2.0,16.1,0.1,0.1,6.9
Rhamondre StevensonNE,8.5,39.8,0.3,1.1,10.3,0.0,0.1,6.7
Duke Johnson Jr.MIA,10.5,42.3,0.2,1.4,11.1,0.0,0.1,6.5
Chuba HubbardCAR,11.5,43.2,0.2,0.9,7.0,0.0,0.1,6.3
Justin JacksonLAC,6.8,29.7,0.2,1.4,11.6,0.1,0.0,5.4
DeeJay DallasSEA,6.7,25.0,0.2,1.8,15.1,0.1,0.1,5.3
Mike DavisATL,7.4,28.7,0.1,2.3,16.1,0.1,0.1,5.3
Myles GaskinMIA,6.2,25.1,0.1,2.6,17.4,0.1,0.1,5.2
Jamaal WilliamsDET,8.4,33.3,0.1,1.5,10.2,0.0,0.0,5.1
Jonathan WilliamsWAS,7.5,26.0,0.1,1.6,13.9,0.1,0.1,5.0
Latavius MurrayBAL,8.1,29.0,0.2,1.1,7.9,0.0,0.0,4.9
Dontrell HilliardTEN,5.5,24.1,0.1,2.0,16.2,0.1,0.1,4.9
Brandon BoldenNE,3.3,12.5,0.1,2.7,23.8,0.1,0.0,4.8
Kareem HuntCLE,4.1,22.9,0.2,1.3,10.8,0.1,0.0,4.6
Ameer AbdullahCAR,5.1,18.8,0.1,2.5,18.8,0.1,0.1,4.5
Ke'Shawn VaughnTB,4.9,21.7,0.1,1.4,11.1,0.1,0.0,4.4
Zack MossBUF,5.7,23.2,0.1,1.1,9.2,0.1,0.0,4.4
Jeff Wilson Jr.SF,5.9,25.5,0.1,0.8,6.8,0.0,0.1,4.1
Royce FreemanHOU,7.2,25.6,0.1,1.0,7.3,0.0,0.0,3.9
Mark Ingram IINO,7.0,26.0,0.0,1.0,12.0,0.0,0.0,3.8
D'Ernest JohnsonCLE,4.6,18.8,0.1,1.3,11.5,0.0,0.0,3.8
Nyheim HinesIND,3.2,13.3,0.1,1.8,15.1,0.1,0.0,3.8
Derrick GoreKC,5.1,19.8,0.1,0.9,7.8,0.0,0.0,3.7
Craig ReynoldsDET,4.7,19.0,0.1,1.3,11.6,0.0,0.0,3.6
Kenneth GainwellPHI,2.1,9.8,0.1,1.7,16.3,0.1,0.0,3.6
Alexander MattisonMIN,4.3,18.9,0.1,1.1,8.8,0.0,0.0,3.4
Ty JohnsonNYJ,4.3,16.0,0.1,1.0,8.1,0.1,0.0,3.3
Phillip LindsayMIA,5.7,22.4,0.1,0.3,1.8,0.0,0.0,3.2
Peyton BarberLV,4.3,17.0,0.1,1.0,8.3,0.0,0.0,3.1
Samaje PerineCIN,3.1,13.2,0.1,1.3,10.1,0.0,0.0,2.9
