player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,lst,fantasy_points,team,position,week,year
DeeJay Dallas,3.9,13.5,0.1,1.1,9.1,0.0,0.0,2.6,SEA,RB,6,2021
Mike Boone,3.4,14.3,0.1,0.2,1.4,0.0,0.0,2.4,DEN,RB,6,2021
Justin Jackson,2.9,11.7,0.1,0.8,6.7,0.0,0.0,2.3,LAC,RB,6,2021
Derrick Gore,0.0,12.1,0.1,0.6,4.4,0.0,0.0,2.3,KC,RB,6,2021
Joshua Kelley,3.3,11.0,0.1,0.7,5.9,0.0,0.0,2.2,LAC,RB,6,2021
Travis Homer,2.3,8.3,0.0,1.0,8.7,0.0,0.0,1.9,SEA,RB,6,2021
Gary Brightwell,2.2,8.7,0.0,0.7,5.4,0.0,0.0,1.8,NYG,RB,6,2021
Kalen Ballage,2.3,7.2,0.1,0.8,4.8,0.0,0.0,1.6,PIT,RB,6,2021
Larry Rountree III,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1.6,LAC,RB,6,2021
Jaret Patterson,1.7,7.2,0.1,0.4,3.1,0.0,0.0,1.5,WAS,RB,6,2021
Benny Snell Jr.,1.8,6.8,0.1,0.4,3.2,0.0,0.0,1.4,PIT,RB,6,2021
Darrynton Evans,1.4,5.2,0.0,0.6,5.0,0.0,0.0,1.4,TEN,RB,6,2021
Rashaad Penny,1.6,6.0,0.0,0.5,3.6,0.0,0.0,1.3,SEA,RB,6,2021
Anthony McFarland Jr.,1.3,4.7,0.0,0.5,4.2,0.0,0.0,1.3,PIT,RB,6,2021
Patrick Ricard,0.3,1.0,0.0,1.0,7.2,0.1,0.0,1.3,BAL,RB,6,2021
Rex Burkhead,1.0,4.0,0.0,0.7,5.4,0.0,0.0,1.2,HOU,RB,6,2021
Elijhaa Penny,1.5,5.5,0.1,0.3,2.4,0.0,0.0,1.1,NYG,RB,6,2021
Kylin Hill,1.6,6.6,0.0,0.3,2.9,0.0,0.0,1.1,GB,RB,6,2021
Andy Janovich,1.0,3.8,0.0,0.4,3.9,0.0,0.0,1.1,CLE,RB,6,2021
Jermar Jefferson,1.1,4.9,0.1,0.2,2.4,0.0,0.0,1.0,DET,RB,6,2021
Matt Breida,1.9,8.4,0.0,0.2,1.5,0.0,0.0,1.0,BUF,RB,6,2021
Boston Scott,1.1,3.9,0.0,0.4,2.9,0.0,0.0,1.0,PHI,RB,6,2021
Jake Funk,1.2,4.9,0.0,0.2,1.9,0.0,0.0,1.0,LAR,RB,6,2021
Dare Ogunbowale,0.8,3.8,0.0,0.5,4.1,0.0,0.0,0.9,JAC,RB,6,2021
Ameer Abdullah,1.1,4.4,0.0,0.5,3.3,0.0,0.0,0.9,CAR,RB,6,2021
Peyton Barber,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8,LV,RB,6,2021
Corey Clement,1.2,4.2,0.0,0.2,1.2,0.0,0.0,0.7,DAL,RB,6,2021
C.J. Ham,0.6,1.6,0.0,0.6,4.6,0.0,0.0,0.7,MIN,RB,6,2021
Michael Burton,0.7,2.2,0.0,0.4,3.0,0.0,0.0,0.7,KC,RB,6,2021
Ke'Shawn Vaughn,1.0,4.0,0.0,0.1,2.0,0.0,0.0,0.6,TB,RB,6,2021
Alec Ingold,0.3,0.2,0.0,0.4,2.8,0.0,0.0,0.5,LV,RB,6,2021
Giovanni Ricci,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.5,CAR,RB,6,2021
Damarea Crockett,0.9,4.0,0.0,0.1,1.0,0.0,0.0,0.5,DEN,RB,6,2021
Taiwan Jones,0.6,1.6,0.0,0.2,2.6,0.0,0.0,0.5,BUF,RB,6,2021
Jakob Johnson,0.1,0.1,0.0,0.3,1.8,0.0,0.0,0.4,NE,RB,6,2021
Jason Cabinda,0.8,1.5,0.0,0.2,2.2,0.0,0.0,0.4,DET,RB,6,2021
Derek Watt,0.8,2.0,0.0,0.2,1.2,0.0,0.0,0.4,PIT,RB,6,2021
Cullen Gillaspia,0.6,1.3,0.0,0.2,1.4,0.0,0.0,0.3,NYG,RB,6,2021
Godwin Igwebuike,0.6,2.0,0.0,0.1,1.0,0.0,0.0,0.3,DET,RB,6,2021
Reggie Gilliam,0.1,0.0,0.0,0.3,3.0,0.0,0.0,0.3,BUF,RB,6,2021
Gabe Nabers,0.5,1.2,0.0,0.2,1.3,0.0,0.0,0.3,LAC,RB,6,2021
Khari Blasingame,0.0,0.0,0.0,0.2,2.1,0.0,0.0,0.3,TEN,RB,6,2021
Johnny Stanton,0.2,0.8,0.0,0.2,1.2,0.0,0.0,0.2,CLE,RB,6,2021
Nick Bellore,0.5,1.0,0.0,0.1,1.1,0.0,0.0,0.2,SEA,RB,6,2021
