Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Derrick HenryTEN,25.7,115.6,0.9,2.5,22.4,0.1,0.2,19.0
Alvin KamaraNO,18.3,79.2,0.6,4.3,35.9,0.3,0.1,16.5
Aaron JonesGB,15.1,69.4,0.6,3.4,28.7,0.2,0.1,14.7
Alexander MattisonMIN,18.3,79.3,0.6,2.5,24.3,0.1,0.1,14.6
Austin EkelerLAC,13.8,59.1,0.4,4.9,42.1,0.3,0.1,14.3
Ezekiel ElliottDAL,16.8,74.2,0.7,2.4,20.1,0.1,0.1,14.1
Saquon BarkleyNYG,15.0,65.9,0.5,4.2,32.4,0.2,0.1,13.8
Nick ChubbCLE,16.1,83.7,0.7,1.6,11.4,0.0,0.1,13.4
Damien WilliamsCHI,14.9,64.6,0.6,3.3,24.4,0.1,0.1,13.0
James RobinsonJAC,15.2,65.1,0.6,3.1,25.1,0.1,0.1,13.0
Najee HarrisPIT,15.8,58.2,0.4,4.8,35.6,0.2,0.1,12.8
Darrell Henderson Jr.LAR,15.5,66.6,0.6,2.4,20.5,0.1,0.1,12.6
Damien HarrisNE,17.0,76.8,0.6,1.3,11.4,0.0,0.1,12.3
D'Andre SwiftDET,10.6,44.9,0.3,5.2,43.3,0.3,0.1,12.2
Jonathan TaylorIND,14.8,66.7,0.5,2.5,19.9,0.1,0.1,12.0
Leonard FournetteTB,14.4,57.7,0.5,3.3,25.0,0.1,0.1,11.8
Josh JacobsLV,15.5,61.1,0.6,1.9,14.5,0.0,0.1,11.3
Clyde Edwards-HelaireKC,14.2,59.9,0.5,2.1,18.0,0.1,0.1,11.2
Alex CollinsSEA,13.3,56.9,0.6,1.7,13.8,0.1,0.1,11.1
Antonio GibsonWAS,14.9,59.2,0.5,2.2,18.9,0.1,0.1,11.0
Cordarrelle PattersonATL,6.9,29.1,0.2,4.4,43.4,0.4,0.1,10.4
Chuba HubbardCAR,14.6,58.2,0.4,2.2,17.1,0.1,0.1,10.1
Dalvin CookMIN,10.0,46.5,0.5,1.5,14.0,0.2,0.0,10.0
Mike DavisATL,13.1,48.3,0.4,3.2,22.6,0.1,0.1,9.9
Melvin Gordon IIIDEN,12.3,52.8,0.5,2.1,14.9,0.1,0.1,9.9
Latavius MurrayBAL,14.2,56.6,0.6,1.0,7.3,0.0,0.1,9.9
Zack MossBUF,11.1,47.8,0.5,1.4,11.2,0.1,0.1,9.5
Joe MixonCIN,12.1,54.0,0.4,2.0,14.4,0.1,0.1,9.4
Chase EdmondsARI,9.0,40.0,0.2,3.9,31.1,0.2,0.1,9.4
Kareem HuntCLE,9.2,43.0,0.3,3.0,25.0,0.1,0.1,9.2
Miles SandersPHI,11.8,54.1,0.3,2.3,19.4,0.1,0.1,9.2
Michael CarterNYJ,12.4,50.3,0.3,2.0,15.8,0.1,0.1,8.7
James ConnerARI,12.3,46.9,0.5,1.0,8.0,0.0,0.1,8.2
Elijah MitchellSF,10.0,47.6,0.3,1.4,12.1,0.0,0.1,8.1
Jamaal WilliamsDET,9.9,41.5,0.2,2.7,19.3,0.1,0.1,7.7
Tony PollardDAL,8.2,39.3,0.2,2.1,17.8,0.1,0.1,7.6
Javonte WilliamsDEN,10.5,42.8,0.2,2.0,15.9,0.1,0.1,7.5
Devin SingletaryBUF,9.8,45.6,0.2,1.8,13.3,0.1,0.1,7.4
Myles GaskinMIA,8.4,31.7,0.1,2.9,21.3,0.1,0.1,6.5
Kenyan DrakeLV,6.5,25.7,0.2,2.7,22.0,0.1,0.1,6.0
Mark Ingram IINO,9.1,39.9,0.2,0.7,5.5,0.0,0.1,5.9
Trey SermonSF,8.3,35.8,0.2,1.0,8.9,0.0,0.0,5.8
Nyheim HinesIND,4.9,18.5,0.1,3.4,27.1,0.1,0.1,5.7
Kenneth GainwellPHI,4.9,21.1,0.1,2.6,22.7,0.1,0.0,5.7
David JohnsonHOU,5.6,22.7,0.1,2.5,20.3,0.1,0.0,5.5
J.D. McKissicWAS,4.3,15.8,0.1,3.5,26.5,0.1,0.1,5.3
Brandon BoldenNE,4.1,16.8,0.2,2.4,20.7,0.1,0.0,5.2
Ronald Jones IITB,6.8,29.9,0.2,0.6,4.6,0.0,0.1,4.8
AJ DillonGB,7.3,31.7,0.1,0.9,7.6,0.0,0.1,4.7
Samaje PerineCIN,7.4,27.9,0.2,0.9,7.2,0.0,0.0,4.6
Darrel WilliamsKC,5.6,20.6,0.2,1.0,8.0,0.1,0.0,4.5
Sony MichelLAR,6.6,28.0,0.2,0.6,5.6,0.0,0.0,4.4
Malcolm BrownMIA,6.9,25.0,0.2,0.9,6.4,0.0,0.1,4.4
Ty JohnsonNYJ,4.8,19.7,0.1,1.5,11.9,0.1,0.1,4.0
Ameer AbdullahCAR,4.7,18.8,0.1,1.1,9.2,0.1,0.1,4.0
Carlos HydeJAC,4.9,20.9,0.2,0.8,5.7,0.0,0.0,3.8
Phillip LindsayMIA,5.6,23.4,0.1,0.9,6.2,0.0,0.0,3.6
Larry Rountree IIILAC,5.5,19.9,0.1,0.9,7.0,0.0,0.0,3.3
Travis HomerSEA,4.0,15.2,0.0,1.4,11.5,0.1,0.0,3.3
Ty'Son WilliamsBAL,3.7,16.3,0.1,0.8,7.3,0.1,0.1,3.2
Wayne Gallman Jr.MIN,4.7,20.0,0.1,0.5,3.5,0.0,0.0,3.2
Khalil HerbertCHI,4.4,16.6,0.1,0.9,7.2,0.0,0.0,3.1
Giovani BernardTB,1.0,5.2,0.0,2.1,16.0,0.1,0.0,3.0
Kyle JuszczykSF,0.8,3.0,0.0,2.0,19.0,0.1,0.0,2.9
Ty MontgomeryNO,2.5,8.8,0.0,1.3,12.7,0.1,0.0,2.8
Royce FreemanHOU,4.2,16.0,0.1,0.6,3.8,0.0,0.0,2.7
Devine OzigboNE,2.7,8.9,0.1,1.0,9.1,0.1,0.0,2.6
Mike BooneDEN,4.0,18.9,0.1,0.1,0.7,0.0,0.0,2.6
Salvon AhmedMIA,2.9,11.7,0.1,1.1,8.0,0.0,0.0,2.5
Rhamondre StevensonNE,2.6,11.9,0.1,0.7,5.5,0.0,0.0,2.4
Tevin ColemanNYJ,3.9,15.3,0.1,0.4,3.4,0.0,0.0,2.4
Marlon MackIND,3.1,14.9,0.1,0.4,3.3,0.0,0.0,2.3
J.J. TaylorNE,1.9,9.0,0.1,0.8,7.0,0.1,0.0,2.2
Demetric FeltonCLE,1.2,4.6,0.0,1.1,10.4,0.1,0.0,2.0
DeeJay DallasSEA,2.2,8.7,0.1,0.5,3.8,0.0,0.0,1.8
C.J. HamMIN,1.3,4.7,0.0,0.7,6.9,0.1,0.0,1.7
Chris EvansCIN,2.2,8.0,0.0,0.7,5.2,0.0,0.0,1.7
Devonta FreemanBAL,2.4,9.4,0.0,0.4,3.5,0.0,0.0,1.7
Dwayne WashingtonNO,2.7,9.4,0.0,0.6,4.6,0.0,0.0,1.6
Gary BrightwellNYG,1.6,5.7,0.0,0.5,4.3,0.0,0.0,1.5
Patrick RicardBAL,0.2,0.4,0.0,1.1,9.2,0.1,0.0,1.5
Dare OgunbowaleJAC,1.5,6.0,0.1,0.5,4.2,0.0,0.0,1.4
Eno BenjaminARI,1.0,6.7,0.1,0.3,2.2,0.0,0.0,1.3
Anthony McFarland Jr.PIT,1.3,5.4,0.0,0.6,4.0,0.0,0.0,1.2
Jake FunkLAR,1.2,5.9,0.1,0.3,2.6,0.0,0.0,1.2
Keith SmithATL,0.8,3.0,0.0,0.7,6.0,0.0,0.0,1.2
Benny Snell Jr.PIT,1.7,6.6,0.0,0.2,1.7,0.0,0.0,1.1
Peyton BarberLV,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1
Joshua KelleyLAC,1.8,7.3,0.0,0.3,1.8,0.0,0.0,1.1
Boston ScottPHI,1.2,4.6,0.0,0.4,3.0,0.0,0.0,1.1
Jaret PattersonWAS,1.2,4.7,0.0,0.3,2.8,0.0,0.0,1.0
Alec IngoldLV,0.4,1.2,0.0,0.6,5.3,0.0,0.0,0.9
Rex BurkheadHOU,0.6,2.0,0.0,0.9,7.0,0.0,0.0,0.9
Kylin HillGB,1.2,6.1,0.0,0.2,1.7,0.0,0.0,0.9
Jerick McKinnonKC,1.0,3.9,0.0,0.4,3.4,0.0,0.0,0.9
Damarea CrockettDEN,0.8,4.4,0.0,0.3,2.5,0.0,0.0,0.8
Corey ClementDAL,1.2,4.3,0.0,0.2,1.5,0.0,0.0,0.8
Kalen BallagePIT,1.1,3.5,0.0,0.3,1.7,0.0,0.0,0.8
Trenton CannonSF,0.9,2.3,0.0,0.5,3.3,0.0,0.0,0.7
Ryan NallCHI,0.0,1.9,0.0,0.5,4.1,0.0,0.0,0.7
Alex Armah Jr.WAS,1.0,2.7,0.0,0.4,2.9,0.0,0.0,0.7
Tory CarterTEN,1.2,5.0,0.0,0.2,2.0,0.0,0.0,0.7
Taiwan JonesBUF,0.6,2.4,0.0,0.2,2.6,0.0,0.0,0.6
Derek WattPIT,0.6,1.3,0.0,0.2,1.2,0.0,0.0,0.5
Jason CabindaDET,1.3,2.5,0.0,0.2,2.0,0.0,0.0,0.5
Jakob JohnsonNE,0.1,0.1,0.0,0.3,2.1,0.0,0.0,0.4
Elijhaa PennyNYG,1.0,3.1,0.0,0.1,0.7,0.0,0.0,0.4
D'Ernest JohnsonCLE,0.7,1.5,0.0,0.2,2.2,0.0,0.0,0.4
Gabe NabersLAC,0.8,1.6,0.0,0.2,1.7,0.0,0.0,0.4
Nick BelloreSEA,0.5,1.1,0.0,0.2,2.4,0.0,0.0,0.4
Cullen GillaspiaNYG,0.5,2.0,0.0,0.2,2.0,0.0,0.0,0.4
Buddy HowellLAR,0.7,2.0,0.0,0.1,2.0,0.0,0.0,0.4
Andy JanovichCLE,0.3,0.1,0.0,0.2,1.6,0.0,0.0,0.4
Michael BurtonKC,0.1,0.5,0.0,0.3,2.2,0.0,0.0,0.4
Giovanni RicciCAR,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.3
Reggie GilliamBUF,0.1,0.0,0.0,0.2,2.0,0.0,0.0,0.2
Khari BlasingameTEN,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.2
Godwin IgwebuikeDET,0.6,1.0,0.0,0.1,1.0,0.0,0.0,0.2
