Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Larry Rountree IIILAC,3.7,11.5,0.1,0.0,0.0,0.0,0.0,1.5
Giovani BernardTB,1.0,4.7,0.0,0.9,6.0,0.0,0.0,1.4
Benny Snell Jr.PIT,2.1,8.5,0.0,0.4,2.8,0.0,0.0,1.4
Kalen BallagePIT,2.5,7.6,0.1,0.5,2.5,0.0,0.0,1.4
Patrick Taylor Jr.GB,1.9,7.8,0.1,0.2,2.0,0.0,0.0,1.4
Eno BenjaminARI,2.1,6.5,0.1,0.3,2.7,0.0,0.0,1.2
Kene NwangwuMIN,1.5,6.3,0.0,0.4,3.2,0.0,0.0,1.2
Joshua KelleyLAC,1.9,7.7,0.0,0.4,3.1,0.0,0.0,1.2
Ty'Son WilliamsBAL,1.2,5.6,0.0,0.4,2.6,0.0,0.0,1.1
C.J. HamMIN,0.6,2.3,0.0,0.8,6.5,0.0,0.0,1.1
Tony PollardDAL,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
Trayveon WilliamsCIN,1.0,6.3,0.0,0.3,1.8,0.0,0.0,1.0
Tory CarterTEN,0.6,2.6,0.0,0.5,3.7,0.0,0.0,0.9
Jason CabindaDET,0.8,2.9,0.0,0.6,5.0,0.0,0.0,0.9
Andy JanovichCLE,0.3,0.1,0.0,0.4,4.2,0.0,0.0,0.9
Elijhaa PennyNYG,1.2,4.8,0.0,0.2,0.8,0.0,0.0,0.9
Trey RagasLV,0.0,3.5,0.0,0.4,3.0,0.0,0.0,0.8
Keith SmithATL,0.7,2.0,0.0,0.7,4.4,0.0,0.0,0.8
Nick BawdenNYJ,0.4,0.7,0.0,0.5,4.4,0.0,0.0,0.6
Damarea CrockettDEN,0.9,2.8,0.0,0.2,1.8,0.0,0.0,0.6
Adam PrenticeNO,0.2,0.6,0.0,0.5,5.1,0.0,0.0,0.6
Dwayne WashingtonNO,0.8,3.0,0.0,0.3,2.4,0.0,0.0,0.6
Dare OgunbowaleJAC,0.8,2.5,0.0,0.3,2.3,0.0,0.0,0.5
JaQuan HardyDAL,0.7,3.0,0.0,0.2,2.0,0.0,0.0,0.5
Taiwan JonesBUF,0.2,1.3,0.0,0.3,2.6,0.0,0.0,0.5
Ke'Shawn VaughnTB,0.9,3.0,0.0,0.1,1.0,0.0,0.0,0.4
Gary BrightwellNYG,0.5,1.7,0.0,0.1,1.1,0.0,0.0,0.3
Michael BurtonKC,0.5,1.3,0.0,0.1,1.1,0.0,0.0,0.3
Derek WattPIT,0.2,0.9,0.0,0.2,0.9,0.0,0.0,0.2
Gabe NabersLAC,0.1,0.3,0.0,0.3,1.9,0.0,0.0,0.2
Ryan NallCHI,0.2,1.0,0.0,0.1,1.0,0.0,0.0,0.2
Giovanni RicciCAR,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
Jake BargasMIN,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
Reggie GilliamBUF,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
Nick BelloreSEA,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.1
Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1
