Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan TaylorIND,18.9,90.0,0.9,2.5,23.2,0.1,0.1,17.0
Najee HarrisPIT,21.1,80.4,0.7,4.1,34.2,0.2,0.1,16.3
Dalvin CookMIN,18.9,90.1,0.7,3.0,22.8,0.1,0.1,15.4
Austin EkelerLAC,13.8,63.6,0.6,4.7,41.9,0.3,0.1,15.3
Christian McCaffreyCAR,16.0,70.1,0.5,4.7,40.0,0.1,0.1,14.5
D'Andre SwiftDET,15.0,59.6,0.3,5.4,46.3,0.3,0.2,14.3
Ezekiel ElliottDAL,17.3,74.8,0.7,2.7,20.5,0.1,0.1,14.0
D'Ernest JohnsonCLE,18.5,79.2,0.6,2.1,18.5,0.1,0.1,13.8
James ConnerARI,17.0,71.4,0.7,2.1,16.2,0.1,0.1,13.3
Aaron JonesGB,13.2,61.8,0.6,3.6,27.4,0.2,0.1,13.3
Leonard FournetteTB,15.6,60.8,0.6,3.4,26.4,0.1,0.1,12.8
Darrell Henderson Jr.LAR,15.2,65.6,0.6,2.3,20.1,0.1,0.1,12.8
Mark Ingram IINO,16.4,68.5,0.5,2.7,20.6,0.1,0.1,12.3
Cordarrelle PattersonATL,9.7,43.5,0.3,4.6,45.0,0.3,0.1,12.0
Josh JacobsLV,14.5,59.4,0.6,2.4,19.4,0.1,0.1,11.7
Elijah MitchellSF,15.0,66.0,0.5,1.4,10.8,0.1,0.1,11.1
James RobinsonJAC,13.0,56.2,0.5,2.6,19.7,0.1,0.1,10.8
Melvin Gordon IIIDEN,12.6,54.7,0.6,2.0,14.5,0.1,0.1,10.6
Darrel WilliamsKC,12.6,49.6,0.5,2.5,19.6,0.1,0.1,10.3
Michael CarterNYJ,11.2,46.9,0.2,3.6,28.5,0.2,0.1,10.3
Rhamondre StevensonNE,11.7,51.1,0.3,2.3,20.0,0.1,0.1,9.4
Myles GaskinMIA,11.2,46.4,0.2,3.6,26.1,0.1,0.1,9.3
Javonte WilliamsDEN,10.2,47.5,0.4,2.1,16.6,0.1,0.1,8.9
