Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffreyCAR,19.7,88.9,0.9,5.9,50.2,0.2,0.2,19.8
Derrick HenryTEN,23.5,107.2,0.9,2.3,18.4,0.1,0.2,18.2
Alvin KamaraNO,14.7,66.4,0.6,5.3,45.9,0.2,0.1,16.1
Nick ChubbCLE,17.5,87.1,0.9,1.8,14.7,0.1,0.1,15.6
Aaron JonesGB,15.0,72.1,0.7,3.8,31.4,0.2,0.1,15.5
Jonathan TaylorIND,17.1,76.4,0.7,2.7,23.1,0.1,0.1,14.5
Najee HarrisPIT,17.0,70.7,0.6,3.5,29.3,0.2,0.1,14.1
Austin EkelerLAC,12.9,57.3,0.5,5.3,42.8,0.2,0.1,14.1
Ezekiel ElliottDAL,15.4,66.7,0.7,2.8,22.0,0.1,0.1,13.4
Joe MixonCIN,18.1,73.6,0.5,3.3,24.4,0.1,0.1,13.3
Chris CarsonSEA,15.1,68.7,0.6,2.7,21.1,0.1,0.1,13.2
Saquon BarkleyNYG,15.8,66.8,0.6,3.0,22.9,0.1,0.1,13.0
Antonio GibsonWAS,17.0,72.4,0.6,2.7,19.6,0.1,0.1,12.9
David MontgomeryCHI,17.3,70.4,0.5,2.8,21.3,0.1,0.1,12.8
D'Andre SwiftDET,10.2,43.6,0.3,4.8,40.9,0.3,0.1,12.0
Damien HarrisNE,17.9,75.2,0.6,1.0,8.3,0.0,0.1,11.9
Miles SandersPHI,13.1,60.1,0.5,2.8,23.6,0.1,0.1,11.6
Alexander MattisonMIN,15.3,66.1,0.5,2.0,17.7,0.1,0.1,11.4
Elijah MitchellSF,14.0,59.0,0.7,1.0,12.0,0.0,0.0,11.3
Clyde Edwards-HelaireKC,14.8,62.2,0.4,2.6,20.7,0.1,0.1,10.8
James RobinsonJAC,13.2,56.8,0.3,3.4,25.1,0.1,0.1,10.6
Ty'Son WilliamsBAL,11.7,53.4,0.5,2.0,16.2,0.1,0.1,10.3
Dalvin CookMIN,11.0,51.0,0.4,2.0,19.5,0.1,0.0,10.1
Melvin Gordon IIIDEN,12.1,53.4,0.4,2.2,15.8,0.1,0.1,9.7
Trey SermonSF,12.4,57.4,0.4,1.6,13.6,0.1,0.1,9.6
Kenyan DrakeLV,10.7,44.4,0.3,3.5,25.6,0.1,0.1,9.5
Myles GaskinMIA,10.7,47.1,0.3,3.4,26.5,0.1,0.1,9.4
Chase EdmondsARI,10.3,43.9,0.2,3.5,28.7,0.2,0.1,9.4
