Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Derrick HenryTEN,25.7,114.6,0.9,2.7,24.1,0.1,0.2,19.3
Alvin KamaraNO,16.7,75.2,0.8,5.1,45.2,0.3,0.1,18.0
Joe MixonCIN,21.2,89.4,0.7,3.1,23.2,0.1,0.1,16.3
Dalvin CookMIN,18.1,81.5,0.7,3.4,29.1,0.1,0.1,16.0
Austin EkelerLAC,13.0,59.1,0.5,5.3,44.9,0.3,0.1,15.1
Aaron JonesGB,15.7,71.8,0.7,3.4,27.3,0.2,0.1,14.9
Nick ChubbCLE,16.3,82.2,0.7,1.9,14.5,0.1,0.1,14.3
David MontgomeryCHI,17.3,70.8,0.6,2.9,24.6,0.1,0.1,13.7
Antonio GibsonWAS,17.0,71.3,0.6,2.2,19.7,0.1,0.1,13.1
Jonathan TaylorIND,16.2,72.2,0.6,2.5,21.1,0.1,0.1,13.1
Ezekiel ElliottDAL,15.8,65.6,0.6,2.6,20.1,0.1,0.1,12.7
Najee HarrisPIT,15.0,59.2,0.3,5.0,40.8,0.2,0.1,12.7
Chris CarsonSEA,15.5,68.1,0.6,2.4,17.7,0.1,0.1,12.7
Saquon BarkleyNYG,15.8,62.1,0.5,3.8,28.5,0.1,0.1,12.6
D'Andre SwiftDET,12.4,49.4,0.4,4.8,41.3,0.2,0.1,12.6
Miles SandersPHI,12.7,61.2,0.5,2.7,23.6,0.1,0.1,12.1
James RobinsonJAC,15.5,65.5,0.3,3.8,28.0,0.1,0.1,11.8
Trey SermonSF,14.0,58.1,0.7,1.5,13.7,0.1,0.1,11.4
Clyde Edwards-HelaireKC,15.3,63.2,0.4,2.2,17.8,0.1,0.1,10.6
Melvin Gordon IIIDEN,12.4,53.2,0.5,2.3,16.7,0.1,0.1,10.5
Chuba HubbardCAR,14.0,54.3,0.4,3.1,24.2,0.1,0.1,10.3
Elijah MitchellSF,11.0,50.0,0.6,1.0,10.0,0.1,0.0,10.2
Zack MossBUF,11.8,49.5,0.6,1.4,11.1,0.1,0.1,9.9
Leonard FournetteTB,11.7,46.8,0.3,3.7,25.8,0.1,0.1,9.7
Myles GaskinMIA,11.9,51.1,0.3,3.3,24.9,0.1,0.1,9.6
Darrell Henderson Jr.LAR,12.5,54.9,0.4,1.7,14.9,0.1,0.1,9.6
Kareem HuntCLE,9.0,39.9,0.3,3.1,25.3,0.2,0.1,9.3
Mike DavisATL,13.0,50.2,0.3,3.7,23.2,0.1,0.1,9.3
Damien HarrisNE,14.0,59.3,0.4,1.2,9.3,0.0,0.1,9.1
Chase EdmondsARI,9.0,36.6,0.2,4.3,33.0,0.2,0.1,9.0
Cordarrelle PattersonATL,7.9,33.4,0.2,2.9,26.0,0.1,0.1,8.1
Devin SingletaryBUF,10.5,47.8,0.3,1.9,14.0,0.1,0.1,8.0
Michael CarterNYJ,10.4,45.2,0.3,1.8,15.6,0.1,0.1,7.9
Kenyan DrakeLV,7.6,32.6,0.2,3.4,25.5,0.1,0.1,7.6
Ty'Son WilliamsBAL,12.0,50.0,0.3,2.5,11.0,0.0,0.0,7.6
Jamaal WilliamsDET,9.9,38.3,0.2,2.8,20.7,0.1,0.1,7.3
Nyheim HinesIND,6.3,25.4,0.2,3.7,30.3,0.1,0.1,7.3
Sony MichelLAR,9.2,39.2,0.4,1.0,7.9,0.1,0.1,7.2
Javonte WilliamsDEN,10.4,41.0,0.2,1.8,14.6,0.1,0.1,7.2
Tony PollardDAL,7.8,36.1,0.2,2.2,16.6,0.1,0.1,7.1
Josh JacobsLV,8.2,38.2,0.3,1.1,8.7,0.0,0.1,6.7
James ConnerARI,9.5,38.3,0.3,0.8,5.6,0.0,0.1,6.2
Latavius MurrayBAL,9.7,40.5,0.3,0.7,5.0,0.0,0.1,6.2
Ronald Jones IITB,8.7,37.2,0.3,0.7,5.6,0.0,0.1,5.8
Peyton BarberLV,9.9,35.8,0.2,0.6,4.5,0.0,0.1,5.4
J.D. McKissicWAS,4.2,17.4,0.1,3.2,24.4,0.1,0.0,5.4
Mark Ingram IINO,8.9,37.6,0.2,0.7,5.2,0.0,0.1,5.3
Ty JohnsonNYJ,6.8,28.4,0.1,1.6,12.5,0.1,0.1,5.2
Kenneth GainwellPHI,4.9,21.1,0.1,2.0,17.7,0.1,0.0,5.1
Kyle JuszczykSF,2.6,9.1,0.1,2.2,21.7,0.2,0.0,4.5
David JohnsonHOU,4.1,17.0,0.1,2.2,18.3,0.1,0.0,4.3
AJ DillonGB,6.4,27.1,0.1,0.9,7.4,0.0,0.0,4.2
Brandon BoldenNE,3.6,13.2,0.2,1.8,15.8,0.0,0.0,4.1
Tony Jones Jr.NO,4.9,20.9,0.1,1.0,9.2,0.0,0.0,4.1
Darrel WilliamsKC,4.8,18.5,0.2,1.0,7.6,0.1,0.0,4.0
Alexander MattisonMIN,5.4,22.3,0.1,1.0,8.5,0.0,0.0,4.0
Malcolm BrownMIA,6.4,24.0,0.2,0.4,3.1,0.0,0.1,3.8
Damien WilliamsCHI,3.4,14.2,0.1,1.7,13.3,0.1,0.0,3.7
Royce FreemanHOU,5.5,19.5,0.1,1.3,8.2,0.0,0.0,3.7
Phillip LindsayMIA,5.2,21.9,0.1,0.8,6.2,0.0,0.0,3.6
J.J. TaylorNE,3.1,13.0,0.1,1.6,11.1,0.1,0.0,3.3
Justin JacksonLAC,3.9,17.9,0.1,0.8,6.2,0.0,0.0,3.1
Carlos HydeJAC,5.0,18.0,0.1,1.0,5.0,0.0,0.0,2.9
Rhamondre StevensonNE,3.1,11.9,0.2,1.0,7.0,0.0,0.0,2.9
Larry Rountree IIILAC,4.0,16.6,0.1,0.7,5.2,0.0,0.0,2.8
Salvon AhmedMIA,3.7,14.8,0.1,0.8,6.2,0.0,0.0,2.8
Tevin ColemanNYJ,4.1,16.1,0.1,0.4,3.0,0.0,0.0,2.6
Samaje PerineCIN,2.7,11.7,0.1,0.8,5.7,0.0,0.0,2.4
Devonta FreemanBAL,3.0,12.7,0.0,0.6,4.3,0.0,0.0,2.2
Trenton CannonSF,2.5,8.3,0.1,0.8,6.7,0.0,0.0,2.1
Alex CollinsSEA,2.5,11.5,0.1,0.4,3.6,0.0,0.0,2.1
Buddy HowellLAR,0.0,12.6,0.1,0.4,2.9,0.0,0.0,2.1
Travis HomerSEA,1.5,6.6,0.0,1.1,9.6,0.0,0.0,1.9
Dare OgunbowaleJAC,2.6,10.5,0.1,0.7,5.4,0.0,0.1,1.9
Demetric FeltonCLE,1.3,5.1,0.0,0.8,8.5,0.1,0.0,1.8
Ty MontgomeryNO,2.0,7.1,0.0,0.8,7.7,0.0,0.0,1.8
Chris EvansCIN,0.8,4.1,0.0,0.7,5.6,0.0,0.0,1.3
Gary BrightwellNYG,2.2,6.4,0.1,0.4,3.2,0.0,0.0,1.3
Jake FunkLAR,1.0,5.2,0.0,0.4,3.7,0.0,0.0,1.3
Patrick RicardBAL,0.2,0.4,0.0,1.0,7.7,0.1,0.0,1.2
Benny Snell Jr.PIT,1.8,7.4,0.0,0.2,1.6,0.0,0.0,1.2
Keith SmithATL,1.0,3.5,0.0,0.8,6.4,0.0,0.0,1.2
DeeJay DallasSEA,1.2,4.9,0.1,0.4,2.8,0.0,0.0,1.1
Rex BurkheadHOU,0.7,3.7,0.0,0.7,5.6,0.0,0.0,1.1
Alec IngoldLV,0.3,0.8,0.0,0.7,6.1,0.1,0.0,1.1
Ameer AbdullahCAR,1.4,5.8,0.0,0.4,3.2,0.0,0.1,1.0
Kylin HillGB,1.4,6.7,0.0,0.2,1.6,0.0,0.0,1.0
Boston ScottPHI,0.8,4.4,0.0,0.3,2.8,0.0,0.0,1.0
Darrynton EvansTEN,1.1,4.4,0.0,0.4,2.7,0.0,0.0,1.0
C.J. HamMIN,0.4,1.2,0.0,0.6,5.5,0.0,0.0,1.0
Jaret PattersonWAS,0.8,4.2,0.0,0.2,1.8,0.0,0.0,0.8
Kalen BallagePIT,0.7,4.3,0.0,0.3,1.2,0.0,0.0,0.8
Jerick McKinnonKC,0.8,3.5,0.0,0.4,3.1,0.0,0.0,0.8
Derek WattPIT,0.8,2.2,0.0,0.3,2.6,0.0,0.0,0.8
Damarea CrockettDEN,0.6,3.2,0.0,0.3,2.5,0.0,0.0,0.7
Gabe NabersLAC,1.0,2.4,0.0,0.3,2.2,0.0,0.0,0.7
Khalil HerbertCHI,0.7,3.2,0.0,0.2,1.6,0.0,0.0,0.7
Khari BlasingameTEN,1.0,4.0,0.0,0.2,3.0,0.0,0.0,0.7
Taiwan JonesBUF,0.7,3.0,0.0,0.2,2.8,0.0,0.0,0.7
Joshua KelleyLAC,1.0,3.7,0.1,0.0,0.1,0.0,0.0,0.7
Wayne Gallman Jr.MIN,0.9,3.4,0.0,0.1,1.1,0.0,0.0,0.6
Alex Armah Jr.WAS,0.8,2.2,0.0,0.3,3.0,0.0,0.0,0.6
Giovanni RicciCAR,0.0,0.0,0.0,0.6,6.0,0.0,0.0,0.6
D'Ernest JohnsonCLE,0.7,2.7,0.0,0.2,2.0,0.0,0.0,0.6
Corey ClementDAL,0.7,3.2,0.0,0.1,1.0,0.0,0.0,0.6
Jason CabindaDET,1.5,3.1,0.0,0.2,2.4,0.0,0.0,0.6
Elijhaa PennyNYG,1.0,2.9,0.0,0.2,1.5,0.0,0.0,0.5
Andy JanovichCLE,0.4,0.1,0.0,0.2,2.2,0.0,0.0,0.4
Jakob JohnsonNE,0.1,0.1,0.0,0.3,1.8,0.0,0.0,0.4
Marlon MackIND,0.4,1.6,0.0,0.2,1.5,0.0,0.0,0.4
Spencer BrownBUF,0.9,4.0,0.0,0.0,0.0,0.0,0.0,0.4
Nick BelloreSEA,0.5,2.0,0.0,0.1,2.0,0.0,0.0,0.4
Dwayne WashingtonNO,0.4,0.7,0.0,0.2,2.8,0.0,0.0,0.4
Ke'Shawn VaughnTB,0.5,2.0,0.0,0.2,1.5,0.0,0.0,0.4
Michael BurtonKC,0.3,0.6,0.0,0.3,2.0,0.0,0.0,0.3
Cullen GillaspiaNYG,0.3,1.0,0.0,0.2,2.0,0.0,0.0,0.3
