player,team,position,week,year
Tony Romo,DAL,QB,1,2009
Drew Brees,NO,QB,1,2009
Brodie Croyle,KC,QB,1,2009
Trent Edwards,BUF,QB,1,2009
Bruce Gradkowski,OAK,QB,1,2009
Kyle Orton,DEN,QB,1,2009
Matt Ryan,ATL,QB,1,2009
Tom Brady,NE,QB,1,2009
Matt Hasselbeck,SEA,QB,1,2009
Joe Flacco,BAL,QB,1,2009
Brett Favre,MIN,QB,1,2009
Peyton Manning,IND,QB,1,2009
Jason Campbell,WAS,QB,1,2009
Eli Manning,NYG,QB,1,2009
Aaron Rodgers,GB,QB,1,2009
Ben Roethlisberger,PIT,QB,1,2009
Shaun Hill,SF,QB,1,2009
Byron Leftwich,TB,QB,1,2009
Chad Pennington,MIA,QB,1,2009
Philip Rivers,SD,QB,1,2009
Mark Sanchez,NYJ,QB,1,2009
Kerry Collins,TEN,QB,1,2009
Donovan McNabb,PHI,QB,1,2009
Brady Quinn,CLE,QB,1,2009
Kevin Kolb,PHI,QB,1,2009
Kurt Warner,ARI,QB,1,2009
Marc Bulger,STL,QB,1,2009
David Garrard,JAC,QB,1,2009
Carson Palmer,CIN,QB,1,2009
Matt Schaub,HOU,QB,1,2009
JaMarcus Russell,OAK,QB,1,2009
Jay Cutler,CHI,QB,1,2009
Michael Clayton,TB,WR,1,2009
Tarvaris Jackson,MIN,QB,1,2009
Josh McCown,CAR,QB,1,2009
Pat White,MIA,QB,1,2009
Matt Moore,CAR,QB,1,2009
Matthew Stafford,DET,QB,1,2009
Jake Delhomme,CAR,QB,1,2009
Adrian Peterson,MIN,RB,1,2009
Mike Bell,NO,RB,1,2009
Julius Jones,SEA,RB,1,2009
Ray Rice,BAL,RB,1,2009
Thomas Jones,NYJ,RB,1,2009
Maurice Jones-Drew,JAC,RB,1,2009
Cadillac Williams,TB,RB,1,2009
Marion Barber,DAL,RB,1,2009
Cedric Benson,CIN,HB,1,2009
Darren McFadden,OAK,RB,1,2009
Steven Jackson,STL,RB,1,2009
Michael Turner,ATL,RB,1,2009
Brian Westbrook,PHI,RB,1,2009
Clinton Portis,WAS,RB,1,2009
Derrick Ward,TB,RB,1,2009
Ryan Grant,GB,RB,1,2009
Ahmad Bradshaw,NYG,RB,1,2009
Leon Washington,NYJ,RB-K,1,2009
Fred Jackson,BUF,RB,1,2009
Chris Johnson,TEN,RB,1,2009
Jamal Lewis,CLE,RB,1,2009
Michael Bush,OAK,RB,1,2009
Matt Forte,CHI,RB,1,2009
LaDainian Tomlinson,SD,RB,1,2009
Correll Buckhalter,DEN,RB,1,2009
Brandon Jacobs,NYG,RB,1,2009
LeSean McCoy,PHI,RB,1,2009
Willis McGahee,BAL,RB,1,2009
Ronnie Brown,MIA,RB,1,2009
Joseph Addai,IND,RB,1,2009
Ricky Williams,MIA,RB,1,2009
DeAngelo Williams,CAR,RB,1,2009
Jonathan Stewart,CAR,RB,1,2009
Donald Brown,IND,RB,1,2009
DeSean Jackson,PHI,WR,1,2009
Laurence Maroney,NE,RB,1,2009
Frank Gore,SF,RB,1,2009
Edgerrin James,SEA,RB,1,2009
Beanie Wells,ARI,RB,1,2009
LenDale White,TEN,RB,1,2009
Fred Taylor,NE,RB,1,2009
Darren Sproles,SD,RB-K,1,2009
Percy Harvin,MIN,WR,1,2009
Felix Jones,DAL,RB,1,2009
Larry Johnson,KC,RB,1,2009
Kevin Smith,DET,RB,1,2009
Johnnie Lee Higgins,OAK,WR,1,2009
Le'Ron McClain,BAL,FB,1,2009
Knowshon Moreno,DEN,RB,1,2009
Willie Parker,PIT,RB,1,2009
Justin Forsett,SEA,RB,1,2009
Steve Slaton,HOU,RB,1,2009
Chester Taylor,MIN,RB,1,2009
Chris Brown,HOU,RB,1,2009
Tim Hightower,ARI,RB,1,2009
Brad Smith,NYJ,WR,1,2009
Garrett Wolfe,CHI,RB,1,2009
Reggie Bush,NO,RB,1,2009
Leonard Weaver,PHI,FB,1,2009
Tashard Choice,DAL,RB,1,2009
Aaron Brown,DET,RB,1,2009
Mark Clayton,BAL,LWR,1,2009
Ted Ginn,MIA,WR,1,2009
Donnie Avery,STL,WR,1,2009
Jamaal Charles,KC,RB,1,2009
Chad Johnson,CIN,,1,2009
Mewelde Moore,PIT,RB,1,2009
Xavier Omon,BUF,RB,1,2009
Hunter Smith,WAS,P,1,2009
DeShawn Wynn,GB,RB,1,2009
Kevin Faulk,NE,RB,1,2009
Jerious Norwood,ATL,RB,1,2009
Kellen Winslow,TB,TE,1,2009
Josh Cribbs,CLE,WR,1,2009
