player,team,position,week,year
Vince Young,TEN,QB,1,2010
David Garrard,JAC,QB,1,2010
Tom Brady,NE,QB,1,2010
Peyton Manning,IND,QB,1,2010
Jay Cutler,CHI,QB,1,2010
Matt Hasselbeck,SEA,QB,1,2010
Josh Cribbs,CLE,WR,1,2010
Michael Vick,PHI,QB,1,2010
Drew Brees,NO,QB,1,2010
Philip Rivers,LAC,QB,1,2010
Carson Palmer,CIN,QB,1,2010
Kyle Orton,DEN,QB,1,2010
Tony Romo,DAL,QB,1,2010
Josh Freeman,TB,QB,1,2010
Eli Manning,NYG,QB,1,2010
Matthew Stafford,DET,QB,1,2010
Derek Anderson,ARI,QB,1,2010
Dennis Dixon,PIT,QB,1,2010
Chad Henne,MIA,QB,1,2010
Aaron Rodgers,GB,QB,1,2010
Trent Edwards,BUF,QB,1,2010
Brett Favre,MIN,QB,1,2010
Jason Campbell,LV,QB,1,2010
Matt Cassel,KC,QB,1,2010
Matt Ryan,ATL,QB,1,2010
Matt Schaub,HOU,QB,1,2010
Donovan McNabb,WAS,QB,1,2010
Joe Flacco,BAL,QB,1,2010
Jake Delhomme,CLE,QB,1,2010
Mark Sanchez,NYJ,QB,1,2010
Kevin Kolb,PHI,QB,1,2010
Sam Bradford,LAR,QB,1,2010
Alex Smith,SF,QB,1,2010
Marion Barber,DAL,RB,1,2010
Jimmy Clausen,CAR,QB,1,2010
Shaun Hill,DET,QB,1,2010
Matt Moore,CAR,QB,1,2010
Arian Foster,HOU,RB,1,2010
Chris Johnson,TEN,RB,1,2010
Rashard Mendenhall,PIT,RB,1,2010
Maurice Jones-Drew,JAC,RB,1,2010
Darren McFadden,LV,RB,1,2010
Jamaal Charles,KC,RB,1,2010
Adrian Peterson,MIN,RB,1,2010
Steven Jackson,LAR,RB,1,2010
Ryan Mathews,LAC,RB,1,2010
Ahmad Bradshaw,NYG,RB,1,2010
Cadillac Williams,TB,RB,1,2010
Fred Taylor,NE,RB,1,2010
Pierre Thomas,NO,RB,1,2010
Ronnie Brown,MIA,RB,1,2010
Brandon Jackson,GB,RB,1,2010
Clinton Portis,WAS,RB,1,2010
LaDainian Tomlinson,NYJ,RB,1,2010
DeAngelo Williams,CAR,RB,1,2010
Ricky Williams,MIA,RB,1,2010
Knowshon Moreno,DEN,RB,1,2010
Tim Hightower,ARI,RB,1,2010
Jerome Harrison,CLE,RB,1,2010
Matt Forte,CHI,RB,1,2010
LaRod Stephens-Howling,ARI,RB,1,2010
Ryan Grant,GB,RB,1,2010
Joseph Addai,IND,RB,1,2010
Brandon Jacobs,NYG,RB,1,2010
Cedric Benson,CIN,RB,1,2010
Justin Forsett,SEA,RB,1,2010
Ray Rice,BAL,RB,1,2010
Michael Turner,ATL,RB,1,2010
Peyton Hillis,CLE,RB,1,2010
Thomas Jones,KC,RB,1,2010
Frank Gore,SF,RB,1,2010
Felix Jones,DAL,RB,1,2010
LeSean McCoy,PHI,RB,1,2010
Bernard Scott,CIN,RB,1,2010
Javon Ringer,TEN,RB,1,2010
Steve Slaton,HOU,RB,1,2010
Chester Taylor,CHI,RB,1,2010
Brad Smith,NYJ,WR,1,2010
Rashad Jennings,JAC,RB,1,2010
Mike Tolbert,LAC,RB,1,2010
Kevin Faulk,NE,RB,1,2010
BenJarvus Green-Ellis,NE,RB,1,2010
Jahvid Best,DET,RB,1,2010
Fred Jackson,BUF,RB,1,2010
Isaac Redman,PIT,RB,1,2010
Tashard Choice,DAL,RB,1,2010
Shonn Greene,NYJ,RB,1,2010
Julius Jones,SEA,RB,1,2010
Correll Buckhalter,DEN,RB,1,2010
John Kuhn,GB,RB,1,2010
Reggie Bush,NO,RB,1,2010
Marshawn Lynch,BUF,RB,1,2010
Jonathan Stewart,CAR,RB,1,2010
Leon Washington,SEA,RB,1,2010
Jeremy Maclin,PHI,WR,1,2010
Earnest Graham,TB,RB,1,2010
Delanie Walker,SF,TE,1,2010
Larry Johnson,WAS,RB,1,2010
Chris Gronkowski,DAL,RB,1,2010
Jerious Norwood,ATL,RB,1,2010
Jerome Felton,DET,RB,1,2010
Michael Bennett,LV,RB,1,2010
Le'Ron McClain,BAL,RB,1,2010
Lousaka Polite,MIA,RB,1,2010
C.J. Spiller,BUF,RB,1,2010
Braylon Edwards,NYJ,WR,1,2010
Jason Snelling,ATL,RB,1,2010
Kenneth Darby,LAR,RB,1,2010
Percy Harvin,MIN,WR,1,2010
Mike Karney,LAR,RB,1,2010
Sammy Morris,NE,RB,1,2010
Tim Tebow,DEN,QB,1,2010
Albert Young,MIN,RB,1,2010
Moran Norris,SF,RB,1,2010
Jason Baker,CAR,P,1,2010
Davone Bess,MIA,WR,1,2010
Josh Bidwell,WAS,P,1,2010
Tim Castille,KC,RB,1,2010
Dexter McCluster,KC,WR,1,2010
Mewelde Moore,PIT,RB,1,2010
Brian Moorman,BUF,P,1,2010
Darren Sproles,LAC,RB,1,2010
Leonard Weaver,PHI,RB,1,2010
Ben Watson,CLE,TE,1,2010
Willis McGahee,BAL,RB,1,2010
Maurice Morris,DET,RB,1,2010
Austin Collie,IND,WR,1,2010
Chad Johnson,CIN,WR,1,2010
Miles Austin,DAL,WR,1,2010
Steve Breaston,ARI,WR,1,2010
Mark Clayton,LAR,WR,1,2010
Brandon Lloyd,DEN,WR,1,2010
Roddy White,ATL,WR,1,2010
Anquan Boldin,BAL,WR,1,2010
Legedu Naanee,LAC,WR,1,2010
Hines Ward,PIT,WR,1,2010
Reggie Wayne,IND,WR,1,2010
Eddie Royal,DEN,WR,1,2010
Mike Thomas,JAC,WR,1,2010
Nate Washington,TEN,WR,1,2010
Evan Moore,CLE,TE,1,2010
Mario Manningham,NYG,WR,1,2010
Greg Jennings,GB,WR,1,2010
Jordan Shipley,CIN,WR,1,2010
Dallas Clark,IND,TE,1,2010
Chris Cooley,WAS,TE,1,2010
Santana Moss,WAS,WR,1,2010
Antonio Gates,LAC,TE,1,2010
Visanthe Shiancoe,MIN,TE,1,2010
Hakeem Nicks,NYG,WR,1,2010
Steve Smith,CAR,WR,1,2010
Vernon Davis,SF,TE,1,2010
Todd Heap,BAL,TE,1,2010
Devin Aromashodu,CHI,WR,1,2010
Danny Amendola,LAR,WR,1,2010
Wes Welker,NE,WR,1,2010
Mike Williams,SEA,WR,1,2010
Marques Colston,NO,WR,1,2010
Mike Wallace,PIT,WR,1,2010
Randy Moss,NE,WR,1,2010
Dez Bryant,DAL,WR,1,2010
Brandon Marshall,MIA,WR,1,2010
Terrell Owens,CIN,WR,1,2010
Johnny Knox,CHI,WR,1,2010
Micheal Spurlock,TB,WR,1,2010
Malcom Floyd,LAC,WR,1,2010
Jermichael Finley,GB,TE,1,2010
Anthony Fasano,MIA,TE,1,2010
Mohamed Massaquoi,CLE,WR,1,2010
Aaron Hernandez,NE,TE,1,2010
Calvin Johnson,DET,WR,1,2010
Larry Fitzgerald,ARI,WR,1,2010
Pierre Garcon,IND,WR,1,2010
Zach Miller,LV,TE,1,2010
Tony Scheffler,DET,TE,1,2010
Steve Smith,NYG,WR,1,2010
Jason Avant,PHI,WR,1,2010
Dwayne Jarrett,CAR,WR,1,2010
Steve Johnson,BUF,WR,1,2010
Heath Miller,PIT,TE,1,2010
Harry Douglas,ATL,WR,1,2010
Devery Henderson,NO,WR,1,2010
Early Doucet,ARI,WR,1,2010
Greg Olsen,CHI,TE,1,2010
Bo Scaife,TEN,TE,1,2010
John Carlson,SEA,TE,1,2010
Daniel Graham,DEN,TE,1,2010
Brandon Tate,NE,WR,1,2010
Eric Weems,ATL,WR,1,2010
Tony Gonzalez,ATL,TE,1,2010
Roscoe Parrish,BUF,WR,1,2010
Lee Evans,BUF,WR,1,2010
Jabar Gaffney,DEN,WR,1,2010
Andre Johnson,HOU,WR,1,2010
Robert Meachem,NO,WR,1,2010
Brent Celek,PHI,TE,1,2010
Josh Morgan,SF,WR,1,2010
