Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Cooper KuppLAR,8.0,103.1,0.7,0.1,0.2,0.0,0.1,14.6
Deebo SamuelSF,5.3,79.3,0.6,2.5,18.4,0.2,0.1,14.0
Davante AdamsGB,7.5,93.8,0.7,0.0,0.0,0.0,0.1,13.4
Justin JeffersonMIN,6.3,91.1,0.6,0.5,2.1,0.0,0.1,12.9
Stefon DiggsBUF,6.3,83.1,0.6,0.0,0.2,0.0,0.1,11.9
Chris GodwinTB,6.4,81.4,0.6,0.1,0.4,0.0,0.1,11.8
Ja'Marr ChaseCIN,5.1,77.3,0.6,0.8,3.7,0.0,0.1,11.8
Mike EvansTB,5.2,75.4,0.7,0.1,0.2,0.0,0.0,11.6
Keenan AllenLAC,7.1,80.8,0.5,0.0,0.1,0.0,0.1,11.1
D.K. MetcalfSEA,5.1,73.3,0.6,0.0,0.4,0.0,0.0,11.1
Diontae JohnsonPIT,6.7,78.2,0.5,0.2,1.7,0.0,0.1,11.0
Adam ThielenMIN,5.6,67.8,0.6,0.1,0.2,0.0,0.1,10.4
Terry McLaurinWAS,5.6,72.9,0.5,0.1,0.5,0.0,0.1,10.4
Tyler LockettSEA,5.5,70.4,0.6,0.0,0.0,0.0,0.1,10.3
Brandin CooksHOU,5.9,73.0,0.5,0.0,0.4,0.0,0.1,10.2
Darnell MooneyCHI,5.3,70.0,0.5,0.2,1.0,0.0,0.0,10.1
Michael GallupDAL,4.8,69.1,0.5,0.0,0.0,0.0,0.0,10.0
Cordarrelle PattersonATL,3.7,45.1,0.2,8.2,30.6,0.2,0.1,9.8
DJ MooreCAR,5.1,68.2,0.4,0.5,2.9,0.0,0.1,9.7
Michael Pittman Jr.IND,5.4,66.7,0.5,0.1,0.7,0.0,0.1,9.7
DeVonta SmithPHI,4.7,65.8,0.5,0.0,0.0,0.0,0.0,9.7
Marquise BrownBAL,5.1,66.4,0.4,0.0,0.2,0.0,0.0,9.2
Hunter RenfrowLV,5.6,62.1,0.5,0.2,1.1,0.0,0.1,9.0
Kenny GolladayNYG,4.6,64.8,0.4,0.0,0.0,0.0,0.0,9.0
Jaylen WaddleMIA,6.1,61.9,0.4,0.3,1.4,0.0,0.1,8.9
Mike WilliamsLAC,4.4,64.5,0.3,0.0,0.0,0.0,0.0,8.5
Jerry JeudyDEN,4.5,57.5,0.4,0.4,2.0,0.0,0.0,8.3
Chase ClaypoolPIT,4.4,62.7,0.2,1.2,6.0,0.0,0.0,8.3
Jarvis LandryCLE,4.4,54.6,0.4,0.5,3.2,0.0,0.0,8.3
Elijah MooreNYJ,4.4,57.6,0.3,0.5,3.6,0.0,0.0,8.2
Tee HigginsCIN,4.4,59.2,0.3,0.0,0.2,0.0,0.1,7.6
Brandon AiyukSF,4.3,53.5,0.3,0.4,2.3,0.0,0.0,7.6
Marvin Jones Jr.JAC,4.3,55.8,0.3,0.0,0.0,0.0,0.1,7.5
Tre'Quan SmithNO,3.7,46.9,0.4,0.0,0.1,0.0,0.0,7.2
Courtland SuttonDEN,4.1,58.3,0.2,0.0,0.1,0.0,0.0,7.2
Cole BeasleyBUF,4.8,52.5,0.3,0.0,0.0,0.0,0.0,6.8
Jamison CrowderNYJ,4.6,52.7,0.3,0.0,0.2,0.0,0.1,6.8
Odell Beckham Jr.LAR,3.8,51.5,0.2,0.3,1.6,0.0,0.0,6.8
Jakobi MeyersNE,5.1,56.1,0.2,0.0,0.1,0.0,0.0,6.8
Van JeffersonLAR,4.0,52.1,0.3,0.0,0.0,0.0,0.0,6.7
Cedrick Wilson Jr.DAL,3.7,46.3,0.3,0.1,0.6,0.0,0.0,6.7
Emmanuel SandersBUF,3.8,51.0,0.2,0.2,1.0,0.0,0.0,6.7
Nick Westbrook-IkhineTEN,3.4,44.1,0.3,0.0,0.1,0.0,0.0,6.3
Laviska Shenault Jr.JAC,4.4,45.5,0.2,0.9,4.9,0.0,0.1,6.2
Darius SlaytonNYG,3.7,48.5,0.2,0.0,0.1,0.0,0.0,6.1
Tyler BoydCIN,4.0,45.5,0.2,0.1,0.8,0.0,0.0,6.0
Russell GageATL,4.4,48.2,0.2,0.0,0.2,0.0,0.0,6.0
Marquez Valdes-ScantlingGB,2.9,44.8,0.2,0.0,0.2,0.0,0.0,5.9
Rashod BatemanBAL,3.5,46.5,0.2,0.0,0.3,0.0,0.0,5.8
Marquise GoodwinCHI,3.0,46.2,0.2,0.1,0.3,0.0,0.0,5.8
Nelson AgholorNE,3.2,42.7,0.2,0.1,0.6,0.0,0.0,5.7
Tim PatrickDEN,3.2,42.4,0.2,0.0,0.0,0.0,0.0,5.7
Kendrick BourneNE,3.0,39.5,0.2,0.6,4.1,0.0,0.0,5.6
Bryan EdwardsLV,2.7,43.3,0.2,0.1,0.3,0.0,0.0,5.5
Amon-Ra St. BrownDET,3.8,44.6,0.2,0.1,0.4,0.0,0.0,5.5
T.Y. HiltonIND,3.2,40.9,0.2,0.0,0.0,0.0,0.0,5.4
Dez FitzpatrickTEN,3.3,43.4,0.2,0.0,0.2,0.0,0.1,5.4
Robby AndersonCAR,3.4,41.2,0.2,0.0,0.2,0.0,0.0,5.4
Marquez CallawayNO,3.3,41.4,0.2,0.0,0.0,0.0,0.0,5.4
Donovan Peoples-JonesCLE,2.4,40.3,0.2,0.0,0.0,0.0,0.0,5.3
Curtis SamuelWAS,2.8,31.7,0.2,1.1,8.2,0.1,0.0,5.3
Corey DavisNYJ,4.0,52.0,0.0,0.0,0.0,0.0,0.0,5.2
Kalif RaymondDET,3.0,40.0,0.2,0.1,0.2,0.0,0.0,5.1
Olamide ZaccheausATL,2.7,36.1,0.2,0.0,0.0,0.0,0.0,5.1
Zach PascalIND,3.0,35.8,0.2,0.1,0.3,0.0,0.0,5.0
Deonte HartyNO,3.2,37.3,0.2,0.3,2.0,0.0,0.0,4.9
Keelan Cole Sr.NYJ,2.5,36.9,0.2,0.0,0.0,0.0,0.0,4.7
Chester RogersTEN,3.1,36.9,0.1,0.0,0.4,0.0,0.0,4.5
Quez WatkinsPHI,2.6,35.1,0.1,0.0,0.0,0.0,0.0,4.3
Nico CollinsHOU,2.6,32.7,0.1,0.0,0.1,0.0,0.0,4.1
Tajae SharpeATL,2.6,31.8,0.1,0.0,0.0,0.0,0.0,4.0
Randall CobbGB,2.5,28.7,0.2,0.0,0.1,0.0,0.0,3.9
K.J. OsbornMIN,2.5,30.8,0.1,0.0,0.3,0.0,0.0,3.9
James WashingtonPIT,2.2,30.4,0.1,0.1,0.5,0.0,0.0,3.9
Sammy WatkinsBAL,2.3,31.4,0.1,0.0,0.3,0.0,0.0,3.9
Albert WilsonMIA,2.6,28.3,0.1,0.5,3.3,0.0,0.0,3.8
Josh ReynoldsDET,2.4,30.4,0.1,0.0,0.1,0.0,0.0,3.8
Allen LazardGB,2.1,25.4,0.2,0.0,0.2,0.0,0.0,3.7
DeAndre CarterWAS,2.2,27.9,0.1,0.3,1.9,0.0,0.0,3.7
John RossNYG,1.9,27.6,0.1,0.1,0.8,0.0,0.0,3.7
Noah BrownDAL,2.2,27.3,0.1,0.0,0.1,0.0,0.0,3.6
Danny AmendolaHOU,2.4,26.9,0.1,0.0,0.0,0.0,0.0,3.6
Denzel MimsNYJ,1.6,29.1,0.1,0.0,0.0,0.0,0.0,3.5
Chris ConleyHOU,2.1,27.9,0.1,0.0,0.0,0.0,0.0,3.5
Jalen ReagorPHI,2.2,23.5,0.1,0.4,2.2,0.0,0.0,3.3
Gabriel DavisBUF,1.4,23.2,0.2,0.0,0.0,0.0,0.0,3.3
Mack HollinsMIA,2.0,23.4,0.1,0.0,0.0,0.0,0.0,3.1
Laquon TreadwellJAC,1.8,21.6,0.2,0.0,0.1,0.0,0.0,3.1
Tyler JohnsonTB,1.9,22.4,0.1,0.0,0.1,0.0,0.0,3.0
DeSean JacksonLV,1.3,24.0,0.1,0.2,1.2,0.0,0.0,3.0
Rashard HigginsCLE,1.7,24.1,0.1,0.0,0.0,0.0,0.0,3.0
Adam HumphriesWAS,2.1,23.3,0.1,0.0,0.1,0.0,0.0,2.9
Ja'Marcus BradleyCLE,1.6,22.2,0.1,0.0,0.0,0.0,0.0,2.9
Preston WilliamsMIA,1.6,21.3,0.1,0.0,0.1,0.0,0.0,2.8
Malik TurnerDAL,1.6,19.1,0.1,0.0,0.0,0.0,0.0,2.8
Zay JonesLV,1.7,22.0,0.1,0.0,0.1,0.0,0.0,2.8
Ty MontgomeryNO,1.6,14.5,0.1,1.4,6.1,0.0,0.0,2.7
Braxton BerriosNYJ,1.6,19.1,0.1,0.0,0.3,0.0,0.0,2.6
Jalen GuytonLAC,1.3,18.6,0.1,0.3,1.8,0.0,0.0,2.6
Freddie SwainSEA,1.5,17.3,0.1,0.2,1.6,0.0,0.0,2.6
Scotty MillerTB,1.2,17.4,0.1,0.0,0.3,0.0,0.0,2.5
Juwan JohnsonNO,1.3,12.1,0.2,0.0,0.0,0.0,0.0,2.4
Kenny StillsNO,1.3,15.4,0.1,0.1,0.1,0.0,0.0,2.4
Brandon ZylstraCAR,1.4,19.1,0.1,0.0,0.0,0.0,0.0,2.4
Devin DuvernayBAL,1.5,15.6,0.1,0.2,1.9,0.0,0.0,2.4
Ray-Ray McCloudPIT,1.5,14.4,0.1,0.5,3.1,0.0,0.0,2.4
Damiere ByrdCHI,1.5,18.3,0.1,0.0,0.0,0.0,0.0,2.3
Joshua PalmerLAC,1.5,17.5,0.1,0.0,0.3,0.0,0.0,2.3
Collin JohnsonNYG,1.5,16.5,0.1,0.0,0.0,0.0,0.0,2.2
N'Keal HarryNE,1.3,15.0,0.1,0.0,0.2,0.0,0.0,2.2
Tavon AustinJAC,1.4,15.2,0.1,0.2,1.0,0.0,0.0,2.2
Breshad PerrimanTB,1.0,15.1,0.1,0.0,0.0,0.0,0.0,2.1
Chris MooreHOU,1.2,14.2,0.1,0.0,0.0,0.0,0.0,2.1
Anthony MillerPIT,1.3,15.1,0.1,0.1,0.7,0.0,0.0,2.0
Mohamed Sanu Sr.SF,1.3,14.7,0.1,0.0,0.0,0.0,0.0,1.9
Dyami BrownWAS,1.1,14.1,0.1,0.1,0.1,0.0,0.0,1.9
Jauan JenningsSF,1.0,12.3,0.1,0.0,0.0,0.0,0.0,1.8
Cody HollisterTEN,1.0,13.7,0.1,0.0,0.0,0.0,0.0,1.8
Shi SmithCAR,1.0,13.1,0.1,0.0,0.4,0.0,0.0,1.7
D'Wayne EskridgeSEA,0.8,10.4,0.0,0.5,2.7,0.0,0.0,1.7
Lil'Jordan HumphreyNO,1.0,11.1,0.1,0.0,0.0,0.0,0.0,1.6
Cam SimsWAS,1.0,12.5,0.1,0.1,0.1,0.0,0.0,1.6
Marquez StevensonBUF,0.9,10.2,0.1,0.0,0.7,0.0,0.0,1.5
Kendall HintonDEN,1.0,11.3,0.0,0.1,0.2,0.0,0.0,1.4
Jeff SmithNYJ,0.8,10.2,0.1,0.1,0.3,0.0,0.0,1.3
Ashton DulinIND,0.7,8.1,0.1,0.0,0.3,0.0,0.0,1.3
Trent SherfieldSF,0.6,7.7,0.1,0.0,0.0,0.0,0.0,1.2
Kevin WhiteNO,0.6,8.4,0.1,0.0,0.3,0.0,0.0,1.2
Landen AkersLAR,0.8,8.3,0.1,0.0,0.4,0.0,0.0,1.2
KhaDarel HodgeDET,0.8,10.3,0.0,0.0,0.0,0.0,0.0,1.2
Equanimeous St. BrownGB,0.7,8.1,0.0,0.2,0.9,0.0,0.0,1.1
Jaelon DardenTB,0.7,7.6,0.0,0.2,0.9,0.0,0.0,1.1
Dede WestbrookMIN,0.9,8.5,0.0,0.0,0.0,0.0,0.0,1.1
Dezmon PatmonIND,0.6,6.0,0.1,0.0,0.1,0.0,0.0,1.0
Penny HartSEA,0.6,7.1,0.0,0.1,0.4,0.0,0.0,1.0
Frank DarbyATL,0.5,6.7,0.0,0.0,0.1,0.0,0.0,0.9
Isaiah FordMIA,0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.9
Dax MilneWAS,0.6,7.5,0.0,0.0,0.0,0.0,0.0,0.8
J.J. KoskiLAR,0.5,5.4,0.0,0.0,0.1,0.0,0.0,0.7
Isaiah McKenzieBUF,0.5,5.0,0.0,0.6,2.0,0.0,0.0,0.7
Jaydon MickensJAC,0.4,5.7,0.0,0.0,0.0,0.0,0.0,0.7
Simi FehokoDAL,0.4,5.2,0.0,0.0,0.1,0.0,0.0,0.6
J.J. Arcega-WhitesidePHI,0.4,4.7,0.0,0.0,0.0,0.0,0.0,0.6
Christian BlakeATL,0.4,4.7,0.0,0.0,0.0,0.0,0.0,0.6
Tom KennedyDET,0.4,4.9,0.0,0.0,0.1,0.0,0.0,0.6
Mike ThomasCIN,0.4,4.6,0.0,0.0,0.0,0.0,0.0,0.6
Dillon StonerLV,0.3,4.1,0.0,0.0,0.1,0.0,0.0,0.5
Travis BenjaminSF,0.3,3.9,0.0,0.0,0.1,0.0,0.0,0.5
Isaiah CoulterCHI,0.3,4.2,0.0,0.0,0.1,0.0,0.0,0.5
James Proche IIBAL,0.3,4.1,0.0,0.0,0.1,0.0,0.0,0.5
Andre RobertsLAC,0.1,2.3,0.0,0.5,1.3,0.0,0.0,0.4
Jake KumerowBUF,0.2,3.0,0.0,0.0,0.1,0.0,0.0,0.4
Dan ChisenaMIN,0.1,3.3,0.0,0.0,0.1,0.0,0.0,0.4
Gunner OlszewskiNE,0.1,2.2,0.0,0.0,0.2,0.0,0.0,0.3
Tylan WallaceBAL,0.1,2.6,0.0,0.0,0.1,0.0,0.0,0.3
