Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Cordarrelle PattersonATL,5.2,60.6,0.8,8.8,34.1,0.3,0.1,15.6
Cooper KuppLAR,8.0,104.5,0.8,0.2,0.8,0.0,0.1,15.3
Davante AdamsGB,7.5,95.8,0.8,0.0,0.0,0.0,0.1,14.0
Mike EvansTB,5.7,84.7,0.8,0.0,0.0,0.0,0.0,13.1
Tyreek HillKC,6.6,83.1,0.7,0.8,4.8,0.0,0.1,12.9
A.J. BrownTEN,6.0,88.2,0.6,0.2,0.9,0.0,0.1,12.6
Deebo SamuelSF,6.0,85.8,0.5,0.7,4.1,0.0,0.1,12.3
Stefon DiggsBUF,6.3,80.9,0.6,0.0,0.2,0.0,0.1,11.8
Chris GodwinTB,5.8,78.8,0.6,0.1,0.3,0.0,0.1,11.7
D.K. MetcalfSEA,5.4,79.0,0.6,0.0,0.3,0.0,0.1,11.7
Justin JeffersonMIN,5.9,82.9,0.6,0.1,0.5,0.0,0.1,11.6
Diontae JohnsonPIT,6.3,75.8,0.6,0.5,2.9,0.0,0.1,11.2
CeeDee LambDAL,5.4,73.9,0.6,0.4,2.2,0.0,0.1,11.1
Marquise BrownBAL,5.1,71.1,0.6,0.0,0.3,0.0,0.0,11.0
Keenan AllenLAC,6.8,75.8,0.5,0.0,0.1,0.0,0.1,10.7
Tyler LockettSEA,5.7,73.1,0.6,0.0,0.0,0.0,0.1,10.7
Amari CooperDAL,5.1,68.5,0.6,0.0,0.2,0.0,0.1,10.6
Adam ThielenMIN,5.4,67.1,0.7,0.1,0.5,0.0,0.1,10.6
Michael Pittman Jr.IND,5.3,70.3,0.6,0.2,0.9,0.0,0.0,10.5
Terry McLaurinWAS,5.7,71.3,0.5,0.2,1.1,0.0,0.1,10.2
DJ MooreCAR,5.4,73.2,0.4,0.7,3.7,0.0,0.1,10.0
Hunter RenfrowLV,5.6,63.6,0.5,0.0,0.0,0.0,0.1,9.2
Jaylen WaddleMIA,6.0,64.9,0.5,0.1,0.4,0.0,0.1,9.1
Courtland SuttonDEN,4.6,63.2,0.4,0.0,0.1,0.0,0.0,9.0
Emmanuel SandersBUF,4.3,58.9,0.5,0.1,0.4,0.0,0.0,8.9
Mike WilliamsLAC,4.3,64.9,0.4,0.0,0.1,0.0,0.0,8.8
Cole BeasleyBUF,5.1,57.5,0.4,0.0,0.0,0.0,0.0,7.8
DeVonta SmithPHI,4.6,61.8,0.3,0.0,0.1,0.0,0.0,7.7
Van JeffersonLAR,4.3,58.3,0.3,0.0,0.0,0.0,0.0,7.7
Marvin Jones Jr.JAC,4.5,57.6,0.3,0.0,0.0,0.0,0.1,7.6
Jarvis LandryCLE,4.7,56.1,0.2,0.7,3.9,0.1,0.1,7.4
Jerry JeudyDEN,4.4,57.7,0.2,0.2,0.7,0.0,0.0,7.2
Julio JonesTEN,3.8,54.6,0.3,0.0,0.1,0.0,0.0,7.2
Christian KirkARI,4.1,52.4,0.3,0.1,0.5,0.0,0.0,7.0
Corey DavisNYJ,4.2,53.7,0.2,0.0,0.0,0.0,0.0,6.8
Jakobi MeyersNE,5.2,56.3,0.2,0.0,0.1,0.0,0.0,6.8
Brandon AiyukSF,4.0,47.8,0.3,0.6,2.8,0.0,0.0,6.6
A.J. GreenARI,3.7,50.1,0.2,0.0,0.0,0.0,0.0,6.4
Marquez CallawayNO,4.0,49.8,0.2,0.0,0.0,0.0,0.0,6.4
T.Y. HiltonIND,3.6,46.5,0.3,0.0,0.0,0.0,0.0,6.2
Russell GageATL,4.5,50.0,0.2,0.0,0.3,0.0,0.0,6.2
Tim PatrickDEN,3.3,45.2,0.2,0.0,0.0,0.0,0.0,6.0
Nelson AgholorNE,3.4,44.7,0.2,0.2,0.9,0.0,0.0,6.0
Michael GallupDAL,2.9,43.4,0.3,0.0,0.0,0.0,0.0,5.9
Laviska Shenault Jr.JAC,4.1,44.0,0.2,0.7,3.3,0.0,0.0,5.7
Mecole HardmanKC,3.5,42.3,0.2,0.4,2.6,0.0,0.1,5.7
Donovan Peoples-JonesCLE,2.7,43.8,0.2,0.0,0.1,0.0,0.1,5.7
Zach PascalIND,3.2,41.2,0.3,0.0,0.1,0.0,0.0,5.7
Deonte HartyNO,3.6,43.7,0.2,0.2,1.6,0.0,0.0,5.6
Jamison CrowderNYJ,4.4,44.8,0.2,0.1,0.7,0.0,0.1,5.5
Rashod BatemanBAL,3.2,43.4,0.2,0.0,0.3,0.0,0.0,5.5
Kalif RaymondDET,3.3,44.9,0.2,0.2,0.8,0.0,0.0,5.4
Odell Beckham Jr.LAR,2.9,40.7,0.2,0.2,1.1,0.0,0.0,5.4
Rondale MooreARI,3.3,34.1,0.2,1.4,6.9,0.0,0.0,5.3
Tre'Quan SmithNO,2.7,38.0,0.2,0.0,0.0,0.0,0.0,5.1
James WashingtonPIT,2.7,39.8,0.2,0.2,1.0,0.0,0.0,5.1
Kendrick BourneNE,3.1,38.6,0.2,0.1,0.8,0.0,0.0,5.1
Bryan EdwardsLV,2.5,38.6,0.2,0.0,0.0,0.0,0.0,5.0
Jamal AgnewJAC,3.4,37.9,0.1,0.5,2.7,0.0,0.0,4.9
Allen LazardGB,2.7,34.2,0.2,0.0,0.2,0.0,0.0,4.8
Elijah MooreNYJ,3.3,36.6,0.1,0.4,2.0,0.0,0.0,4.8
Amon-Ra St. BrownDET,3.5,41.6,0.1,0.0,0.1,0.0,0.0,4.8
Quez WatkinsPHI,2.8,38.7,0.1,0.0,0.0,0.0,0.0,4.7
Olamide ZaccheausATL,2.3,31.5,0.2,0.0,0.0,0.0,0.0,4.6
K.J. OsbornMIN,3.0,35.0,0.2,0.1,0.6,0.0,0.0,4.6
Robby AndersonCAR,3.1,36.1,0.2,0.0,0.2,0.0,0.0,4.6
Sammy WatkinsBAL,2.4,34.8,0.2,0.0,0.2,0.0,0.0,4.5
Tajae SharpeATL,2.9,35.9,0.1,0.0,0.0,0.0,0.0,4.5
Tyler JohnsonTB,2.5,32.9,0.2,0.0,0.0,0.0,0.0,4.3
Marquez Valdes-ScantlingGB,1.9,29.7,0.2,0.0,0.2,0.0,0.0,4.0
Randall CobbGB,2.3,28.0,0.2,0.0,0.1,0.0,0.0,3.9
Mack HollinsMIA,2.3,27.7,0.1,0.0,0.0,0.0,0.0,3.6
Adam HumphriesWAS,2.7,27.3,0.1,0.0,0.1,0.0,0.0,3.4
Jalen ReagorPHI,2.2,24.5,0.1,0.3,1.6,0.0,0.0,3.4
Ja'Marcus BradleyCLE,1.8,25.9,0.1,0.0,0.2,0.0,0.0,3.3
Cedrick Wilson Jr.DAL,1.6,20.4,0.2,0.2,0.9,0.0,0.0,3.3
Chester RogersTEN,2.1,25.2,0.1,0.1,0.6,0.0,0.0,3.3
Keelan Cole Sr.NYJ,2.0,25.8,0.1,0.0,0.1,0.0,0.0,3.3
Nick Westbrook-IkhineTEN,2.1,24.6,0.1,0.0,0.0,0.0,0.0,3.3
Kenny StillsNO,1.7,22.6,0.2,0.0,0.1,0.0,0.0,3.3
Ty MontgomeryNO,1.8,16.6,0.1,1.8,8.0,0.0,0.0,3.2
Rashard HigginsCLE,1.7,24.9,0.1,0.0,0.0,0.0,0.0,3.2
DeSean JacksonLV,1.4,23.8,0.1,0.0,0.1,0.0,0.0,3.2
Freddie SwainSEA,1.8,21.6,0.1,0.3,1.6,0.0,0.0,3.1
Dyami BrownWAS,2.2,25.1,0.1,0.1,0.1,0.0,0.0,3.1
Marcus JohnsonTEN,1.7,23.2,0.1,0.3,1.2,0.0,0.0,3.1
DeAndre CarterWAS,1.9,21.6,0.1,0.3,1.5,0.0,0.0,3.0
Jalen GuytonLAC,1.5,21.2,0.1,0.3,1.6,0.0,0.0,2.9
DeAndre HopkinsARI,1.3,18.8,0.1,0.0,1.3,0.0,0.0,2.7
Gabriel DavisBUF,1.1,16.8,0.2,0.0,0.0,0.0,0.0,2.7
Brandon ZylstraCAR,1.6,22.3,0.1,0.0,0.0,0.0,0.0,2.6
Trinity BensonDET,1.6,20.3,0.1,0.0,0.1,0.0,0.0,2.6
Juwan JohnsonNO,1.5,12.9,0.2,0.0,0.0,0.0,0.0,2.5
Ray-Ray McCloudPIT,1.5,17.0,0.1,0.2,1.5,0.0,0.0,2.5
Denzel MimsNYJ,1.7,18.0,0.1,0.0,0.0,0.0,0.0,2.4
Byron PringleKC,1.3,17.5,0.1,0.0,0.0,0.0,0.0,2.3
Zay JonesLV,1.4,17.3,0.1,0.0,0.1,0.0,0.0,2.3
Anthony SchwartzCLE,1.2,16.4,0.1,0.2,1.0,0.0,0.0,2.3
Preston WilliamsMIA,1.2,17.4,0.1,0.1,0.3,0.0,0.0,2.3
Demarcus RobinsonKC,1.3,15.6,0.1,0.0,0.0,0.0,0.0,2.3
KhaDarel HodgeDET,1.5,18.5,0.1,0.0,0.0,0.0,0.0,2.2
Antoine WesleyARI,1.4,16.9,0.1,0.0,0.2,0.0,0.0,2.2
Terrace Marshall Jr.CAR,1.7,18.0,0.1,0.0,0.1,0.0,0.0,2.2
Devin DuvernayBAL,1.2,13.0,0.1,0.2,1.6,0.0,0.0,2.1
Scotty MillerTB,1.2,15.0,0.1,0.0,0.0,0.0,0.0,2.1
