Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Davante AdamsGB,8.1,102.4,0.8,0.0,0.0,0.0,0.1,15.0
Tyreek HillKC,6.5,89.6,0.8,0.8,5.2,0.0,0.1,14.2
Cooper KuppLAR,7.3,92.9,0.8,0.3,1.2,0.0,0.1,14.1
Justin JeffersonMIN,5.9,94.2,0.8,0.2,0.8,0.0,0.1,14.0
Stefon DiggsBUF,7.0,88.8,0.7,0.1,0.4,0.0,0.1,12.9
DJ MooreCAR,6.3,88.5,0.6,0.5,3.1,0.0,0.1,12.9
Cordarrelle PattersonATL,3.9,46.7,0.7,6.6,23.1,0.3,0.1,12.8
Deebo SamuelSF,6.4,85.4,0.5,1.1,7.2,0.0,0.1,12.5
A.J. BrownTEN,5.1,79.9,0.7,0.2,1.3,0.0,0.0,12.3
Terry McLaurinWAS,6.0,85.1,0.6,0.0,0.3,0.0,0.1,12.0
Adam ThielenMIN,5.2,70.1,0.8,0.2,0.6,0.0,0.1,11.7
Mike EvansTB,5.1,76.4,0.7,0.0,0.0,0.0,0.0,11.6
CeeDee LambDAL,5.8,75.1,0.6,0.7,3.9,0.0,0.1,11.5
Chris GodwinTB,5.4,73.7,0.6,0.2,1.0,0.0,0.0,11.3
Tyler LockettSEA,6.0,76.9,0.6,0.1,0.2,0.0,0.1,11.3
Keenan AllenLAC,6.9,77.5,0.6,0.0,0.4,0.0,0.1,11.2
DeAndre HopkinsARI,6.0,73.8,0.6,0.0,0.1,0.0,0.1,11.1
D.K. MetcalfSEA,5.4,77.6,0.5,0.0,0.2,0.0,0.1,10.8
Marvin Jones Jr.JAC,5.0,69.1,0.6,0.0,0.0,0.0,0.0,10.5
Mike WilliamsLAC,4.9,69.1,0.6,0.0,0.1,0.0,0.0,10.5
Ja'Marr ChaseCIN,4.9,68.0,0.6,0.2,0.9,0.0,0.0,10.4
Marquise BrownBAL,4.5,65.0,0.6,0.3,1.4,0.0,0.0,10.4
Kenny GolladayNYG,4.9,75.6,0.5,0.0,0.0,0.0,0.0,10.4
Diontae JohnsonPIT,6.3,68.6,0.5,0.2,1.1,0.0,0.1,10.0
Amari CooperDAL,5.4,69.4,0.5,0.1,0.6,0.0,0.1,9.8
Brandin CooksHOU,6.0,79.9,0.3,0.2,1.2,0.0,0.1,9.6
Robert WoodsLAR,4.7,57.4,0.5,1.2,6.8,0.0,0.1,9.4
DeVante ParkerMIA,5.7,72.0,0.4,0.0,0.0,0.0,0.1,9.4
Jakobi MeyersNE,5.9,69.8,0.4,0.1,0.4,0.0,0.1,9.4
Tyler BoydCIN,5.6,63.4,0.5,0.2,1.0,0.0,0.1,9.3
Allen Robinson IICHI,5.0,62.7,0.5,0.0,0.0,0.0,0.1,9.3
Corey DavisNYJ,4.4,63.2,0.5,0.0,0.2,0.0,0.0,9.1
Michael Pittman Jr.IND,5.1,64.1,0.4,0.3,1.5,0.0,0.1,9.1
Odell Beckham Jr.LAR,4.4,61.4,0.4,0.4,2.7,0.0,0.0,9.0
Tee HigginsCIN,4.6,62.6,0.5,0.2,0.8,0.0,0.1,8.9
Emmanuel SandersBUF,4.6,59.0,0.5,0.1,0.5,0.0,0.0,8.8
DeVonta SmithPHI,4.5,61.1,0.4,0.1,0.5,0.0,0.0,8.7
Laviska Shenault Jr.JAC,4.8,55.8,0.4,1.0,5.0,0.0,0.0,8.6
Courtland SuttonDEN,4.9,68.9,0.2,0.2,0.8,0.0,0.0,8.4
Jaylen WaddleMIA,5.8,65.3,0.3,0.1,0.8,0.0,0.1,8.2
Hunter RenfrowLV,4.5,55.0,0.5,0.0,0.0,0.0,0.0,8.1
Chase ClaypoolPIT,4.3,56.2,0.3,0.5,2.5,0.0,0.0,7.9
Cole BeasleyBUF,5.1,57.0,0.3,0.0,0.0,0.0,0.0,7.7
Robby AndersonCAR,4.4,55.0,0.3,0.3,2.0,0.0,0.0,7.6
Tim PatrickDEN,4.3,58.1,0.3,0.1,0.8,0.0,0.0,7.4
A.J. GreenARI,3.5,45.9,0.4,0.0,0.0,0.0,0.0,7.2
Jamison CrowderNYJ,4.2,49.7,0.3,0.2,0.7,0.0,0.0,7.0
Kadarius ToneyNYG,4.2,52.4,0.2,0.5,3.0,0.0,0.0,6.9
Darnell MooneyCHI,4.3,53.0,0.2,0.4,1.9,0.0,0.0,6.9
Brandon AiyukSF,3.6,43.4,0.3,0.5,3.6,0.0,0.0,6.6
Marquez CallawayNO,3.7,49.4,0.2,0.1,0.6,0.0,0.0,6.5
Randall CobbGB,3.3,39.5,0.4,0.2,0.9,0.0,0.0,6.4
Nelson AgholorNE,3.4,47.0,0.3,0.3,1.5,0.0,0.0,6.4
Van JeffersonLAR,3.2,43.8,0.3,0.0,0.1,0.0,0.0,6.2
Olamide ZaccheausATL,3.5,47.7,0.2,0.1,0.0,0.0,0.0,6.1
Christian KirkARI,3.5,44.1,0.3,0.2,1.1,0.0,0.0,6.1
