player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,lst,fantasy_points,team,position,week,year
Jarvis Landry,2.4,24.4,0.1,0.4,2.2,0.1,0.1,3.7,CLE,WR,15,2021
Tyler Johnson,2.3,28.4,0.1,0.0,0.0,0.0,0.0,3.6,TB,WR,15,2021
D'Wayne Eskridge,2.2,26.3,0.1,0.4,2.1,0.0,0.0,3.6,SEA,WR,15,2021
Mack Hollins,1.9,24.2,0.2,0.0,0.0,0.0,0.0,3.5,MIA,WR,15,2021
Ray-Ray McCloud,2.5,24.8,0.1,0.1,1.2,0.0,0.0,3.3,PIT,WR,15,2021
Devin Duvernay,2.1,22.8,0.1,0.5,3.0,0.0,0.0,3.3,BAL,WR,15,2021
Curtis Samuel,2.1,24.6,0.0,0.7,4.2,0.0,0.0,3.2,WAS,WR,15,2021
Olamide Zaccheaus,1.8,23.9,0.1,0.0,0.1,0.0,0.0,3.2,ATL,WR,15,2021
Marquise Goodwin,1.2,21.1,0.2,0.0,0.7,0.0,0.0,3.2,CHI,WR,15,2021
James Washington,1.9,23.9,0.1,0.0,0.4,0.0,0.0,3.2,PIT,WR,15,2021
Jauan Jennings,1.9,23.0,0.1,0.0,0.1,0.0,0.0,3.0,SF,WR,15,2021
Brandon Zylstra,2.1,25.6,0.1,0.0,0.0,0.0,0.0,3.0,CAR,WR,15,2021
Tyler Lockett,1.9,24.1,0.1,0.0,-0.1,0.0,0.0,3.0,SEA,WR,15,2021
Cedrick Wilson Jr.,1.7,21.1,0.1,0.1,0.2,0.0,0.0,3.0,DAL,WR,15,2021
Chris Conley,1.8,25.0,0.1,0.0,0.0,0.0,0.0,2.9,HOU,WR,15,2021
Denzel Mims,1.8,23.7,0.1,0.0,0.0,0.0,0.0,2.9,NYJ,WR,15,2021
Sammy Watkins,1.3,20.1,0.1,0.0,0.7,0.0,0.0,2.9,BAL,WR,15,2021
Ben Skowronek,1.7,22.6,0.1,0.0,0.1,0.0,0.0,2.9,LAR,WR,15,2021
Isaiah Ford,1.7,20.1,0.1,0.0,0.1,0.0,0.0,2.8,MIA,WR,15,2021
Cody Hollister,1.6,21.3,0.1,0.1,0.2,0.0,0.0,2.8,TEN,WR,15,2021
Tavon Austin,1.7,20.5,0.1,0.0,0.1,0.0,0.0,2.7,JAC,WR,15,2021
Preston Williams,1.4,19.4,0.1,0.0,0.1,0.0,0.0,2.7,MIA,WR,15,2021
Lil'Jordan Humphrey,1.5,19.8,0.1,0.0,0.1,0.0,0.0,2.6,NO,WR,15,2021
Juwan Johnson,1.3,14.2,0.2,0.0,0.0,0.0,0.0,2.6,NO,WR,15,2021
Rodney Adams,1.5,19.1,0.1,0.0,0.0,0.0,0.0,2.6,NYJ,WR,15,2021
Demarcus Robinson,1.6,18.6,0.1,0.0,0.0,0.0,0.0,2.6,KC,WR,15,2021
Penny Hart,1.6,19.4,0.1,0.0,0.0,0.0,0.0,2.6,SEA,WR,15,2021
Joshua Palmer,1.4,18.3,0.1,0.0,0.3,0.0,0.0,2.5,LAC,WR,15,2021
Cam Sims,1.7,20.4,0.1,0.0,0.0,0.0,0.0,2.5,WAS,WR,15,2021
Antoine Wesley,1.5,19.1,0.1,0.0,0.0,0.0,0.0,2.5,ARI,WR,15,2021
KhaDarel Hodge,1.5,18.2,0.1,0.0,0.0,0.0,0.0,2.4,DET,WR,15,2021
Chester Rogers,1.6,19.0,0.1,0.0,0.5,0.0,0.0,2.3,TEN,WR,15,2021
Ihmir Smith-Marsette,1.2,14.8,0.1,0.0,0.1,0.0,0.0,2.2,MIN,WR,15,2021
Isaiah McKenzie,1.3,12.7,0.1,0.4,2.1,0.0,0.0,2.2,BUF,WR,15,2021
Kenny Stills,1.0,15.9,0.1,0.0,0.0,0.0,0.0,2.2,NO,WR,15,2021
Lawrence Cager,1.2,16.2,0.1,0.0,0.0,0.0,0.0,2.1,NYJ,WR,15,2021
Dede Westbrook,1.3,13.8,0.1,0.0,0.0,0.0,0.0,2.1,MIN,WR,15,2021
Breshad Perriman,1.0,13.8,0.1,0.0,0.7,0.0,0.0,2.0,TB,WR,15,2021
Ty Montgomery,1.3,12.9,0.1,0.7,3.1,0.0,0.0,2.0,NO,WR,15,2021
Ryan Switzer,1.5,14.5,0.1,0.0,0.0,0.0,0.0,1.9,CLE,WR,15,2021
Phillip Dorsett II,1.0,13.3,0.1,0.3,1.7,0.0,0.0,1.9,HOU,WR,15,2021
D.J. Montgomery,1.2,15.2,0.1,0.0,0.0,0.0,0.0,1.9,NYJ,WR,15,2021
Jaydon Mickens,1.1,13.6,0.1,0.0,0.1,0.0,0.0,1.8,JAC,WR,15,2021
