Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Cooper KuppLAR,7.9,106.6,0.8,0.1,0.5,0.0,0.1,15.4
Davante AdamsGB,7.9,104.0,0.8,0.0,0.1,0.0,0.1,15.2
Tyreek HillKC,6.8,88.9,0.7,0.7,4.4,0.0,0.1,13.5
Keenan AllenLAC,7.6,89.7,0.7,0.0,0.1,0.0,0.1,12.9
Deebo SamuelSF,4.2,63.0,0.3,4.9,31.3,0.3,0.1,12.7
Justin JeffersonMIN,6.3,87.9,0.6,0.3,1.2,0.0,0.1,12.6
Cordarrelle PattersonATL,3.5,41.6,0.3,10.3,43.5,0.5,0.2,12.6
Diontae JohnsonPIT,7.1,82.1,0.5,0.5,3.1,0.0,0.1,11.5
Stefon DiggsBUF,6.1,76.7,0.6,0.0,0.2,0.0,0.1,10.9
Ja'Marr ChaseCIN,4.7,70.1,0.6,0.6,2.4,0.0,0.1,10.7
Tyler LockettSEA,5.3,72.9,0.6,0.0,0.0,0.0,0.1,10.7
CeeDee LambDAL,5.3,68.4,0.5,0.5,3.2,0.0,0.0,10.4
A.J. BrownTEN,5.0,68.8,0.5,0.2,1.1,0.0,0.0,10.2
Tee HigginsCIN,4.9,71.1,0.5,0.1,0.5,0.0,0.1,10.1
DJ MooreCAR,5.5,71.5,0.4,0.3,2.0,0.0,0.1,9.8
Christian KirkARI,5.1,64.7,0.5,0.1,0.7,0.0,0.1,9.5
Russell GageATL,5.6,65.2,0.5,0.1,0.2,0.0,0.1,9.3
Adam ThielenMIN,4.9,56.4,0.6,0.1,0.2,0.0,0.0,9.2
Michael Pittman Jr.IND,5.1,63.2,0.5,0.3,2.0,0.0,0.0,9.2
Hunter RenfrowLV,6.8,74.6,0.3,0.2,1.1,0.0,0.1,9.1
Amon-Ra St. BrownDET,5.9,61.2,0.4,0.3,1.6,0.0,0.1,8.8
Terry McLaurinWAS,4.7,62.9,0.4,0.1,0.3,0.0,0.0,8.7
Darnell MooneyCHI,5.1,61.8,0.4,0.4,2.1,0.0,0.0,8.7
Brandon AiyukSF,4.3,56.7,0.5,0.5,2.5,0.0,0.0,8.7
Jarvis LandryCLE,5.0,59.1,0.4,0.4,3.0,0.0,0.1,8.6
D.K. MetcalfSEA,4.5,61.7,0.4,0.0,0.2,0.0,0.0,8.6
Odell Beckham Jr.LAR,3.7,53.3,0.5,0.3,1.4,0.0,0.0,8.3
Jaylen WaddleMIA,6.2,63.9,0.3,0.1,0.4,0.0,0.1,8.1
DeVante ParkerMIA,4.4,55.7,0.4,0.0,0.0,0.0,0.0,8.0
Marquise BrownBAL,5.5,64.2,0.3,0.2,0.8,0.0,0.1,7.9
Amari CooperDAL,4.4,58.0,0.3,0.1,0.1,0.0,0.0,7.8
Joshua PalmerLAC,3.8,48.7,0.5,0.0,0.3,0.0,0.0,7.6
