Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Cooper KuppLAR,8.1,106.0,0.8,0.3,1.6,0.0,0.0,15.5
Justin JeffersonMIN,6.9,95.9,0.7,0.3,1.3,0.0,0.0,14.1
Tyreek HillKC,6.4,81.9,0.7,0.6,3.4,0.0,0.0,12.5
Deebo SamuelSF,5.1,75.2,0.3,3.6,22.2,0.2,0.1,12.5
A.J. BrownTEN,5.8,82.9,0.7,0.0,0.4,0.0,0.0,12.3
Stefon DiggsBUF,6.1,79.1,0.7,0.0,0.0,0.0,0.0,12.1
Brandin CooksHOU,6.7,81.5,0.5,0.1,0.5,0.0,0.0,11.3
Mike EvansTB,5.6,74.3,0.6,0.0,0.1,0.0,0.0,11.2
Diontae JohnsonPIT,6.6,76.7,0.5,0.4,2.1,0.0,0.1,11.1
Christian KirkARI,5.9,73.4,0.5,0.0,0.3,0.0,0.0,10.5
Keenan AllenLAC,6.2,69.8,0.6,0.0,0.1,0.0,0.0,10.4
Davante AdamsGB,5.4,68.3,0.6,0.0,0.0,0.0,0.0,10.3
Tyler LockettSEA,5.1,69.4,0.5,0.0,0.1,0.0,0.0,10.2
Michael Pittman Jr.IND,5.2,66.1,0.5,0.4,2.2,0.0,0.0,9.9
Amon-Ra St. BrownDET,6.1,64.8,0.5,0.7,3.4,0.0,0.0,9.9
Hunter RenfrowLV,6.0,67.8,0.5,0.1,0.6,0.0,0.1,9.9
D.K. MetcalfSEA,4.6,62.9,0.6,0.0,0.1,0.0,0.0,9.8
Jaylen WaddleMIA,6.2,65.2,0.5,0.1,0.5,0.0,0.1,9.3
Mike WilliamsLAC,4.4,61.4,0.5,0.0,0.0,0.0,0.0,9.2
Terry McLaurinWAS,5.0,63.7,0.5,0.0,0.1,0.0,0.0,9.1
Darnell MooneyCHI,4.6,59.4,0.4,0.4,2.4,0.0,0.0,8.9
DJ MooreCAR,5.5,70.8,0.2,0.4,2.0,0.0,0.0,8.5
Jarvis LandryCLE,4.8,55.0,0.4,0.4,2.5,0.0,0.1,8.3
CeeDee LambDAL,4.1,54.5,0.4,0.2,1.3,0.0,0.0,8.2
Amari CooperDAL,4.1,52.2,0.5,0.0,0.4,0.0,0.0,8.2
Ja'Marr ChaseCIN,4.3,62.9,0.3,0.3,2.1,0.0,0.0,8.2
Odell Beckham Jr.LAR,3.6,48.6,0.5,0.1,0.4,0.0,0.0,7.8
K.J. OsbornMIN,3.9,49.1,0.5,0.0,0.0,0.0,0.0,7.7
Cole BeasleyBUF,4.3,47.7,0.5,0.0,0.0,0.0,0.0,7.5
Marquise BrownBAL,5.3,59.6,0.3,0.0,0.1,0.0,0.1,7.4
Jamison CrowderNYJ,4.5,47.9,0.4,0.0,0.0,0.0,0.0,7.4
Chase ClaypoolPIT,3.9,54.8,0.2,0.9,4.4,0.0,0.0,7.2
Tyler BoydCIN,4.3,50.8,0.4,0.1,0.6,0.0,0.0,7.2
Russell GageATL,5.2,59.0,0.2,0.0,0.1,0.0,0.0,6.9
A.J. GreenARI,3.9,56.8,0.2,0.0,0.0,0.0,0.0,6.9
Brandon AiyukSF,4.1,53.8,0.2,0.1,0.8,0.0,0.0,6.8
Jakobi MeyersNE,5.1,55.7,0.2,0.0,0.1,0.0,0.0,6.6
Marvin Jones Jr.JAC,4.4,53.8,0.2,0.0,0.0,0.0,0.0,6.5
Kenny GolladayNYG,3.6,53.4,0.2,0.0,0.0,0.0,0.0,6.4
Allen LazardGB,3.6,46.4,0.3,0.1,0.9,0.0,0.0,6.3
DeVante ParkerMIA,4.1,51.3,0.2,0.0,0.0,0.0,0.0,6.1
Gabriel DavisBUF,3.1,44.0,0.3,0.0,0.0,0.0,0.0,6.0
DeVonta SmithPHI,3.4,47.8,0.2,0.0,0.0,0.0,0.0,6.0
