Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Dyami BrownWAS,2.1,27.8,0.2,0.1,0.6,0.0,0.0,3.8
Cedrick Wilson Jr.DAL,2.0,26.3,0.2,0.1,0.8,0.0,0.0,3.8
Chris ConleyHOU,2.1,29.6,0.1,0.0,0.2,0.0,0.0,3.8
Rashod BatemanBAL,2.3,28.8,0.1,0.0,0.4,0.0,0.0,3.7
Donovan Peoples-JonesCLE,2.2,30.0,0.1,0.0,0.1,0.0,0.1,3.6
DeSean JacksonLV,1.7,26.4,0.2,0.0,0.1,0.0,0.0,3.6
Nico CollinsHOU,1.9,25.6,0.1,0.0,0.2,0.0,0.0,3.4
Tavon AustinJAC,2.3,26.8,0.1,0.0,0.3,0.0,0.0,3.4
Devin DuvernayBAL,2.3,26.7,0.1,0.1,0.6,0.0,0.0,3.4
Kendall HintonDEN,1.7,20.6,0.2,0.2,1.2,0.0,0.0,3.3
Freddie SwainSEA,2.0,24.7,0.1,0.3,1.6,0.0,0.0,3.2
Chris MooreHOU,1.8,25.0,0.1,0.0,0.1,0.0,0.0,3.2
Darius SlaytonNYG,2.0,28.5,0.1,0.0,0.0,0.0,0.0,3.2
Demarcus RobinsonKC,1.7,20.9,0.2,0.0,0.0,0.0,0.0,3.1
Josh GordonKC,1.4,21.1,0.2,0.0,0.1,0.0,0.0,3.1
Tyler JohnsonTB,1.5,20.7,0.1,0.0,0.1,0.0,0.0,2.9
Jamal AgnewJAC,1.6,19.2,0.1,0.4,2.4,0.0,0.0,2.8
Marquise GoodwinCHI,1.4,20.4,0.1,0.3,1.3,0.0,0.0,2.8
Parris CampbellIND,1.6,20.9,0.1,0.1,0.8,0.0,0.0,2.7
Mack HollinsMIA,1.5,19.7,0.1,0.0,0.0,0.0,0.0,2.6
James Proche IIBAL,1.5,19.4,0.1,0.0,0.1,0.0,0.0,2.6
Chester RogersTEN,1.8,19.0,0.1,0.1,0.7,0.0,0.0,2.6
DeAndre CarterWAS,1.2,15.2,0.1,0.4,2.1,0.0,0.0,2.4
Joshua PalmerLAC,1.3,13.5,0.2,0.1,0.5,0.0,0.0,2.3
N'Keal HarryNE,1.5,17.3,0.1,0.0,0.1,0.0,0.0,2.3
Gabriel DavisBUF,1.0,15.7,0.1,0.0,0.0,0.0,0.0,2.3
C.J. BoardNYG,1.4,16.2,0.1,0.0,0.0,0.0,0.0,2.2
Josh ReynoldsDET,1.4,15.7,0.1,0.0,0.1,0.0,0.0,2.1
Marcus JohnsonTEN,1.3,16.5,0.1,0.0,0.0,0.0,0.0,2.1
Isaiah FordMIA,1.4,16.7,0.1,0.0,0.0,0.0,0.0,2.1
Jody FortsonKC,0.9,13.2,0.1,0.1,0.5,0.0,0.0,2.0
Collin JohnsonNYG,1.2,14.1,0.1,0.0,0.0,0.0,0.0,1.8
Dede WestbrookMIN,1.3,13.5,0.1,0.1,0.3,0.0,0.0,1.8
Byron PringleKC,1.1,13.3,0.1,0.0,0.0,0.0,0.0,1.8
Anthony SchwartzCLE,0.9,11.2,0.1,0.4,2.4,0.0,0.0,1.7
Ashton DulinIND,1.0,12.4,0.1,0.2,0.3,0.0,0.0,1.7
Noah BrownDAL,1.0,12.8,0.1,0.0,0.1,0.0,0.0,1.6
Tyrie ClevelandDEN,1.1,10.0,0.1,0.0,0.0,0.0,0.0,1.6
Ray-Ray McCloudPIT,1.1,11.9,0.1,0.2,0.7,0.0,0.0,1.6
Brandon ZylstraCAR,0.7,11.4,0.1,0.0,0.1,0.0,0.0,1.6
Damiere ByrdCHI,0.9,11.3,0.1,0.0,0.1,0.0,0.0,1.5
Tom KennedyDET,0.8,10.3,0.1,0.0,0.1,0.0,0.0,1.4
Greg WardPHI,0.8,9.2,0.1,0.0,0.0,0.0,0.0,1.4
Anthony MillerPIT,0.9,9.4,0.1,0.0,0.0,0.0,0.0,1.4
Tyron JohnsonLV,0.7,10.3,0.1,0.0,0.0,0.0,0.0,1.3
Zay JonesLV,0.8,8.6,0.1,0.0,0.0,0.0,0.0,1.3
Auden TateCIN,0.8,9.8,0.0,0.0,0.0,0.0,0.0,1.3
Trinity BensonDET,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2
Amari RodgersGB,0.7,9.6,0.0,0.1,0.3,0.0,0.0,1.2
Isaiah McKenzieBUF,0.6,5.7,0.1,0.2,1.7,0.0,0.0,1.2
Trenton IrwinCIN,0.6,6.8,0.1,0.0,0.1,0.0,0.0,1.1
Penny HartSEA,0.7,9.0,0.0,0.0,0.1,0.0,0.0,1.1
