player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Frank DarbyATL,0.7,7.6,0.0,0.0,0.0,0.0,0.0,0.9,ATL,17,WR
Jalen CampHOU,0.8,7.9,0.0,0.0,0.1,0.0,0.0,0.9,HOU,17,WR
J.J. KoskiLAR,0.5,5.8,0.0,0.0,0.3,0.0,0.0,0.8,LAR,17,WR
Dax MilneWAS,0.6,6.6,0.0,0.0,0.0,0.0,0.0,0.8,WAS,17,WR
Austin TrammellATL,0.7,8.0,0.0,0.0,0.0,0.0,0.0,0.8,ATL,17,WR
Tylan WallaceBAL,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.8,BAL,17,WR
Juwann WinfreeGB,0.6,7.0,0.0,0.0,0.0,0.0,0.0,0.7,GB,17,WR
Greg WardPHI,0.4,5.1,0.0,0.0,0.0,0.0,0.0,0.7,PHI,17,WR
Tyron JohnsonLV,0.3,5.3,0.0,0.0,0.1,0.0,0.0,0.7,LV,17,WR
Kirk MerrittNO,0.5,5.4,0.0,0.0,0.1,0.0,0.0,0.7,NO,17,WR
Vyncint SmithTB,0.2,4.7,0.0,0.0,0.1,0.0,0.0,0.7,TB,17,WR
Dezmon PatmonIND,0.4,4.6,0.0,0.0,0.0,0.0,0.0,0.6,IND,17,WR
Ja'Marcus BradleyCLE,0.2,4.5,0.0,0.0,0.1,0.0,0.0,0.6,CLE,17,WR
Amari RodgersGB,0.3,3.5,0.0,0.0,0.3,0.0,0.0,0.5,GB,17,WR
Jake KumerowBUF,0.3,4.6,0.0,0.0,0.1,0.0,0.0,0.5,BUF,17,WR
Jeff CottonJAC,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.5,JAC,17,WR
Javon McKinleyDET,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.5,KinleyDET,17,WR
Trent SherfieldSF,0.3,4.1,0.0,0.0,0.0,0.0,0.0,0.5,SF,17,WR
Penny HartSEA,0.3,3.3,0.0,0.0,0.0,0.0,0.0,0.4,SEA,17,WR
Marquez StevensonBUF,0.3,3.2,0.0,0.0,0.1,0.0,0.0,0.4,BUF,17,WR
Brandon PowellLAR,0.3,2.8,0.0,0.0,0.2,0.0,0.0,0.4,LAR,17,WR
Andre RobertsLAC,0.1,2.3,0.0,0.0,0.9,0.0,0.0,0.4,LAC,17,WR
Trent TaylorCIN,0.3,2.6,0.0,0.0,0.1,0.0,0.0,0.3,CIN,17,WR
Matthew SlaterNE,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.3,NE,17,WR
Mike ThomasCIN,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.3,CIN,17,WR
Dan ChisenaMIN,0.1,2.4,0.0,0.0,0.1,0.0,0.0,0.3,MIN,17,WR
River CracraftMIA,0.2,2.3,0.0,0.0,0.1,0.0,0.0,0.3,MIA,17,WR
Greg DortchARI,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3,ARI,17,WR
Alex EricksonCAR,0.1,1.9,0.0,0.0,0.1,0.0,0.0,0.3,CAR,17,WR
Stanley Morgan Jr.CIN,0.1,2.1,0.0,0.0,0.0,0.0,0.0,0.2,CIN,17,WR
Travis BenjaminSF,0.1,1.8,0.0,0.0,0.1,0.0,0.0,0.2,SF,17,WR
J.J. Arcega-WhitesidePHI,0.1,1.7,0.0,0.0,0.0,0.0,0.0,0.2,WhitesidePHI,17,WR
Kawaan BakerNO,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2,NO,17,WR
Marcus KempKC,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1,KC,17,WR
