Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Justin JeffersonMIN,6.9,104.9,0.7,0.4,2.3,0.0,0.1,15.0
Davante AdamsGB,7.8,102.1,0.8,0.0,0.0,0.0,0.1,14.8
Cooper KuppLAR,8.0,100.3,0.7,0.1,0.3,0.0,0.1,14.1
Deebo SamuelSF,4.6,67.8,0.5,3.2,24.3,0.2,0.1,13.3
Tyreek HillKC,6.5,81.0,0.7,0.8,5.0,0.0,0.1,12.8
Stefon DiggsBUF,6.9,85.3,0.7,0.0,0.2,0.0,0.1,12.4
Diontae JohnsonPIT,6.7,81.8,0.6,0.2,1.8,0.0,0.1,11.7
Chris GodwinTB,6.7,77.2,0.5,0.3,2.1,0.0,0.1,11.3
Cordarrelle PattersonATL,3.0,33.4,0.2,9.9,43.8,0.4,0.1,11.1
CeeDee LambDAL,5.5,74.8,0.5,0.6,3.5,0.0,0.1,11.0
Mike WilliamsLAC,5.5,76.0,0.6,0.0,0.0,0.0,0.0,11.0
Hunter RenfrowLV,6.9,78.2,0.5,0.1,0.4,0.0,0.1,10.5
Mike EvansTB,5.0,67.8,0.6,0.0,0.2,0.0,0.0,10.4
DeAndre HopkinsARI,5.3,68.1,0.6,0.0,0.1,0.0,0.1,10.3
DJ MooreCAR,5.4,72.5,0.5,0.4,2.2,0.0,0.1,10.3
Tee HigginsCIN,5.5,70.5,0.5,0.1,0.4,0.0,0.1,10.2
Tyler LockettSEA,5.1,70.5,0.5,0.0,0.0,0.0,0.1,10.2
Terry McLaurinWAS,5.6,73.5,0.5,0.1,0.3,0.0,0.1,10.2
D.K. MetcalfSEA,4.4,64.1,0.6,0.0,0.1,0.0,0.0,9.8
Brandin CooksHOU,5.7,71.9,0.4,0.3,2.0,0.0,0.1,9.8
Amari CooperDAL,5.0,66.3,0.5,0.1,0.1,0.0,0.1,9.7
Ja'Marr ChaseCIN,4.9,69.7,0.4,0.5,2.2,0.0,0.1,9.6
Jarvis LandryCLE,4.9,63.5,0.4,0.5,3.3,0.0,0.1,9.3
Julio JonesTEN,4.3,64.0,0.4,0.0,0.0,0.0,0.0,9.0
Darnell MooneyCHI,4.6,62.5,0.4,0.2,1.1,0.0,0.0,8.9
Marquise BrownBAL,5.4,68.4,0.3,0.1,0.2,0.0,0.1,8.8
Jerry JeudyDEN,4.3,58.2,0.4,0.2,0.8,0.0,0.0,8.3
Odell Beckham Jr.LAR,3.8,52.4,0.4,0.2,1.3,0.0,0.0,8.0
Chase ClaypoolPIT,3.9,57.2,0.2,1.0,5.8,0.0,0.0,7.8
Jamison CrowderNYJ,4.7,53.8,0.4,0.0,0.1,0.0,0.1,7.7
Brandon AiyukSF,4.3,56.4,0.3,0.5,2.6,0.0,0.1,7.6
Michael GallupDAL,3.8,53.7,0.3,0.0,0.0,0.0,0.0,7.0
Van JeffersonLAR,4.2,53.7,0.3,0.0,0.0,0.0,0.0,7.0
Marquez Valdes-ScantlingGB,3.0,50.8,0.3,0.1,0.4,0.0,0.0,6.7
Cole BeasleyBUF,5.1,52.2,0.3,0.0,0.0,0.0,0.0,6.7
Russell GageATL,4.9,53.4,0.2,0.1,0.2,0.0,0.0,6.6
Courtland SuttonDEN,3.6,52.1,0.2,0.0,0.1,0.0,0.0,6.5
Marvin Jones Jr.JAC,3.9,50.4,0.2,0.0,0.0,0.0,0.0,6.5
Kenny GolladayNYG,3.8,53.6,0.2,0.0,0.0,0.0,0.0,6.4
Amon-Ra St. BrownDET,5.0,52.5,0.2,0.2,1.1,0.0,0.0,6.4
Sterling ShepardNYG,5.1,51.6,0.2,0.1,1.0,0.0,0.1,6.4
Emmanuel SandersBUF,3.9,47.4,0.2,0.1,0.7,0.0,0.0,6.2
K.J. OsbornMIN,3.9,47.5,0.2,0.1,0.2,0.0,0.0,6.2
Tre'Quan SmithNO,3.2,44.5,0.3,0.0,0.1,0.0,0.0,6.1
Christian KirkARI,3.7,46.0,0.2,0.1,0.6,0.0,0.0,6.0
Josh ReynoldsDET,3.9,50.2,0.2,0.0,0.1,0.0,0.0,6.0
Allen Robinson IICHI,3.8,47.1,0.2,0.0,0.0,0.0,0.0,5.9
Tyler BoydCIN,4.2,44.9,0.2,0.1,0.7,0.0,0.1,5.8
Tim PatrickDEN,3.1,42.9,0.3,0.0,0.0,0.0,0.0,5.8
Laviska Shenault Jr.JAC,4.2,42.5,0.2,1.1,4.8,0.0,0.1,5.7
Donovan Peoples-JonesCLE,2.7,43.2,0.2,0.0,0.0,0.0,0.0,5.7
Jalen GuytonLAC,3.1,43.4,0.2,0.3,1.3,0.0,0.0,5.7
Robby AndersonCAR,3.8,42.7,0.2,0.1,0.4,0.0,0.0,5.6
Bryan EdwardsLV,2.9,43.3,0.2,0.0,0.1,0.0,0.0,5.3
Marquez CallawayNO,2.7,39.1,0.2,0.0,0.0,0.0,0.0,5.2
Allen LazardGB,2.8,35.5,0.3,0.1,0.2,0.0,0.0,5.1
A.J. GreenARI,2.8,39.5,0.2,0.0,0.0,0.0,0.0,5.1
Nick Westbrook-IkhineTEN,3.0,36.2,0.2,0.0,0.1,0.0,0.0,5.0
Kalif RaymondDET,3.0,39.0,0.1,0.1,0.2,0.0,0.0,4.8
Laquon TreadwellJAC,3.1,37.9,0.1,0.0,0.1,0.0,0.0,4.4
DeSean JacksonLV,2.0,35.8,0.1,0.1,0.6,0.0,0.0,4.4
Olamide ZaccheausATL,2.5,31.9,0.2,0.1,0.1,0.0,0.0,4.3
Darius SlaytonNYG,2.7,33.9,0.2,0.1,0.1,0.0,0.0,4.3
DeAndre CarterWAS,2.6,33.2,0.1,0.3,2.0,0.0,0.0,4.3
Joshua PalmerLAC,2.8,32.5,0.2,0.0,0.4,0.0,0.0,4.2
Rondale MooreARI,2.7,27.7,0.1,0.9,4.9,0.0,0.0,4.2
