Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Davante AdamsGB,7.6,100.4,0.8,0.0,0.0,0.0,0.1,14.9
Tyreek HillKC,6.4,90.4,0.7,0.9,6.2,0.0,0.1,14.3
Stefon DiggsBUF,6.9,92.2,0.8,0.1,0.5,0.0,0.1,14.0
Julio JonesTEN,6.0,86.0,0.8,0.0,0.0,0.0,0.0,13.4
Cooper KuppLAR,6.7,82.9,0.8,0.3,1.4,0.0,0.1,13.2
D.K. MetcalfSEA,5.7,87.5,0.7,0.0,0.2,0.0,0.1,12.9
Deebo SamuelSF,6.0,82.4,0.6,1.2,8.2,0.1,0.1,12.7
Justin JeffersonMIN,5.9,87.4,0.7,0.0,0.2,0.0,0.1,12.6
Keenan AllenLAC,7.4,84.8,0.6,0.1,0.5,0.0,0.1,12.2
Tyler LockettSEA,6.0,80.1,0.7,0.1,0.3,0.0,0.1,12.2
CeeDee LambDAL,6.3,80.4,0.6,0.7,4.2,0.0,0.1,12.1
Ja'Marr ChaseCIN,5.4,76.2,0.7,0.3,1.1,0.0,0.1,11.9
DJ MooreCAR,6.1,86.6,0.5,0.3,1.8,0.0,0.1,11.9
Amari CooperDAL,5.9,77.2,0.7,0.1,0.9,0.0,0.1,11.7
Terry McLaurinWAS,5.9,80.1,0.6,0.1,0.5,0.0,0.1,11.5
Adam ThielenMIN,5.5,72.0,0.7,0.1,0.6,0.0,0.0,11.5
Chris GodwinTB,5.7,74.9,0.6,0.2,1.0,0.0,0.1,11.2
Mike WilliamsLAC,5.1,73.0,0.6,0.0,0.1,0.0,0.0,11.0
DeAndre HopkinsARI,6.5,74.9,0.6,0.0,0.1,0.0,0.1,11.0
Mike EvansTB,4.9,70.1,0.6,0.0,0.0,0.0,0.0,10.4
Brandin CooksHOU,6.0,79.4,0.4,0.2,1.1,0.0,0.1,10.4
Diontae JohnsonPIT,6.4,69.1,0.5,0.3,1.4,0.0,0.1,10.1
Marvin Jones Jr.JAC,5.2,68.5,0.5,0.0,0.0,0.0,0.0,10.0
Odell Beckham Jr.LAR,4.6,69.1,0.5,0.3,2.2,0.0,0.0,9.9
Courtland SuttonDEN,5.2,73.2,0.4,0.0,0.2,0.0,0.1,9.8
Marquise BrownBAL,4.6,61.7,0.6,0.2,1.2,0.0,0.0,9.6
Tyler BoydCIN,5.7,66.6,0.5,0.2,1.5,0.0,0.1,9.5
Kenny GolladayNYG,4.6,67.1,0.5,0.0,0.0,0.0,0.0,9.5
Corey DavisNYJ,4.7,62.1,0.5,0.0,0.2,0.0,0.0,9.4
Allen Robinson IICHI,5.1,68.8,0.4,0.0,0.0,0.0,0.1,9.4
Jakobi MeyersNE,6.0,69.9,0.4,0.1,0.2,0.0,0.1,9.2
Michael Pittman Jr.IND,4.9,65.6,0.4,0.3,1.8,0.0,0.0,9.2
Cole BeasleyBUF,5.2,59.3,0.5,0.0,0.0,0.0,0.0,9.1
Cordarrelle PattersonATL,3.6,40.6,0.1,6.8,27.5,0.3,0.1,9.0
Chase ClaypoolPIT,4.6,63.5,0.4,0.3,1.0,0.0,0.0,8.9
DeVonta SmithPHI,4.4,59.8,0.5,0.1,0.5,0.0,0.0,8.8
Robert WoodsLAR,5.1,57.6,0.3,1.3,7.5,0.1,0.1,8.7
Darius SlaytonNYG,3.0,50.0,0.5,0.0,0.0,0.0,0.0,8.0
Brandon AiyukSF,4.0,48.9,0.4,0.6,4.2,0.0,0.0,7.9
Robby AndersonCAR,4.4,57.9,0.3,0.1,0.8,0.0,0.0,7.8
Tim PatrickDEN,4.4,58.2,0.3,0.1,0.7,0.0,0.0,7.8
D.J. Chark Jr.JAC,4.1,56.0,0.3,0.0,0.3,0.0,0.0,7.7
Emmanuel SandersBUF,4.2,54.8,0.4,0.0,0.2,0.0,0.0,7.6
Jaylen WaddleMIA,4.7,56.1,0.3,0.1,1.1,0.0,0.1,7.3
DeVante ParkerMIA,4.1,55.6,0.3,0.0,0.0,0.0,0.0,7.1
Mecole HardmanKC,3.4,46.6,0.3,0.5,3.0,0.0,0.0,6.8
William Fuller VMIA,3.7,50.9,0.3,0.0,0.1,0.0,0.0,6.7
A.J. GreenARI,3.4,43.7,0.4,0.0,0.0,0.0,0.0,6.6
Darnell MooneyCHI,3.9,48.6,0.3,0.3,1.4,0.0,0.0,6.5
Hunter RenfrowLV,4.4,51.8,0.2,0.0,0.0,0.0,0.0,6.5
Nelson AgholorNE,3.8,49.3,0.3,0.0,0.2,0.0,0.0,6.5
Marquez CallawayNO,3.8,47.3,0.3,0.1,0.6,0.0,0.0,6.5
Laviska Shenault Jr.JAC,4.3,44.2,0.2,1.1,5.5,0.0,0.1,6.3
Zach PascalIND,3.2,44.4,0.3,0.0,0.1,0.0,0.0,6.2
Christian KirkARI,3.8,44.9,0.3,0.2,1.1,0.0,0.0,6.1
Jalen ReagorPHI,3.5,43.8,0.3,0.1,0.8,0.0,0.0,5.9
Chester RogersTEN,3.4,41.5,0.3,0.0,0.4,0.0,0.1,5.8
Allen LazardGB,3.1,42.0,0.3,0.1,0.7,0.0,0.0,5.8
Sammy WatkinsBAL,3.5,45.5,0.2,0.1,0.2,0.0,0.0,5.7
Olamide ZaccheausATL,3.0,39.3,0.2,0.0,0.1,0.0,0.0,5.4
Quintez CephusDET,2.8,39.4,0.2,0.0,0.0,0.0,0.0,5.3
Rondale MooreARI,3.1,38.0,0.2,0.6,3.2,0.0,0.0,5.2
Terrace Marshall Jr.CAR,3.2,40.9,0.2,0.0,0.2,0.0,0.0,5.2
Braxton BerriosNYJ,3.4,39.1,0.2,0.0,0.6,0.0,0.0,5.1
Van JeffersonLAR,2.9,36.8,0.2,0.0,0.2,0.0,0.0,5.0
K.J. OsbornMIN,2.8,37.5,0.2,0.0,0.1,0.0,0.0,5.0
Bryan EdwardsLV,2.6,39.6,0.2,0.0,0.0,0.0,0.0,5.0
Nick Westbrook-IkhineTEN,2.9,36.9,0.2,0.0,0.1,0.0,0.1,4.8
Kalif RaymondDET,2.7,39.3,0.1,0.1,0.7,0.0,0.0,4.8
Jamison CrowderNYJ,2.8,32.6,0.2,0.0,0.3,0.0,0.0,4.7
Deonte HartyNO,2.8,34.7,0.2,0.5,2.3,0.0,0.0,4.7
Kendrick BourneNE,2.8,33.9,0.2,0.0,0.4,0.0,0.0,4.5
Curtis SamuelWAS,2.4,28.2,0.2,0.6,3.9,0.0,0.0,4.4
Anthony MillerPIT,3.2,35.9,0.1,0.0,0.2,0.0,0.0,4.4
Randall CobbGB,2.6,31.1,0.2,0.2,0.7,0.0,0.0,4.3
DeSean JacksonLV,1.9,31.2,0.2,0.2,0.8,0.0,0.0,4.2
Auden TateCIN,2.1,27.7,0.2,0.0,0.0,0.0,0.0,4.2
Dyami BrownWAS,2.4,31.2,0.2,0.2,0.8,0.0,0.0,4.1
Rashard HigginsCLE,2.0,31.1,0.2,0.0,0.0,0.0,0.0,4.1
Elijah MooreNYJ,2.0,28.0,0.2,0.0,0.0,0.0,0.0,4.0
Freddie SwainSEA,2.2,28.2,0.2,0.3,1.8,0.0,0.0,4.0
Kadarius ToneyNYG,2.8,33.1,0.1,0.4,2.0,0.0,0.0,4.0
Collin JohnsonNYG,2.6,32.4,0.1,0.0,0.0,0.0,0.0,4.0
James WashingtonPIT,2.4,31.6,0.1,0.0,0.0,0.0,0.0,4.0
Parris CampbellIND,2.4,30.3,0.1,0.2,1.5,0.0,0.0,4.0
Quez WatkinsPHI,2.1,30.6,0.1,0.0,0.1,0.0,0.0,3.8
Chris ConleyHOU,2.5,30.8,0.1,0.0,0.2,0.0,0.0,3.8
Cedrick Wilson Jr.DAL,2.2,27.7,0.1,0.1,0.5,0.0,0.0,3.6
Kenny StillsNO,1.9,25.9,0.2,0.1,0.8,0.0,0.0,3.6
Juwan JohnsonNO,1.7,17.1,0.3,0.0,0.0,0.0,0.0,3.5
Amon-Ra St. BrownDET,2.3,27.9,0.1,0.0,0.1,0.0,0.0,3.5
Gabriel DavisBUF,1.5,23.8,0.2,0.0,0.0,0.0,0.0,3.5
Keelan Cole Sr.NYJ,1.9,25.8,0.1,0.0,0.1,0.0,0.0,3.4
Demarcus RobinsonKC,1.9,23.6,0.2,0.0,0.0,0.0,0.0,3.3
Donovan Peoples-JonesCLE,1.8,26.7,0.1,0.1,0.2,0.0,0.0,3.2
Josh ReynoldsDET,1.7,22.9,0.1,0.0,0.3,0.0,0.0,3.1
Albert WilsonMIA,1.8,20.4,0.1,0.0,1.5,0.0,0.0,3.0
Adam HumphriesWAS,2.4,24.2,0.1,0.0,0.1,0.0,0.0,3.0
Marcus JohnsonTEN,1.6,22.2,0.1,0.0,0.0,0.0,0.0,2.9
Jalen GuytonLAC,1.5,21.3,0.1,0.4,2.1,0.0,0.0,2.9
Cameron BatsonTEN,1.6,20.2,0.1,0.1,0.5,0.0,0.0,2.8
Marquise GoodwinCHI,1.4,21.9,0.1,0.2,1.0,0.0,0.0,2.8
Mohamed Sanu Sr.SF,2.0,22.6,0.1,0.0,0.1,0.0,0.0,2.8
Damiere ByrdCHI,1.6,21.4,0.1,0.1,0.2,0.0,0.0,2.7
Trinity BensonDET,1.5,18.2,0.1,0.0,0.0,0.0,0.0,2.4
Byron PringleKC,1.5,18.1,0.1,0.0,0.0,0.0,0.0,2.4
Ty MontgomeryNO,1.4,14.0,0.1,0.8,3.0,0.0,0.0,2.3
Diontae SpencerDEN,1.6,18.7,0.1,0.0,0.3,0.0,0.0,2.3
Mike ThomasCIN,1.3,16.1,0.1,0.0,0.0,0.0,0.0,2.2
Devin DuvernayBAL,1.3,15.7,0.1,0.1,0.6,0.0,0.0,2.0
Frank DarbyATL,1.3,14.9,0.1,0.0,0.5,0.0,0.0,2.0
Anthony SchwartzCLE,1.2,15.1,0.1,0.1,0.6,0.0,0.0,2.0
Denzel MimsNYJ,1.1,14.5,0.1,0.0,0.1,0.0,0.0,2.0
Tajae SharpeATL,1.1,14.3,0.1,0.0,0.0,0.0,0.0,1.9
C.J. BoardNYG,1.2,14.7,0.1,0.1,0.4,0.0,0.0,1.8
Trenton IrwinCIN,1.1,13.2,0.1,0.0,0.1,0.0,0.0,1.8
N'Keal HarryNE,1.3,12.7,0.1,0.1,0.7,0.0,0.1,1.8
Racey McMathTEN,1.0,12.8,0.1,0.0,0.1,0.0,0.0,1.8
Tavon AustinJAC,0.9,7.6,0.0,0.8,5.9,0.0,0.0,1.7
Trent SherfieldSF,0.9,11.3,0.1,0.0,0.1,0.0,0.0,1.6
KhaDarel HodgeDET,1.0,12.9,0.1,0.0,0.0,0.0,0.0,1.6
Ray-Ray McCloudPIT,1.1,12.3,0.1,0.1,0.5,0.0,0.0,1.6
Amari RodgersGB,0.8,10.3,0.1,0.0,0.1,0.0,0.0,1.6
Tyler JohnsonTB,1.0,12.3,0.0,0.0,0.1,0.0,0.0,1.5
Greg WardPHI,0.9,9.7,0.1,0.0,0.0,0.0,0.0,1.4
Andre RobertsLAC,1.0,11.5,0.0,0.0,0.1,0.0,0.0,1.4
John RossNYG,0.8,10.6,0.1,0.0,0.2,0.0,0.0,1.4
Isaiah McKenzieBUF,0.6,6.1,0.1,0.5,3.0,0.0,0.0,1.4
Brandon ZylstraCAR,0.8,10.9,0.0,0.0,0.1,0.0,0.0,1.3
Noah BrownDAL,0.8,9.6,0.1,0.0,0.1,0.0,0.0,1.3
Tyron JohnsonLV,0.6,8.8,0.0,0.0,0.3,0.0,0.0,1.1
Cam SimsWAS,0.6,7.9,0.0,0.0,0.2,0.0,0.0,1.0
Ashton DulinIND,0.5,6.2,0.0,0.3,1.4,0.0,0.0,0.9
Alex EricksonCAR,0.6,6.6,0.0,0.0,0.7,0.0,0.0,0.9
Malik TurnerDAL,0.4,6.5,0.0,0.0,0.1,0.0,0.0,0.9
James Proche IIBAL,0.5,6.8,0.0,0.0,0.0,0.0,0.0,0.8
Jake KumerowBUF,0.4,6.0,0.0,0.0,0.1,0.0,0.0,0.8
Mike StrachanIND,0.5,5.6,0.0,0.0,0.1,0.0,0.0,0.8
Penny HartSEA,0.4,5.0,0.0,0.0,0.1,0.0,0.0,0.7
Equanimeous St. BrownGB,0.4,5.1,0.0,0.0,0.2,0.0,0.0,0.7
DeAndre CarterWAS,0.3,4.7,0.0,0.0,0.9,0.0,0.0,0.7
Joshua PalmerLAC,0.5,5.1,0.0,0.1,0.3,0.0,0.0,0.7
Mack HollinsMIA,0.3,5.5,0.0,0.0,0.0,0.0,0.0,0.6
Zay JonesLV,0.4,4.6,0.0,0.0,0.0,0.0,0.0,0.6
Malik TaylorGB,0.4,4.5,0.0,0.0,0.1,0.0,0.0,0.6
Jody FortsonKC,0.5,3.9,0.0,0.0,0.1,0.0,0.0,0.6
Cody ThompsonSEA,0.4,4.3,0.0,0.0,0.2,0.0,0.0,0.6
Tylan WallaceBAL,0.3,4.5,0.0,0.0,0.1,0.0,0.0,0.5
Stanley Morgan Jr.CIN,0.4,4.8,0.0,0.0,0.1,0.0,0.0,0.5
Kendall HintonDEN,0.4,4.3,0.0,0.0,0.4,0.0,0.0,0.5
Dede WestbrookMIN,0.4,4.4,0.0,0.0,0.1,0.0,0.0,0.5
Jaydon MickensJAC,0.3,3.5,0.0,0.0,0.4,0.0,0.0,0.5
Jauan JenningsSF,0.3,4.1,0.0,0.0,0.1,0.0,0.0,0.5
Jamal AgnewJAC,0.2,3.0,0.0,0.0,1.1,0.0,0.0,0.5
J.J. Arcega-WhitesidePHI,0.2,3.4,0.0,0.0,0.0,0.0,0.0,0.4
Nsimba WebsterCHI,0.2,3.4,0.0,0.0,0.1,0.0,0.0,0.4
Matthew SlaterNE,0.1,3.0,0.0,0.0,0.2,0.0,0.0,0.4
Phillip Dorsett IIHOU,0.3,3.5,0.0,0.0,0.0,0.0,0.0,0.4
Tutu AtwellLAR,0.2,2.4,0.0,0.0,0.2,0.0,0.0,0.3
Gunner OlszewskiNE,0.1,2.3,0.0,0.1,0.5,0.0,0.0,0.3
Sterling ShepardNYG,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.3
Christian BlakeATL,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.2
Marcus KempKC,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Chris MooreHOU,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Antoine WesleyARI,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
A.J. BrownTEN,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.2
Ben SkowronekLAR,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Jaelon DardenTB,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Simi FehokoDAL,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Dax MilneWAS,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
DeMichael HarrisIND,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.2
Scotty MillerTB,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.1
Ihmir Smith-MarsetteMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Y. HiltonIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles BoykinBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashod BatemanBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell GageATL,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Danny AmendolaHOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael GallupDAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tee HigginsCIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico CollinsHOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy IsabellaARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad PerrimanTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarvis LandryCLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael ThomasNO,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Marquez Valdes-ScantlingGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Wayne EskridgeSEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preston WilliamsMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerry JeudyDEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shi SmithCAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
