player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,opponent,home
Danny Amendola,WR,DET,1.0,44.0,56.0,0.0,16.0,11.0,16.0,8.1,18.4,1,2020,,,,,,,,,,,,CHI,True
Marvin Jones Jr.,WR,DET,1.0,71.0,91.0,0.0,11.0,6.0,11.0,5.5,7.7,1,2020,,,,,,,,,,,,CHI,True
Marvin Hall,WR,DET,1.0,16.0,21.0,0.0,13.0,6.0,13.0,2.6,16.3,1,2020,,,,,,,,,,,,CHI,True
Jamal Agnew,WR,DET,1.0,15.0,19.0,0.0,7.0,0.0,7.0,0.0,0.0,1,2020,,,,,,,,,,,,CHI,True
Quintez Cephus,WR,DET,1.0,62.0,79.0,0.0,16.0,5.0,16.0,4.3,6.9,1,2020,3.0,10.0,43.0,14.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Josh Reynolds,WR,DET,1.0,,,,,,,1.7,,1,2020,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
KhaDarel Hodge,WR,DET,1.0,,,,,,,1.2,,1,2020,1.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Kalif Raymond,WR,DET,1.0,,,,,,,0.0,,1,2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
DeSean Jackson,WR,PHI,1.0,38.0,56.0,0.0,18.0,5.0,18.0,4.6,12.1,1,2020,,,,,,,,,,,,WAS,False
Greg Ward,WR,PHI,1.0,30.0,44.0,0.0,23.0,17.0,23.0,3.1,10.3,1,2020,5.0,7.0,31.0,6.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
J.J. Arcega-Whiteside,WR,PHI,1.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Jalen Reagor,WR,PHI,1.0,40.0,59.0,0.0,10.0,3.0,10.0,5.5,13.8,1,2020,1.0,4.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
John Hightower,WR,PHI,1.0,28.0,41.0,0.0,14.0,4.0,14.0,-0.2,-0.7,1,2020,1.0,4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Julian Edelman,WR,NE,1.0,38.0,58.0,3.0,18.0,16.0,21.0,8.0,21.1,1,2020,,,,,,,,,,,,MIA,True
Matthew Slater,WR,NE,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
Damiere Byrd,WR,NE,1.0,56.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,MIA,True
N'Keal Harry,WR,NE,1.0,51.0,78.0,0.0,12.0,10.0,12.0,1.9,3.7,1,2020,5.0,6.0,39.0,7.8,13.0,0.0,0.0,0.0,0.0,0.0,1.0,MIA,True
Jakobi Meyers,WR,NE,1.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
Nelson Agholor,WR,NE,1.0,,,,,,,8.3,,1,2020,1.0,1.0,23.0,23.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,MIA,True
Kendrick Bourne,WR,NE,1.0,,,,,,,3.4,,1,2020,2.0,5.0,34.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
Larry Fitzgerald,WR,ARI,1.0,65.0,79.0,0.0,8.0,6.0,8.0,3.4,5.2,1,2020,,,,,,,,,,,,SF,False
DeAndre Hopkins,WR,ARI,1.0,77.0,94.0,0.0,21.0,18.0,21.0,15.1,19.6,1,2020,14.0,16.0,151.0,10.8,33.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,False
Christian Kirk,WR,ARI,1.0,63.0,77.0,0.0,8.0,2.0,8.0,0.0,0.0,1,2020,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,False
Trent Sherfield,WR,ARI,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,SF,False
Andy Isabella,WR,ARI,1.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,False
A.J. Green,WR,ARI,1.0,,,,,,,5.1,,1,2020,5.0,9.0,51.0,10.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,False
Ted Ginn Jr.,WR,CHI,1.0,28.0,43.0,0.0,4.0,0.0,4.0,0.0,0.0,1,2020,,,,,,,,,,,,DET,False
Allen Robinson II,WR,CHI,1.0,53.0,82.0,2.0,17.0,11.0,19.0,7.3,13.8,1,2020,5.0,9.0,74.0,14.8,22.0,0.0,0.0,1.0,-1.0,0.0,0.0,DET,False
Anthony Miller,WR,CHI,1.0,27.0,42.0,0.0,22.0,15.0,22.0,13.6,50.4,1,2020,,,,,,,,,,,,DET,False
Javon Wims,WR,CHI,1.0,23.0,35.0,0.0,9.0,4.0,9.0,6.1,26.5,1,2020,,,,,,,,,,,,DET,False
Darnell Mooney,WR,CHI,1.0,22.0,34.0,0.0,14.0,14.0,14.0,3.8,17.3,1,2020,3.0,3.0,38.0,12.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
Nsimba Webster,WR,CHI,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
Damiere Byrd,WR,CHI,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
Andre Roberts,WR,BUF,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,NYJ,True
Cole Beasley,WR,BUF,1.0,56.0,64.0,0.0,13.0,7.0,13.0,5.8,10.4,1,2020,4.0,7.0,58.0,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,True
John Brown,WR,BUF,1.0,81.0,93.0,0.0,12.0,7.0,12.0,13.0,16.0,1,2020,,,,,,,,,,,,NYJ,True
Stefon Diggs,WR,BUF,1.0,82.0,94.0,0.0,11.0,10.0,11.0,8.6,10.5,1,2020,8.0,9.0,86.0,10.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,True
Isaiah McKenzie,WR,BUF,1.0,16.0,18.0,0.0,19.0,19.0,19.0,1.7,10.6,1,2020,3.0,3.0,17.0,5.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,True
Gabriel Davis,WR,BUF,1.0,43.0,49.0,0.0,5.0,5.0,5.0,1.6,3.7,1,2020,2.0,2.0,16.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,True
Emmanuel Sanders,WR,BUF,1.0,,,,,,,7.5,,1,2020,3.0,5.0,15.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,NYJ,True
Emmanuel Sanders,WR,NO,1.0,33.0,48.0,0.0,15.0,9.0,15.0,7.5,22.7,1,2020,,,,,,,,,,,,TB,True
Bennie Fowler III,WR,NO,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,TB,True
Michael Thomas,WR,NO,1.0,55.0,80.0,0.0,9.0,5.0,9.0,1.7,3.1,1,2020,3.0,5.0,17.0,5.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,True
Tre'Quan Smith,WR,NO,1.0,44.0,64.0,0.0,2.0,2.0,2.0,0.4,0.9,1,2020,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,True
Deonte Harty,WR,NO,1.0,7.0,10.0,14.0,14.0,29.0,29.0,2.6,37.1,1,2020,1.0,1.0,17.0,17.0,17.0,0.0,0.0,1.0,9.0,0.0,0.0,TB,True
Kenny Stills,WR,NO,1.0,,,,,,,0.0,,1,2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,True
Ty Montgomery,WR,NO,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,TB,True
A.J. Green,WR,CIN,1.0,45.0,66.0,0.0,20.0,11.0,20.0,5.1,11.3,1,2020,,,,,,,,,,,,LAC,True
Tyler Boyd,WR,CIN,1.0,55.0,81.0,0.0,9.0,7.0,9.0,3.3,6.0,1,2020,4.0,5.0,33.0,8.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,True
Alex Erickson,WR,CIN,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,LAC,True
Mike Thomas,WR,CIN,1.0,16.0,24.0,0.0,19.0,13.0,19.0,1.7,10.6,1,2020,2.0,3.0,17.0,8.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,True
John Ross,WR,CIN,1.0,58.0,85.0,0.0,9.0,3.0,9.0,1.7,2.9,1,2020,,,,,,,,,,,,LAC,True
Auden Tate,WR,CIN,1.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,True
Tee Higgins,WR,CIN,1.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,True
Trent Taylor,WR,CIN,1.0,,,,,,,0.7,,1,2020,2.0,5.0,7.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,True
Julio Jones,WR,ATL,1.0,65.0,81.0,0.0,18.0,14.0,18.0,15.7,24.2,1,2020,,,,,,,,,,,,SEA,True
Calvin Ridley,WR,ATL,1.0,69.0,86.0,1.0,17.0,14.0,19.0,24.9,36.1,1,2020,9.0,12.0,130.0,14.4,22.0,0.0,2.0,1.0,-1.0,0.0,0.0,SEA,True
Russell Gage,WR,ATL,1.0,55.0,69.0,0.0,22.0,16.0,22.0,11.4,20.7,1,2020,9.0,12.0,114.0,12.7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,True
Brandon Powell,WR,ATL,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,SEA,True
Christian Blake,WR,ATL,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,True
Olamide Zaccheaus,WR,ATL,1.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,True
Cordarrelle Patterson,WR,ATL,1.0,,,,,,,3.1,,1,2020,1.0,1.0,12.0,12.0,12.0,0.0,0.0,4.0,19.0,0.0,0.0,SEA,True
Quinton Bell,WR,ATL,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,True
Tajae Sharpe,WR,ATL,1.0,,,,,,,0.0,,1,2020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,True
Randall Cobb,WR,HOU,1.0,46.0,78.0,0.0,7.0,4.0,7.0,2.3,5.0,1,2020,,,,,,,,,,,,KC,False
Kenny Stills,WR,HOU,1.0,22.0,37.0,0.0,9.0,0.0,9.0,0.0,0.0,1,2020,,,,,,,,,,,,KC,False
Brandin Cooks,WR,HOU,1.0,31.0,53.0,0.0,16.0,6.0,16.0,2.0,6.5,1,2020,2.0,5.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,False
DeAndre Carter,WR,HOU,1.0,13.0,22.0,0.0,15.0,8.0,15.0,0.8,6.2,1,2020,,,,,,,,,,,,KC,False
William Fuller V,WR,HOU,1.0,47.0,80.0,0.0,21.0,17.0,21.0,11.2,23.8,1,2020,,,,,,,,,,,,KC,False
Danny Amendola,WR,HOU,1.0,,,,,,,8.1,,1,2020,5.0,7.0,81.0,16.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,False
Chris Conley,WR,HOU,1.0,,,,,,,0.6,,1,2020,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,False
T.Y. Hilton,WR,IND,1.0,59.0,80.0,0.0,15.0,7.0,15.0,5.3,9.0,1,2020,4.0,9.0,53.0,13.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,False
Zach Pascal,WR,IND,1.0,46.0,62.0,0.0,7.0,4.0,7.0,1.8,3.9,1,2020,2.0,3.0,18.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,False
Parris Campbell,WR,IND,1.0,61.0,82.0,2.0,15.0,11.0,16.0,8.0,13.1,1,2020,6.0,9.0,71.0,11.8,21.0,0.0,0.0,1.0,9.0,0.0,0.0,JAC,False
Michael Pittman Jr.,WR,IND,1.0,42.0,57.0,0.0,5.0,5.0,5.0,1.0,2.4,1,2020,2.0,2.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,False
Ashton Dulin,WR,IND,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,False
Chris Hogan,WR,NYJ,1.0,51.0,91.0,0.0,8.0,2.0,8.0,0.0,0.0,1,2020,,,,,,,,,,,,BUF,False
Breshad Perriman,WR,NYJ,1.0,56.0,100.0,0.0,9.0,5.0,9.0,1.7,3.0,1,2020,,,,,,,,,,,,BUF,False
Jamison Crowder,WR,NYJ,1.0,48.0,86.0,0.0,27.0,15.0,27.0,17.5,36.5,1,2020,7.0,13.0,115.0,16.4,69.0,0.0,1.0,0.0,0.0,0.0,0.0,BUF,False
Keelan Cole Sr.,WR,NYJ,1.0,,,,,,,10.7,,1,2020,5.0,5.0,47.0,9.4,22.0,0.0,1.0,0.0,0.0,0.0,0.0,BUF,False
Corey Davis,WR,NYJ,1.0,,,,,,,10.1,,1,2020,7.0,8.0,101.0,14.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,False
Braxton Berrios,WR,NYJ,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,False
Justin Hardee,WR,NYJ,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,False
Robert Woods,WR,LAR,1.0,61.0,84.0,2.0,13.0,11.0,15.0,11.9,19.5,1,2020,6.0,8.0,105.0,17.5,31.0,0.0,0.0,1.0,14.0,0.0,0.0,DAL,True
Cooper Kupp,WR,LAR,1.0,62.0,85.0,0.0,8.0,6.0,8.0,4.0,6.5,1,2020,4.0,5.0,40.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,True
Josh Reynolds,WR,LAR,1.0,37.0,51.0,0.0,3.0,3.0,3.0,1.7,4.6,1,2020,,,,,,,,,,,,DAL,True
Van Jefferson,WR,LAR,1.0,33.0,45.0,0.0,9.0,3.0,9.0,3.1,9.4,1,2020,1.0,3.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,True
Odell Beckham Jr.,WR,LAR,1.0,,,,,,,2.2,,1,2020,3.0,10.0,22.0,7.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,True
Brandon Powell,WR,LAR,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,True
Keenan Allen,WR,LAC,1.0,70.0,95.0,0.0,11.0,6.0,11.0,3.7,5.3,1,2020,4.0,8.0,37.0,9.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
Mike Williams,WR,LAC,1.0,58.0,78.0,0.0,16.0,7.0,16.0,6.9,11.9,1,2020,4.0,9.0,69.0,17.3,37.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
Jalen Guyton,WR,LAC,1.0,47.0,64.0,0.0,2.0,2.0,2.0,1.6,3.4,1,2020,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
KJ Hill Jr.,WR,LAC,1.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,CIN,False
Joe Reed,WR,LAC,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
Andre Roberts,WR,LAC,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
Sammy Watkins,WR,KC,1.0,55.0,79.0,2.0,16.0,15.0,18.0,14.5,26.4,1,2020,,,,,,,,,,,,HOU,True
Demarcus Robinson,WR,KC,1.0,33.0,47.0,0.0,18.0,9.0,18.0,2.0,6.1,1,2020,3.0,6.0,20.0,6.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Tyreek Hill,WR,KC,1.0,59.0,84.0,0.0,10.0,8.0,10.0,10.6,18.0,1,2020,5.0,6.0,46.0,9.2,15.0,0.0,1.0,0.0,0.0,0.0,0.0,HOU,True
Byron Pringle,WR,KC,1.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Mecole Hardman,WR,KC,1.0,20.0,29.0,0.0,5.0,5.0,5.0,0.6,3.0,1,2020,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Justin Watson,WR,KC,1.0,,,,,,,0.6,,1,2020,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Marcus Kemp,WR,KC,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Mike Evans,WR,TB,1.0,65.0,93.0,0.0,6.0,2.0,6.0,6.2,9.5,1,2020,1.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,NO,False
Chris Godwin,WR,TB,1.0,66.0,94.0,0.0,11.0,9.0,11.0,7.9,12.0,1,2020,6.0,7.0,79.0,13.2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,False
Justin Watson,WR,TB,1.0,11.0,16.0,0.0,18.0,9.0,18.0,0.6,5.5,1,2020,,,,,,,,,,,,NO,False
Scotty Miller,WR,TB,1.0,43.0,61.0,2.0,14.0,14.0,16.0,7.9,18.4,1,2020,5.0,6.0,73.0,14.6,37.0,0.0,0.0,1.0,6.0,0.0,0.0,NO,False
Breshad Perriman,WR,TB,1.0,,,,,,,1.7,,1,2020,3.0,5.0,17.0,5.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,False
Davante Adams,WR,GB,1.0,69.0,86.0,0.0,25.0,20.0,25.0,27.6,40.0,1,2020,14.0,17.0,156.0,11.1,40.0,0.0,2.0,0.0,0.0,0.0,0.0,MIN,False
Allen Lazard,WR,GB,1.0,67.0,84.0,1.0,6.0,7.0,7.0,14.2,21.2,1,2020,4.0,4.0,63.0,15.8,38.0,0.0,1.0,1.0,19.0,0.0,0.0,MIN,False
Marquez Valdes-Scantling,WR,GB,1.0,41.0,51.0,0.0,15.0,10.0,15.0,15.6,38.0,1,2020,4.0,6.0,96.0,24.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,MIN,False
Malik Taylor,WR,GB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,False
Randall Cobb,WR,GB,1.0,,,,,,,2.3,,1,2020,2.0,3.0,23.0,11.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,False
Odell Beckham Jr.,WR,CLE,1.0,56.0,77.0,0.0,18.0,5.0,18.0,2.2,3.9,1,2020,,,,,,,,,,,,BAL,False
Jarvis Landry,WR,CLE,1.0,52.0,71.0,0.0,12.0,10.0,12.0,6.1,11.7,1,2020,5.0,6.0,61.0,12.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,False
Rashard Higgins,WR,CLE,1.0,16.0,22.0,0.0,6.0,6.0,6.0,0.9,5.6,1,2020,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,False
JoJo Natson,WR,CLE,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,BAL,False
KhaDarel Hodge,WR,CLE,1.0,40.0,55.0,0.0,8.0,3.0,8.0,1.2,3.0,1,2020,,,,,,,,,,,,BAL,False
Willie Snead IV,WR,BAL,1.0,39.0,66.0,0.0,10.0,10.0,10.0,12.4,31.8,1,2020,,,,,,,,,,,,CLE,True
Marquise Brown,WR,BAL,1.0,37.0,63.0,0.0,16.0,14.0,16.0,10.1,27.3,1,2020,5.0,6.0,101.0,20.2,47.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
Miles Boykin,WR,BAL,1.0,40.0,68.0,0.0,10.0,8.0,10.0,3.7,9.3,1,2020,3.0,4.0,37.0,12.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
Devin Duvernay,WR,BAL,1.0,11.0,19.0,0.0,9.0,9.0,9.0,1.2,10.9,1,2020,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
James Proche II,WR,BAL,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
Sammy Watkins,WR,BAL,1.0,,,,,,,14.5,,1,2020,7.0,9.0,82.0,11.7,19.0,0.0,1.0,1.0,3.0,0.0,0.0,CLE,True
Dontrelle Inman,WR,WAS,1.0,37.0,53.0,0.0,14.0,5.0,14.0,2.1,5.7,1,2020,,,,,,,,,,,,PHI,True
Terry McLaurin,WR,WAS,1.0,65.0,93.0,0.0,11.0,8.0,11.0,6.1,9.4,1,2020,5.0,7.0,61.0,12.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,True
Steven Sims Jr.,WR,WAS,1.0,58.0,83.0,0.0,5.0,5.0,5.0,5.0,8.6,1,2020,,,,,,,,,,,,PHI,True
Adam Humphries,WR,WAS,1.0,,,,,,,4.7,,1,2020,6.0,7.0,47.0,7.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,True
Curtis Samuel,WR,WAS,1.0,,,,,,,4.3,,1,2020,5.0,8.0,38.0,7.6,19.0,0.0,0.0,1.0,5.0,0.0,0.0,PHI,True
DeAndre Carter,WR,WAS,1.0,,,,,,,0.8,,1,2020,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,True
Cam Sims,WR,WAS,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,True
Adam Thielen,WR,MIN,1.0,50.0,96.0,0.0,16.0,12.0,16.0,25.0,50.0,1,2020,6.0,8.0,110.0,18.3,37.0,0.0,2.0,0.0,0.0,0.0,0.0,GB,True
Tajae Sharpe,WR,MIN,1.0,7.0,13.0,0.0,14.0,0.0,14.0,0.0,0.0,1,2020,,,,,,,,,,,,GB,True
Bisi Johnson,WR,MIN,1.0,33.0,63.0,0.0,12.0,9.0,12.0,5.6,17.0,1,2020,3.0,4.0,56.0,18.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,True
Justin Jefferson,WR,MIN,1.0,36.0,69.0,0.0,8.0,6.0,8.0,2.6,7.2,1,2020,2.0,3.0,26.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,True
K.J. Osborn,WR,MIN,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,True
Dan Chisena,WR,MIN,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,True
Diontae Spencer,WR,DEN,1.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,True
Tim Patrick,WR,DEN,1.0,50.0,85.0,0.0,10.0,8.0,10.0,2.9,5.8,1,2020,4.0,5.0,29.0,7.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,True
DaeSean Hamilton,WR,DEN,1.0,47.0,80.0,0.0,6.0,2.0,6.0,1.8,3.8,1,2020,1.0,3.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,True
Jerry Jeudy,WR,DEN,1.0,44.0,75.0,0.0,18.0,9.0,18.0,5.6,12.7,1,2020,4.0,8.0,56.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,True
Tyrie Cleveland,WR,DEN,1.0,5.0,8.0,0.0,20.0,20.0,20.0,0.7,14.0,1,2020,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,True
Seth Roberts,WR,CAR,1.0,5.0,7.0,0.0,40.0,20.0,40.0,0.5,10.0,1,2020,,,,,,,,,,,,LV,True
Pharoh Cooper,WR,CAR,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,LV,True
Robby Anderson,WR,CAR,1.0,56.0,84.0,0.0,14.0,11.0,14.0,19.5,34.8,1,2020,6.0,8.0,114.0,19.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,LV,True
Curtis Samuel,WR,CAR,1.0,51.0,76.0,2.0,16.0,12.0,18.0,4.3,8.4,1,2020,,,,,,,,,,,,LV,True
Brandon Zylstra,WR,CAR,1.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,True
DJ Moore,WR,CAR,1.0,58.0,87.0,0.0,16.0,7.0,16.0,5.4,9.3,1,2020,4.0,9.0,54.0,13.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,True
Alex Erickson,WR,CAR,1.0,,,,,,,0.0,,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,True
Amari Cooper,WR,DAL,1.0,68.0,94.0,0.0,21.0,15.0,21.0,8.1,11.9,1,2020,10.0,14.0,81.0,8.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,False
