player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Josh Jacobs,25.0,93.0,3.7,14.0,0.0,3.0,4.0,6.0,46.0,11.5,0.0,0.0,1.0,31.9,RB,1,2020,LV,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Devontae Booker,4.0,29.0,7.3,15.0,0.0,0.0,3.0,3.0,23.0,7.7,0.0,0.0,1.0,5.2,RB,1,2020,LV,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Jalen Richard,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,15.0,0.0,0.0,1.0,1.5,RB,1,2020,LV,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Alec Ingold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,1,2020,LV,CAR,False,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Leonard Fournette,12.0,103.0,8.6,46.0,0.0,2.0,4.0,5.0,13.0,3.3,0.0,0.0,1.0,23.6,RB,2,2020,TB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ronald Jones II,7.0,23.0,3.3,7.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,8.7,RB,2,2020,TB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
LeSean McCoy,1.0,-5.0,-5.0,0.0,0.0,0.0,5.0,7.0,26.0,5.2,0.0,0.0,1.0,2.1,RB,2,2020,TB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Ke'Shawn Vaughn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,2,2020,TB,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Austin Ekeler,12.0,59.0,4.9,12.0,0.0,1.0,11.0,11.0,84.0,7.6,0.0,0.0,1.0,20.3,RB,3,2020,LAC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
Joshua Kelley,8.0,43.0,5.4,16.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,1.0,1.0,3.2,RB,3,2020,LAC,CAR,True,398.0,585.0,68.0,3825.0,6.9,239.1,50.0,28.0,7.0,29.0,199.0,98.4,408.0,1936.0,4.7,121.0,98.0,17.0,6.0,3.0,398.0,4024.0,10.1,251.5,50.0,28.0,3.0,3.0,360.0,114.0,211.0,35.0,98.0,199.0,49.3,6.0,10.0,60.0,85.0,713.0
