player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Jason Witten,2.0,2.0,21.0,10.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,TE,8,2020,LV,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Foster Moreau,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,8,2020,LV,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Pharaoh Brown,2.0,2.0,21.0,10.5,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.1,TE,10,2020,HOU,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Darren Fells,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,TE,10,2020,HOU,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Jordan Akins,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,TE,10,2020,HOU,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Dallas Goedert,5.0,6.0,77.0,15.4,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.7,TE,11,2020,PHI,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Richard Rodgers,2.0,2.0,48.0,24.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.8,TE,11,2020,PHI,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Caleb Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,11,2020,PHI,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Tyler Eifert,3.0,4.0,16.0,5.3,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.6,TE,12,2020,JAC,CLE,True,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
James O'Shaughnessy,2.0,4.0,17.0,8.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,TE,12,2020,JAC,CLE,True,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
