Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Seattle Seahawks,16,309,524,59.0,"2,752",5.8,172.0,73,16,28,44,298,63.4
New Orleans Saints,16,304,507,60.0,"3,105",6.8,194.1,60,20,12,49,336,83.6
Houston Texans,16,287,484,59.3,"3,123",6.8,195.2,64,29,7,32,187,93.9
Buffalo Bills,16,310,561,55.3,"3,271",6.5,204.4,74,28,23,57,395,74.9
Cincinnati Bengals,16,362,614,59.0,"3,344",5.9,209.0,74,22,20,43,279,74.2
Carolina Panthers,16,375,563,66.6,"3,429",6.8,214.3,73,17,20,60,424,81.4
San Francisco 49ers,16,345,585,59.0,"3,536",6.5,221.0,75,19,18,38,283,76.4
Cleveland Browns,16,363,605,60.0,"3,538",6.2,221.1,50,29,14,40,185,84.1
Pittsburgh Steelers,16,329,569,57.8,"3,553",6.6,222.1,81,21,10,34,198,82.7
New York Giants,16,361,601,60.1,"3,573",6.3,223.3,56,21,17,34,214,78.3
Tennessee Titans,16,344,545,63.1,"3,612",7.0,225.8,55,15,13,36,227,83.3
Baltimore Ravens,16,314,552,56.9,"3,681",7.1,230.1,79,25,16,40,257,82.2
Indianapolis Colts,16,324,536,60.4,"3,711",7.4,231.9,81,21,15,42,248,84.6
Arizona Cardinals,16,367,625,58.7,"3,728",6.5,233.0,72,29,20,47,337,80.3
Chicago Bears,16,315,507,62.1,"3,730",7.7,233.1,48,25,19,31,189,86.9
Miami Dolphins,16,344,580,59.3,"3,752",6.9,234.5,67,17,18,42,272,77.3
Tampa Bay Buccaneers,16,352,547,64.4,"3,806",7.4,237.9,80,30,21,35,255,88.9
New England Patriots,16,336,589,57.0,"3,824",7.0,239.0,80,25,17,48,313,81.0
St. Louis Rams,16,355,521,68.1,"3,874",8.1,242.1,81,21,14,53,326,94.7
Washington Redskins,16,337,514,65.6,"3,896",8.0,243.5,57,29,16,36,238,96.1
Atlanta Falcons,16,341,516,66.1,"3,897",8.0,243.6,67,31,10,32,231,102.4
New York Jets,16,345,586,58.9,"3,947",7.1,246.7,77,26,13,41,242,86.5
Detroit Lions,16,338,572,59.1,"3,950",7.3,246.9,85,24,15,33,249,85.0
Green Bay Packers,16,332,539,61.6,"3,956",7.8,247.3,67,30,11,44,238,95.9
Kansas City Chiefs,16,334,592,56.4,"3,962",7.2,247.6,77,25,21,47,309,78.5
Jacksonville Jaguars,16,354,551,64.2,"3,962",7.6,247.6,95,29,11,31,225,96.5
Denver Broncos,16,357,613,58.2,"4,070",7.1,254.4,82,29,17,41,290,84.5
Oakland Raiders,16,374,549,68.1,"4,092",7.9,255.8,71,33,9,38,260,105.1
San Diego Chargers,16,364,548,66.4,"4,139",8.0,258.7,74,23,11,35,248,96.4
Dallas Cowboys,16,403,623,64.7,"4,589",7.8,286.8,87,33,15,34,246,96.0
Minnesota Vikings,16,419,648,64.7,"4,595",7.5,287.2,80,37,12,41,274,98.6
Philadelphia Eagles,16,408,670,60.9,"4,636",7.3,289.8,66,25,19,37,271,84.0
