Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Philadelphia Eagles,16,500,"2,566",5.1,160.4,65,19,5,2
Buffalo Bills,16,546,"2,307",4.2,144.2,77,15,12,3
San Francisco 49ers,16,505,"2,201",4.4,137.6,51,18,7,5
Seattle Seahawks,16,509,"2,188",4.3,136.8,43,14,6,2
Washington Redskins,16,453,"2,164",4.8,135.3,45,14,11,5
New York Jets,16,493,"2,158",4.4,134.9,69,12,7,2
Green Bay Packers,16,459,"2,136",4.7,133.5,67,17,7,4
Minnesota Vikings,16,423,"2,081",4.9,130.1,78,23,9,5
New England Patriots,16,470,"2,065",4.4,129.1,47,19,10,6
Kansas City Chiefs,16,442,"2,056",4.7,128.5,46,17,8,3
Carolina Panthers,16,483,"2,026",4.2,126.6,56,14,3,1
Oakland Raiders,16,437,"2,000",4.6,125.0,93,16,7,4
San Diego Chargers,16,486,"1,965",4.0,122.8,51,9,5,3
Tennessee Titans,16,462,"1,894",4.1,118.4,39,16,8,2
Denver Broncos,16,461,"1,873",4.1,117.1,45,16,10,6
Chicago Bears,16,404,"1,828",4.5,114.3,55,13,4,2
Detroit Lions,16,445,"1,792",4.0,112.0,39,15,19,10
Cincinnati Bengals,16,481,"1,755",3.6,109.7,35,14,7,3
St. Louis Rams,16,426,"1,752",4.1,109.5,65,10,6,4
Indianapolis Colts,16,409,"1,743",4.3,108.9,51,15,3,1
Houston Texans,16,414,"1,743",4.2,108.9,60,7,5,3
Tampa Bay Buccaneers,16,420,"1,612",3.8,100.8,80,6,6,2
Arizona Cardinals,16,422,"1,540",3.6,96.3,80,12,7,4
Dallas Cowboys,16,336,"1,504",4.5,94.0,45,12,5,1
New Orleans Saints,16,391,"1,473",3.8,92.1,38,10,1,1
Miami Dolphins,16,349,"1,440",4.1,90.0,55,8,5,3
Cleveland Browns,16,348,"1,383",4.0,86.4,45,4,2,2
Pittsburgh Steelers,16,394,"1,383",3.5,86.4,43,9,6,3
New York Giants,16,381,"1,332",3.5,83.3,49,11,12,7
Baltimore Ravens,16,423,"1,328",3.1,83.0,47,7,2,2
Jacksonville Jaguars,16,378,"1,260",3.3,78.8,48,7,5,3
Atlanta Falcons,16,321,"1,247",3.9,77.9,50,11,1,1
