Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Seattle Seahawks,16,309,"3,050",9.9,190.6,73,16,4,1
Houston Texans,16,287,"3,310",11.5,206.9,64,29,1,0
New Orleans Saints,16,304,"3,441",11.3,215.1,60,20,4,2
Cincinnati Bengals,16,362,"3,623",10.0,226.4,74,22,5,4
Buffalo Bills,16,310,"3,666",11.8,229.1,74,28,3,1
Cleveland Browns,16,363,"3,723",10.3,232.7,50,29,2,1
Pittsburgh Steelers,16,329,"3,751",11.4,234.4,81,21,5,3
New York Giants,16,361,"3,787",10.5,236.7,56,21,4,1
San Francisco 49ers,16,345,"3,819",11.1,238.7,75,19,2,2
Tennessee Titans,16,344,"3,839",11.2,239.9,55,15,5,4
Carolina Panthers,16,375,"3,853",10.3,240.8,73,17,3,3
Chicago Bears,16,315,"3,919",12.4,244.9,48,25,5,2
Baltimore Ravens,16,314,"3,938",12.5,246.1,79,25,6,1
Indianapolis Colts,16,324,"3,959",12.2,247.4,81,21,0,0
Miami Dolphins,16,344,"4,024",11.7,251.5,67,17,0,0
Tampa Bay Buccaneers,16,352,"4,061",11.5,253.8,80,30,5,2
Arizona Cardinals,16,367,"4,065",11.1,254.1,72,29,2,1
Atlanta Falcons,16,341,"4,128",12.1,258.0,67,31,6,4
Washington Redskins,16,337,"4,134",12.3,258.4,57,29,5,4
New England Patriots,16,336,"4,137",12.3,258.6,80,25,5,3
Jacksonville Jaguars,16,354,"4,187",11.8,261.7,95,29,2,0
New York Jets,16,345,"4,189",12.1,261.8,77,26,2,0
Green Bay Packers,16,332,"4,194",12.6,262.1,67,30,3,3
Detroit Lions,16,338,"4,199",12.4,262.4,85,24,1,0
St. Louis Rams,16,355,"4,200",11.8,262.5,81,21,3,3
Kansas City Chiefs,16,334,"4,271",12.8,266.9,77,25,4,3
Oakland Raiders,16,374,"4,352",11.6,272.0,71,33,7,4
Denver Broncos,16,357,"4,360",12.2,272.5,82,29,4,3
San Diego Chargers,16,364,"4,387",12.1,274.2,74,23,4,2
Dallas Cowboys,16,403,"4,835",12.0,302.2,87,33,4,4
Minnesota Vikings,16,419,"4,869",11.6,304.3,80,37,4,3
Philadelphia Eagles,16,408,"4,907",12.0,306.7,66,25,3,1
