Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
New Orleans Saints,16,274,82,168,24,69,199,34.7,4,12,33.3,91,750
Carolina Panthers,16,278,70,178,30,76,212,35.9,3,11,27.3,84,753
Cincinnati Bengals,16,282,72,178,32,74,225,32.9,5,16,31.3,69,692
Seattle Seahawks,16,282,83,156,43,76,216,35.2,4,11,36.4,98,879
Houston Texans,16,282,88,158,36,75,217,34.6,3,8,37.5,103,809
San Francisco 49ers,16,284,77,181,26,76,223,34.1,10,23,43.5,96,878
Baltimore Ravens,16,284,79,176,29,78,233,33.5,8,14,57.1,126,"1,196"
Detroit Lions,16,290,62,197,31,64,211,30.3,9,12,75.0,87,681
New York Jets,16,293,68,198,27,85,231,36.8,7,18,38.9,92,833
Kansas City Chiefs,16,303,88,189,26,78,229,34.1,9,18,50.0,112,852
Pittsburgh Steelers,16,303,106,174,23,91,230,39.6,9,20,45.0,92,798
Buffalo Bills,16,308,98,170,40,91,245,37.1,4,10,40.0,108,931
Arizona Cardinals,16,309,68,208,33,78,221,35.3,6,16,37.5,111,960
Indianapolis Colts,16,319,101,191,27,79,210,37.6,10,19,52.6,112,990
Tampa Bay Buccaneers,16,324,95,190,39,80,204,39.2,8,14,57.1,105,"1,012"
Atlanta Falcons,16,326,102,196,28,96,209,45.9,7,11,63.6,104,885
Miami Dolphins,16,327,114,192,21,91,238,38.2,8,15,53.3,95,748
New York Giants,16,327,101,198,28,93,232,40.1,4,15,26.7,105,904
San Diego Chargers,16,327,98,208,21,70,180,38.9,6,13,46.2,100,850
Cleveland Browns,16,328,103,197,28,109,244,44.7,4,9,44.4,95,745
Tennessee Titans,16,329,108,191,30,69,201,34.3,7,11,63.6,95,779
Washington Redskins,16,329,102,204,23,66,194,34.0,12,17,70.6,83,697
Green Bay Packers,16,330,116,190,24,78,204,38.2,10,17,58.8,99,883
Oakland Raiders,16,330,100,202,28,91,211,43.1,2,6,33.3,87,686
St. Louis Rams,16,337,87,203,47,78,201,38.8,9,16,56.3,105,978
New England Patriots,16,338,110,208,20,98,232,42.2,4,21,19.1,110,951
Denver Broncos,16,339,90,208,41,83,218,38.1,4,15,26.7,97,807
Chicago Bears,16,353,147,184,22,83,200,41.5,12,16,75.0,69,647
Jacksonville Jaguars,16,353,121,200,32,96,226,42.5,9,12,75.0,87,729
Minnesota Vikings,16,368,101,247,20,102,231,44.2,11,18,61.1,100,"1,003"
Philadelphia Eagles,16,368,100,239,29,93,231,40.3,8,20,40.0,106,855
Dallas Cowboys,16,388,122,231,35,91,210,43.3,9,18,50.0,112,875
