Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Arizona Cardinals,16,370,"1,351",3.7,84.4,56,5,6,2
Carolina Panthers,16,352,"1,391",4.0,86.9,46,4,5,2
New York Jets,16,421,"1,412",3.4,88.3,63,9,5,0
San Francisco 49ers,16,397,"1,535",3.9,95.9,30,11,6,4
Cincinnati Bengals,16,385,"1,544",4.0,96.5,51,6,4,4
Detroit Lions,16,377,"1,596",4.2,99.8,78,10,10,5
Denver Broncos,16,420,"1,626",3.9,101.6,35,15,9,4
Seattle Seahawks,16,422,"1,626",3.9,101.6,51,4,7,3
St. Louis Rams,16,440,"1,646",3.7,102.9,41,18,8,5
Philadelphia Eagles,16,443,"1,668",3.8,104.3,35,12,15,7
Baltimore Ravens,16,440,"1,687",3.8,105.4,43,7,6,2
San Diego Chargers,16,376,"1,725",4.6,107.8,46,14,4,2
Oakland Raiders,16,442,"1,727",3.9,107.9,45,15,6,3
New York Giants,16,454,"1,743",3.8,108.9,34,12,6,3
Tampa Bay Buccaneers,16,438,"1,762",4.0,110.1,56,10,6,4
Minnesota Vikings,16,443,"1,767",4.0,110.4,41,14,7,1
Washington Redskins,16,443,"1,769",4.0,110.6,50,23,8,3
Cleveland Browns,16,462,"1,781",3.9,111.3,54,13,4,2
New Orleans Saints,16,387,"1,786",4.6,111.6,52,11,3,2
Tennessee Titans,16,446,"1,795",4.0,112.2,60,21,9,6
Pittsburgh Steelers,16,433,"1,849",4.3,115.6,93,18,7,4
Kansas City Chiefs,16,428,"1,923",4.5,120.2,61,9,4,3
Houston Texans,16,454,"1,958",4.3,122.4,80,11,7,3
Miami Dolphins,16,484,"1,998",4.1,124.9,51,14,5,3
Green Bay Packers,16,432,"2,000",4.6,125.0,41,16,3,3
Indianapolis Colts,16,448,"2,002",4.5,125.1,56,14,8,4
Dallas Cowboys,16,437,"2,056",4.7,128.5,60,17,4,3
Buffalo Bills,16,471,"2,063",4.4,128.9,80,10,7,4
Jacksonville Jaguars,16,507,"2,108",4.2,131.8,50,20,10,6
New England Patriots,16,481,"2,145",4.5,134.1,34,11,6,3
Atlanta Falcons,16,455,"2,173",4.8,135.8,80,14,5,2
Chicago Bears,16,483,"2,583",5.3,161.4,65,22,11,3
