Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Denver Broncos,16,461,"5,572",12.1,348.3,78,55,4,2
New Orleans Saints,16,446,"5,162",11.6,322.6,76,39,1,0
Detroit Lions,16,371,"4,650",12.5,290.6,87,29,4,3
Atlanta Falcons,16,445,"4,541",10.2,283.8,81,26,8,5
Green Bay Packers,16,366,"4,538",12.4,283.6,83,25,3,1
San Diego Chargers,16,378,"4,478",11.8,279.9,60,32,4,4
Chicago Bears,16,373,"4,450",11.9,278.1,80,32,5,3
Philadelphia Eagles,16,310,"4,406",14.2,275.4,70,32,3,2
Cleveland Browns,16,379,"4,372",11.5,273.3,95,26,2,1
New England Patriots,16,380,"4,343",11.4,271.4,81,25,2,1
Cincinnati Bengals,16,364,"4,318",11.9,269.9,82,33,6,4
Pittsburgh Steelers,16,377,"4,306",11.4,269.1,67,28,3,2
Arizona Cardinals,16,363,"4,291",11.8,268.2,91,24,3,2
Dallas Cowboys,16,375,"4,226",11.3,264.1,82,33,8,4
Houston Texans,16,371,"4,183",11.3,261.4,66,19,5,3
Washington Redskins,16,355,"4,057",11.4,253.6,62,20,5,4
Miami Dolphins,16,357,"3,966",11.1,247.9,67,24,0,0
Indianapolis Colts,16,350,"3,952",11.3,247.0,73,23,2,0
Baltimore Ravens,16,363,"3,914",10.8,244.6,74,19,1,0
New York Giants,16,325,"3,875",11.9,242.2,70,18,4,3
Jacksonville Jaguars,16,349,"3,751",10.7,234.4,67,16,6,3
Tennessee Titans,16,328,"3,710",11.3,231.9,77,22,4,1
Minnesota Vikings,16,325,"3,645",11.2,227.8,79,18,3,1
Oakland Raiders,16,298,"3,629",12.2,226.8,73,17,2,2
Kansas City Chiefs,16,333,"3,561",10.7,222.6,71,24,5,3
Seattle Seahawks,16,267,"3,508",13.1,219.3,80,27,4,1
Carolina Panthers,16,292,"3,379",11.6,211.2,79,24,3,1
Buffalo Bills,16,299,"3,373",11.3,210.8,59,16,5,4
St. Louis Rams,16,301,"3,360",11.2,210.0,81,22,3,3
New York Jets,16,266,"3,270",12.3,204.4,69,13,1,1
San Francisco 49ers,16,244,"3,210",13.2,200.6,64,21,3,1
Tampa Bay Buccaneers,16,291,"3,181",10.9,198.8,85,22,1,0
