rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Stephen Gostkowski,3,3,100.0,49,0,1,0,2,0,4,4,1,15.0,15.0,0.1,FA,K,9,2014
2,Stephen Hauschka,3,4,75.0,40,0,0,2,1,0,3,3,1,13.0,13.0,0.0,FA,K,9,2014
3,Kai Forbath,2,2,100.0,36,0,1,1,0,0,2,2,1,8.0,8.0,3.0,LAR,K,9,2014
4,Cody Parkey,1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,0.4,FA,K,9,2014
5,Dan Bailey,1,2,50.0,52,0,0,0,0,1,2,2,1,7.0,7.0,0.0,FA,K,9,2014
6,Mike Nugent,1,1,100.0,31,0,0,1,0,0,4,4,1,7.0,7.0,1.0,FA,K,9,2014
7,Greg Zuerlein,2,2,100.0,39,0,0,2,0,0,1,1,1,7.0,7.0,74.2,DAL,K,9,2014
8,Cairo Santos,1,1,100.0,19,1,0,0,0,0,3,3,1,6.0,6.0,2.1,CHI,K,9,2014
9,Justin Tucker,1,1,100.0,46,0,0,0,1,0,2,2,1,6.0,6.0,98.0,BAL,K,9,2014
10,Graham Gano,1,1,100.0,31,0,0,1,0,0,1,1,1,4.0,4.0,31.4,NYG,K,9,2014
11,Nick Folk,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,81.8,NE,K,9,2014
12,Brandon McManus,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,44.3,DEN,K,9,2014
13,Randy Bullock,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,10.8,TEN,K,9,2014
14,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,9,2014
15,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,9,2014
16,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,9,2014
17,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,9,2014
18,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,9,2014
19,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,9,2014
20,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,9,2014
21,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,9,2014
22,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,9,2014
23,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,9,2014
24,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,9,2014
25,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,9,2014
26,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,K,9,2014
27,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,9,2014
28,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,9,2014
