rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Nick Folk,4,5,80.0,47,0,2,0,2,0,1,1,1,15.0,15.0,81.8,NE,K,7,2014
2,Kai Forbath,4,4,100.0,31,0,2,2,0,0,1,1,1,13.0,13.0,3.0,LAR,K,7,2014
3,Cairo Santos,3,3,100.0,48,0,1,0,2,0,2,2,1,13.0,13.0,2.1,CHI,K,7,2014
4,Randy Bullock,3,3,100.0,39,0,0,3,0,0,2,2,1,11.0,11.0,10.8,TEN,K,7,2014
5,Stephen Gostkowski,2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,9.0,0.1,FA,K,7,2014
6,Justin Tucker,2,2,100.0,38,0,0,2,0,0,3,3,1,9.0,9.0,98.0,BAL,K,7,2014
7,Mason Crosby,1,1,100.0,34,0,0,1,0,0,5,5,1,8.0,8.0,40.7,GB,K,7,2014
8,Stephen Hauschka,2,2,100.0,35,0,1,1,0,0,2,2,1,8.0,8.0,0.0,FA,K,7,2014
9,Dan Bailey,1,1,100.0,49,0,0,0,1,0,4,4,1,8.0,8.0,0.0,FA,K,7,2014
10,Matt Prater,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,6.0,52.8,ARI,K,7,2014
11,Brandon McManus,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,44.3,DEN,K,7,2014
12,Graham Gano,1,1,100.0,33,0,0,1,0,0,2,2,1,5.0,5.0,31.4,NYG,K,7,2014
13,Ryan Succop,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,57.4,TB,K,7,2014
14,Greg Zuerlein,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,74.2,DAL,K,7,2014
15,Robbie Gould,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,22.5,SF,K,7,2014
16,Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,NYJ,K,7,2014
17,Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.1,MIN,K,7,2014
18,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.9,IND,K,7,2014
19,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.6,MIA,K,7,2014
20,Adam Vinatieri,2,2,100.0,50,0,1,0,0,1,3,3,1,0.0,0.0,0.2,FA,K,7,2014
21,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,K,7,2014
22,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,JAC,K,7,2014
23,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,K,7,2014
24,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,7,2014
25,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,7,2014
26,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.9,ATL,K,7,2014
27,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,74.3,LV,K,7,2014
28,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,HOU,K,7,2014
29,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,LAC,K,7,2014
30,Jonathan Brown,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1,FA,K,7,2014
31,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,7,2014
32,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,K,7,2014
33,Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.5,PHI,K,7,2014
34,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,K,7,2014
35,Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,76.6,KC,K,7,2014
36,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,7,2014
37,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1,CLE,K,7,2014
38,Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.2,CIN,K,7,2014
39,Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,DET,K,7,2014
40,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,7,2014
41,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,K,7,2014
42,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,K,7,2014
43,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.6,WAS,K,7,2014
44,Dominik Eberle,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,7,2014
45,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,K,7,2014
46,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.1,SEA,K,7,2014
47,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,K,7,2014
48,Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8,BUF,K,7,2014
49,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,K,7,2014
50,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,7,2014
51,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,K,7,2014
52,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,K,7,2014
53,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,K,7,2014
54,Jordan Gay,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,FA,K,7,2014
55,Shayne Graham,3,3,100.0,48,0,1,1,1,0,2,2,1,0.0,0.0,0.0,FA,K,7,2014
56,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,7,2014
57,Phil Dawson,1,2,50.0,22,0,1,0,0,0,2,2,1,0.0,0.0,0.1,FA,K,7,2014
58,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,K,7,2014
59,Sebastian Janikowski,2,2,100.0,53,0,1,0,0,1,1,1,1,0.0,0.0,20.0,FA,K,7,2014
60,Shaun Suisham,3,3,100.0,44,0,0,1,2,0,3,3,1,0.0,0.0,0.0,FA,K,7,2014
61,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,K,7,2014
62,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,K,7,2014
63,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,K,7,2014
64,Mike Nugent,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,FA,K,7,2014
65,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,K,7,2014
66,Billy Cundiff,2,2,100.0,40,0,1,0,1,0,0,0,1,0.0,0.0,0.0,FA,K,7,2014
67,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,K,7,2014
68,Dan Carpenter,1,1,100.0,31,0,0,1,0,0,2,2,1,0.0,0.0,0.2,FA,K,7,2014
69,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,K,7,2014
70,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,K,7,2014
71,Josh Brown,0,0,0.0,0,0,0,0,0,0,3,3,1,0.0,0.0,0.0,FA,K,7,2014
72,Josh Scobee,1,1,100.0,30,0,0,1,0,0,3,3,1,0.0,0.0,0.0,FA,K,7,2014
