player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Aaron Rodgers,QB,GB,1,60,60,98,8,0,55,55,11.4,19.0,14
Adrian Peterson,RB,WAS,1,28,28,44,71,0,71,71,13.6,48.6,14
Benjamin Watson,TE,NE,1,32,32,48,0,9,3,9,0.7,2.2,14
Danny Amendola,WR,DET,1,57,57,80,0,14,9,14,3.4,6.0,14
Drew Brees,QB,NO,1,68,68,94,1,0,60,60,40.1,59.0,14
Eli Manning,QB,NYG,1,52,52,100,4,0,62,62,16.0,30.8,14
Frank Gore,RB,BUF,1,13,13,18,31,0,31,31,0.6,4.6,14
Jared Cook,TE,NO,1,8,8,11,0,25,25,25,18.4,230.0,14
Jason Witten,TE,DAL,1,56,56,77,0,13,9,13,3.7,6.6,14
Julian Edelman,WR,NE,1,65,65,98,2,18,14,20,16.3,25.1,14
Larry Fitzgerald,WR,ARI,1,53,53,91,0,13,6,13,2.0,3.8,14
LeSean McCoy,RB,KC,1,24,24,31,46,13,50,58,4.3,17.9,14
Marcedes Lewis,TE,GB,1,38,38,62,0,3,3,3,0.5,1.3,14
Matt Ryan,QB,ATL,1,67,67,97,1,0,52,52,21.3,31.8,14
Matt Schaub,QB,ATL,1,2,2,3,50,0,50,50,-0.1,-5.0,14
Philip Rivers,QB,LAC,1,41,41,68,2,0,56,56,24.6,60.0,14
Ryan Fitzpatrick,QB,MIA,1,72,72,100,10,0,61,61,15.3,21.3,14
Ted Ginn Jr.,WR,NO,1,42,42,58,0,14,10,14,5.0,11.9,14
Tom Brady,QB,NE,1,66,66,100,3,0,58,58,11.8,17.9,14
Golden Tate,WR,NYG,1,46,46,88,0,11,2,11,1.1,2.4,14
Emmanuel Sanders,WR,SF,1,61,61,92,0,15,13,16,27.1,44.4,14
Jimmy Graham,TE,GB,1,31,31,51,0,16,10,16,4.9,15.8,14
Julio Jones,WR,ATL,1,55,55,80,0,15,9,15,6.6,12.0,14
Mark Ingram II,RB,BAL,1,33,33,54,45,9,55,55,7.9,23.9,14
Randall Cobb,WR,DAL,1,58,58,79,0,9,3,9,4.3,7.4,14
Kyle Rudolph,TE,MIN,1,46,46,64,0,4,4,4,1.1,2.4,14
Andy Dalton,QB,CIN,1,73,73,100,4,0,56,56,10.6,14.5,14
Lance Kendricks,TE,LAC,1,11,11,18,0,0,0,0,0.0,0.0,14
Luke Stocker,TE,ATL,1,40,40,58,0,3,0,3,0.0,0.0,14
Anthony Sherman,RB,KC,1,3,3,4,0,0,0,0,0.0,0.0,14
Dion Lewis,RB,TEN,1,23,23,38,39,4,43,43,3.1,13.5,14
Lee Smith,TE,BUF,1,2,2,3,0,0,0,0,0.0,0.0,14
Tyrod Taylor,QB,LAC,1,19,19,32,21,0,47,47,6.0,31.6,14
Virgil Green,TE,LAC,1,25,25,42,0,4,4,4,7.4,29.6,14
Robert Griffin III,QB,BAL,1,2,2,3,0,0,0,0,0.0,0.0,14
Ryan Tannehill,QB,TEN,1,61,61,100,7,0,51,51,28.5,46.7,14
Kirk Cousins,QB,MIN,1,72,72,100,1,0,43,43,13.6,18.9,14
Russell Wilson,QB,SEA,1,66,66,100,8,0,62,62,11.6,17.6,14
Alshon Jeffery,WR,PHI,1,20,20,23,0,10,0,10,0.0,0.0,14
Mohamed Sanu Sr.,WR,NE,1,39,39,59,0,3,3,3,1.3,3.3,14
Marvin Jones Jr.,WR,DET,1,71,71,100,0,10,4,10,3.8,5.4,14
Brandon Bolden,RB,NE,1,2,2,3,50,0,50,50,7.0,350.0,14
Derek Carrier,TE,OAK,1,8,8,13,0,0,0,0,0.0,0.0,14
Josh Gordon,WR,SEA,1,37,37,56,0,14,5,14,3.4,9.2,14
Cole Beasley,WR,BUF,1,72,72,99,0,10,6,10,10.9,15.1,14
Garrett Celek,TE,SF,1,6,6,9,0,0,0,0,0.0,0.0,14
Travis Kelce,TE,KC,1,76,76,97,1,12,11,13,11.0,14.5,14
DeAndre Hopkins,WR,HOU,1,76,76,100,1,17,11,18,19.2,25.3,14
Robert Woods,WR,LAR,1,67,67,99,3,13,13,16,18.7,27.9,14
Kenny Stills,WR,HOU,1,73,73,96,0,3,3,3,0.8,1.1,14
Cordarrelle Patterson,RB,CHI,1,11,11,16,9,9,18,18,2.8,25.5,14
Keenan Allen,WR,LAC,1,40,40,67,0,15,13,15,8.3,20.8,14
Tavon Austin,WR,DAL,1,21,21,29,0,10,0,10,0.0,0.0,14
Giovani Bernard,RB,CIN,1,29,29,40,14,10,21,24,4.6,15.9,14
Chris Thompson,RB,WAS,1,24,24,38,0,33,29,33,4.3,17.9,14
Rex Burkhead,RB,NE,1,18,18,27,39,6,39,44,1.5,8.3,14
Zach Ertz,TE,PHI,1,78,78,89,0,17,12,17,21.1,27.1,14
Tyler Eifert,TE,CIN,1,34,34,47,0,12,12,12,4.9,14.4,14
Vance McDonald,TE,PIT,1,31,31,53,0,3,3,3,0.3,1.0,14
Kyle Juszczyk,RB,SF,1,27,27,41,0,11,11,11,2.2,8.1,14
Latavius Murray,RB,NO,1,24,24,33,29,13,38,42,9.4,39.2,14
Ryan Griffin,TE,NYJ,1,3,3,4,0,33,33,33,0.8,26.7,14
Ryan Griffin,QB,TB,1,6,6,8,0,0,67,67,0.7,11.7,14
Jack Doyle,TE,IND,1,49,49,78,0,12,4,12,2.7,5.5,14
Patrick DiMarco,RB,BUF,1,1,1,1,0,0,0,0,0.0,0.0,14
Derek Carr,QB,OAK,1,62,62,100,3,0,58,58,20.2,32.6,14
Logan Thomas,TE,DET,1,40,40,56,0,10,5,10,2.1,5.3,14
Carlos Hyde,RB,HOU,1,40,40,53,35,8,40,43,7.8,19.5,14
Devonta Freeman,RB,ATL,1,45,45,65,38,9,47,47,15.4,34.2,14
Sammy Watkins,WR,KC,1,70,70,90,0,11,6,11,5.0,7.1,14
Mike Evans,WR,TB,1,18,18,23,0,11,6,11,12.1,67.2,14
Brandin Cooks,WR,LAR,1,26,26,38,0,8,0,8,0.0,0.0,14
Davante Adams,WR,GB,1,50,50,82,0,12,8,12,4.1,8.2,14
Allen Robinson II,WR,CHI,1,68,68,97,0,12,7,12,16.8,24.7,14
Odell Beckham Jr.,WR,CLE,1,47,47,87,0,11,4,11,3.9,8.3,14
Jarvis Landry,WR,CLE,1,48,48,89,0,15,8,15,7.6,15.8,14
James White,RB,NE,1,40,40,61,15,18,30,35,7.4,18.5,14
Cody Latimer,WR,NYG,1,4,4,8,0,0,0,0,0.0,0.0,14
Jimmy Garoppolo,QB,SF,1,64,64,97,3,0,58,58,29.1,45.5,14
John Brown,WR,BUF,1,72,72,99,0,11,4,11,2.6,3.6,14
Garrett Gilbert,QB,CLE,1,1,1,2,100,0,100,100,-0.1,-10.0,14
Albert Wilson,WR,MIA,1,17,17,24,0,12,6,12,0.5,2.9,14
Willie Snead IV,WR,BAL,1,37,37,61,0,11,8,11,7.3,19.7,14
Allen Hurns,WR,MIA,1,57,57,79,0,14,9,14,6.8,11.9,14
Keith Smith,RB,ATL,1,13,13,19,0,0,0,0,0.0,0.0,14
Cameron Brate,TE,TB,1,24,24,30,0,17,17,17,9.0,37.5,14
Josh Hill,TE,NO,1,62,62,86,0,5,3,5,6.4,10.3,14
Darren Fells,TE,HOU,1,42,42,55,0,10,5,10,0.2,0.5,14
Diontae Spencer,WR,DEN,1,2,2,3,0,0,0,0,0.0,0.0,14
Seth Roberts,WR,BAL,1,27,27,44,0,15,4,15,0.8,3.0,14
Jameis Winston,QB,TB,1,72,72,91,8,0,71,71,37.7,52.4,14
Amari Cooper,WR,DAL,1,57,57,78,0,14,11,14,14.3,25.1,14
DeVante Parker,WR,MIA,1,18,18,25,0,11,11,11,2.8,15.6,14
Melvin Gordon III,RB,LAC,1,29,29,48,41,17,59,59,14.4,49.7,14
Todd Gurley II,RB,LAR,1,54,54,79,43,7,50,50,17.3,32.0,14
Maxx Williams,TE,ARI,1,31,31,53,0,3,0,3,0.0,0.0,14
Ameer Abdullah,RB,MIN,1,6,6,8,0,17,17,17,0.2,3.3,14
Tevin Coleman,RB,SF,1,10,10,15,30,0,30,30,0.6,6.0,14
Duke Johnson Jr.,RB,HOU,1,39,39,51,3,21,18,23,4.5,11.5,14
Jay Ajayi,RB,PHI,1,5,5,6,40,20,40,60,0.5,10.0,14
David Johnson,RB,ARI,1,21,21,36,14,10,24,24,11.3,53.8,14
Malcolm Brown,RB,LAR,1,14,14,21,36,0,36,36,8.1,57.9,14
Clive Walford,TE,MIA,1,33,33,46,0,0,0,0,0.4,1.2,14
Nick O'Leary,TE,JAC,1,45,45,68,0,11,9,11,9.0,20.0,14
Jesse James,TE,DET,1,38,38,54,0,5,3,5,2.3,6.1,14
Tyler Kroft,TE,BUF,1,19,19,26,0,5,0,5,0.0,0.0,14
Nick Boyle,TE,BAL,1,54,54,89,0,6,4,6,7.0,13.0,14
MyCole Pruitt,TE,TEN,1,33,33,54,0,3,3,3,4.2,12.7,14
Blake Bell,TE,KC,1,15,15,19,0,0,0,0,0.0,0.0,14
Justin Hardy,WR,ATL,1,12,12,17,0,8,8,8,1.9,15.8,14
Tyler Lockett,WR,SEA,1,59,59,89,0,10,7,10,4.3,7.3,14
Breshad Perriman,WR,TB,1,65,65,82,0,8,5,8,13.0,20.0,14
