Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,74,74,99,4,0,57,57,19.3,26.1
Adrian Peterson,RB,WAS,1,37,37,62,62,5,68,68,13.6,36.8
Danny Amendola,WR,DET,1,18,18,32,0,6,6,6,0.6,3.3
Greg Olsen,TE,CAR,1,61,61,88,0,11,7,11,5.2,8.5
Jared Cook,TE,NO,1,38,38,58,0,8,8,8,9.7,25.5
Jason Witten,TE,DAL,1,72,72,88,0,10,7,10,5.7,7.9
Joe Flacco,QB,DEN,1,60,60,100,7,0,53,53,6.0,10.0
Josh McCown,QB,PHI,1,4,4,6,0,0,0,0,0.0,0.0
Julian Edelman,WR,NE,1,72,72,89,0,21,13,21,11.3,15.7
Larry Fitzgerald,WR,ARI,1,51,51,74,0,16,12,16,6.9,13.5
LeSean McCoy,RB,KC,1,27,27,48,30,7,37,37,4.4,16.3
Marcedes Lewis,TE,GB,1,30,30,40,0,7,7,7,5.0,16.7
Matt Ryan,QB,ATL,1,67,67,100,3,0,57,57,30.9,46.1
Matthew Slater,WR,NE,1,2,2,2,0,0,0,0,0.0,0.0
Matthew Stafford,QB,DET,1,55,55,98,5,0,64,64,11.5,20.9
Philip Rivers,QB,LAC,1,62,62,100,2,0,73,73,16.8,27.1
Ryan Fitzpatrick,QB,MIA,1,27,27,36,7,0,74,74,9.8,36.3
Ted Ginn Jr.,WR,NO,1,44,44,67,2,14,7,16,4.8,10.9
Tom Brady,QB,NE,1,81,81,100,9,0,59,59,23.0,28.4
Golden Tate,WR,NYG,1,49,49,98,0,18,12,18,16.2,33.1
Emmanuel Sanders,WR,DEN,1,25,25,42,0,12,4,12,0.0,0.0
Jimmy Graham,TE,GB,1,54,54,72,0,9,4,9,1.7,3.1
Julio Jones,WR,ATL,1,45,45,67,0,20,18,20,10.8,24.0
Mark Ingram II,RB,BAL,1,31,31,39,42,6,48,48,13.4,43.2
Kyle Rudolph,TE,MIN,1,68,68,96,0,4,4,4,3.6,5.3
Andy Dalton,QB,CIN,1,59,59,100,2,0,68,68,14.6,24.7
Lance Kendricks,TE,LAC,1,2,2,3,0,0,0,0,0.0,0.0
Luke Stocker,TE,ATL,1,36,36,54,0,3,3,3,0.0,0.0
Anthony Sherman,RB,KC,1,1,1,2,0,0,0,0,0.0,0.0
Dion Lewis,RB,TEN,1,27,27,41,4,11,15,15,1.9,7.0
Virgil Green,TE,LAC,1,23,23,37,0,9,4,9,1.5,6.5
Ryan Tannehill,QB,TEN,1,28,28,42,4,0,61,61,5.4,19.3
Kirk Cousins,QB,MIN,1,70,70,99,3,0,44,44,28.3,40.4
Russell Wilson,QB,SEA,1,81,81,99,11,0,52,52,28.9,35.7
Alshon Jeffery,WR,PHI,1,61,61,94,0,20,16,20,13.6,22.3
Mohamed Sanu Sr.,WR,ATL,1,46,46,69,0,9,7,9,2.9,6.3
Travis Benjamin,WR,LAC,1,34,34,55,0,12,3,12,0.0,0.0
Marvin Jones Jr.,WR,DET,1,45,45,80,0,11,4,11,1.7,3.8
Rhett Ellison,TE,NYG,1,50,50,100,0,14,6,14,3.0,6.0
Brandon Bolden,RB,NE,1,11,11,14,27,18,45,45,10.5,95.5
Case Keenum,QB,WAS,1,59,59,98,7,0,49,49,15.6,26.4
Josh Gordon,WR,NE,1,25,25,31,0,4,4,4,0.7,2.8
Josh Bellamy,WR,NYJ,1,3,3,5,0,0,0,0,0.0,0.0
Travis Kelce,TE,KC,1,53,53,95,0,11,8,11,5.8,10.9
Marquise Goodwin,WR,SF,1,47,47,61,0,6,4,6,1.5,3.2
DeAndre Hopkins,WR,HOU,1,87,87,98,0,14,10,14,7.5,8.6
Robert Woods,WR,LAR,1,52,52,100,4,8,4,12,7.6,14.6
Keenan Allen,WR,LAC,1,60,60,97,0,10,3,10,3.3,5.5
Tavon Austin,WR,DAL,1,76,76,93,0,8,7,8,6.4,8.4
Giovani Bernard,RB,CIN,1,32,32,54,13,9,19,22,2.4,7.5
Le'Veon Bell,RB,NYJ,1,50,50,82,28,2,30,30,11.3,22.6
