Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,54,54,100,2,0,56,56,13.3,24.6
Adrian Peterson,RB,WAS,1,36,36,47,33,8,36,42,3.4,9.4
Danny Amendola,WR,DET,1,22,22,36,0,23,18,23,3.7,16.8
Darren Sproles,RB,PHI,1,27,27,36,7,4,7,11,0.4,1.5
Frank Gore,RB,BUF,1,47,47,61,30,4,34,34,14.9,31.7
Greg Olsen,TE,CAR,1,48,48,80,0,15,13,15,19.5,40.6
Jared Cook,TE,NO,1,42,42,75,0,5,2,5,0.7,1.7
Jason Witten,TE,DAL,1,37,37,51,0,11,8,11,5.4,14.6
Joe Flacco,QB,DEN,1,73,73,100,3,0,42,42,6.0,8.2
Julian Edelman,WR,NE,1,39,39,51,0,26,18,26,12.2,31.3
Larry Fitzgerald,WR,ARI,1,69,69,92,0,10,7,10,9.6,13.9
LeSean McCoy,RB,KC,1,26,26,37,31,12,42,42,20.0,76.9
Marcedes Lewis,TE,GB,1,30,30,56,0,7,3,7,1.9,6.3
Matt Ryan,QB,ATL,1,60,60,100,3,0,60,60,23.5,39.2
Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
Matthew Stafford,QB,DET,1,61,61,100,5,0,57,57,12.1,19.8
Michael Crabtree,WR,ARI,1,13,13,17,0,15,15,15,0.9,6.9
Philip Rivers,QB,LAC,1,74,74,100,3,0,65,65,19.6,26.5
Ryan Fitzpatrick,QB,MIA,1,5,5,7,0,0,40,40,1.2,24.0
Ted Ginn Jr.,WR,NO,1,38,38,68,0,13,5,13,1.5,3.9
Tom Brady,QB,NE,1,72,72,95,3,0,61,61,20.1,27.9
Vernon Davis,TE,WAS,1,54,54,70,0,7,4,7,3.0,5.6
Andre Roberts,WR,BUF,1,2,2,3,0,0,0,0,0.0,0.0
Emmanuel Sanders,WR,DEN,1,58,58,79,0,9,3,9,1.0,1.7
Jimmy Graham,TE,GB,1,22,22,41,0,5,0,5,0.0,0.0
Julio Jones,WR,ATL,1,45,45,75,0,20,18,20,18.8,41.8
Mark Ingram II,RB,BAL,1,50,50,61,32,8,40,40,31.5,63.0
Randall Cobb,WR,DAL,1,53,53,74,0,8,4,8,2.3,4.3
Kyle Rudolph,TE,MIN,1,54,54,87,0,2,2,2,1.1,2.0
Andy Dalton,QB,CIN,1,60,60,97,2,0,62,62,18.1,30.2
Lance Kendricks,TE,LAC,1,11,11,15,0,18,9,18,1.3,11.8
Luke Stocker,TE,ATL,1,23,23,38,0,17,13,17,1.2,5.2
