,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
75,Allen Robinson II,WR,CHI,1,59,59,94,0,20,10,20,5.3,9.0
76,Odell Beckham Jr.,WR,CLE,1,54,54,90,0,11,7,11,10.4,19.3
77,Jarvis Landry,WR,CLE,1,50,50,83,0,18,14,18,7.4,14.8
78,James White,RB,NE,1,33,33,45,9,15,21,24,2.9,8.8
79,Cody Latimer,WR,NYG,1,42,42,60,0,17,12,17,10.4,24.8
80,Jimmy Garoppolo,QB,SF,1,57,57,100,7,0,54,54,12.4,21.8
81,John Brown,WR,BUF,1,52,52,95,2,8,4,10,11.6,22.3
82,Damien Williams,RB,KC,1,35,35,53,46,9,54,54,15.2,43.4
83,Albert Wilson,WR,MIA,1,66,66,71,2,11,12,12,8.8,13.3
84,Willie Snead IV,WR,BAL,1,30,30,41,0,3,0,3,0.0,0.0
85,Allen Hurns,WR,MIA,1,32,32,34,0,6,6,6,4.1,12.8
86,Dontrelle Inman,WR,IND,1,8,8,13,0,25,13,25,1.8,22.5
87,Keith Smith,RB,ATL,1,18,18,24,0,6,6,6,1.3,7.2
88,Adam Thielen,WR,MIN,1,50,50,91,2,8,2,10,0.2,0.4
89,Cameron Brate,TE,TB,1,31,31,42,0,16,6,16,1.7,5.5
90,Josh Hill,TE,NO,1,42,42,60,0,0,0,0,0.0,0.0
91,Darren Fells,TE,HOU,1,52,52,79,0,6,6,6,2.7,5.2
92,Diontae Spencer,WR,DEN,1,7,7,10,0,0,0,0,0.0,0.0
93,Seth Roberts,WR,BAL,1,35,35,47,0,9,6,9,2.3,6.6
94,Jameis Winston,QB,TB,1,73,73,100,3,0,68,68,15.0,20.5
95,Amari Cooper,WR,DAL,1,46,46,73,0,26,9,26,2.4,5.2
96,DeVante Parker,WR,MIA,1,75,75,81,0,20,7,20,17.1,22.8
97,Melvin Gordon III,RB,LAC,1,37,37,61,24,19,41,43,16.7,45.1
98,Brett Hundley,QB,ARI,1,32,32,46,19,0,47,47,5.5,17.2
99,Todd Gurley II,RB,LAR,1,54,54,77,28,4,28,31,16.8,31.1
100,Maxx Williams,TE,ARI,1,45,45,65,0,4,4,4,3.6,8.0
101,Ameer Abdullah,RB,MIN,1,32,32,58,13,22,31,34,5.8,18.1
102,Tevin Coleman,RB,SF,1,24,24,42,21,0,21,21,3.3,13.8
103,Duke Johnson Jr.,RB,HOU,1,29,29,44,7,14,10,21,-0.4,-1.4
104,David Johnson,RB,ARI,1,15,15,22,13,7,20,20,0.7,4.7
105,Malcolm Brown,RB,LAR,1,14,14,20,7,7,7,14,-0.1,-0.7
106,Clive Walford,TE,MIA,1,28,28,30,0,7,4,7,1.5,5.4
107,Nick O'Leary,TE,JAC,1,22,22,35,0,0,0,0,0.0,0.0
108,Jesse James,TE,DET,1,29,29,58,0,3,3,3,1.2,4.1
109,Tyler Kroft,TE,BUF,1,17,17,31,0,6,0,6,0.0,0.0
110,Nick Boyle,TE,BAL,1,49,49,66,0,8,6,8,2.4,4.9
111,MyCole Pruitt,TE,TEN,1,27,27,44,0,7,7,7,1.5,5.6
112,Blake Bell,TE,KC,1,26,26,39,0,12,8,12,1.5,5.8
113,Justin Hardy,WR,ATL,1,21,21,28,0,5,0,5,0.0,0.0
114,Tyler Lockett,WR,SEA,1,48,48,84,0,15,2,15,1.2,2.5
115,Breshad Perriman,WR,TB,1,70,70,96,0,17,10,17,10.2,14.6
116,Jamison Crowder,WR,NYJ,1,52,52,85,0,15,8,15,6.0,11.5
117,Ty Montgomery,RB,NYJ,1,9,9,15,22,11,33,33,0.8,8.9
118,Phillip Dorsett II,WR,NE,1,5,5,7,0,0,0,0,0.0,0.0
119,Stefon Diggs,WR,MIN,1,46,46,84,0,11,9,13,11.7,25.4
120,Chris Manhertz,TE,CAR,1,22,22,31,0,0,0,0,0.0,0.0
121,Jake Kumerow,WR,GB,1,28,28,36,0,4,0,4,0.0,0.0
122,C.J. Uzomah,TE,CIN,1,47,47,52,0,9,9,9,9.7,20.6
123,DeAndre Carter,WR,HOU,1,29,29,44,0,7,7,7,4.4,15.2
124,Darren Waller,TE,OAK,1,51,51,81,0,8,8,8,3.7,7.3
125,Chris Conley,WR,JAC,1,48,48,77,0,10,4,10,11.6,24.2
126,Michael Burton,RB,WAS,1,10,10,14,0,0,0,0,0.0,0.0
127,Damiere Byrd,WR,ARI,1,25,25,36,0,4,4,4,1.1,4.4
128,Matt LaCosse,TE,NE,1,46,46,63,0,2,2,2,6.8,14.8
129,Tyrell Williams,WR,OAK,1,55,55,87,0,7,7,7,8.2,14.9
130,Raheem Mostert,RB,SF,1,31,31,54,35,3,35,39,11.3,36.5
131,Eric Tomlinson,TE,OAK,1,19,19,30,0,0,0,0,0.0,0.0
132,DeAndrew White,WR,CAR,1,14,14,20,0,21,7,21,1.2,8.6
133,Daniel Brown,TE,NYJ,1,43,43,70,0,2,0,2,0.0,0.0
134,Ross Travis,TE,IND,1,6,6,9,0,33,17,33,1.9,31.7
