Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,64,64,98,2,0,47,47,10.0,15.6
Brian Hoyer,QB,IND,1,69,69,100,3,0,59,59,9.2,13.3
Danny Amendola,WR,DET,1,55,55,67,0,16,7,16,2.9,5.3
Drew Brees,QB,NO,1,66,66,100,0,0,68,68,11.5,17.4
Frank Gore,RB,BUF,1,22,22,32,23,5,27,27,1.6,7.3
Greg Olsen,TE,CAR,1,72,72,100,0,14,11,14,9.8,13.6
Jared Cook,TE,NO,1,46,46,70,0,22,13,22,7.4,16.1
Jason Witten,TE,DAL,1,56,56,78,0,9,4,9,1.7,3.0
Larry Fitzgerald,WR,ARI,1,53,53,79,0,15,15,15,7.1,13.4
Marcedes Lewis,TE,GB,1,35,35,54,0,0,0,0,0.0,0.0
Matt Ryan,QB,ATL,1,76,76,100,3,0,49,49,15.6,20.5
Philip Rivers,QB,LAC,1,75,75,100,0,0,41,41,13.3,17.7
Ryan Fitzpatrick,QB,MIA,1,62,62,95,6,0,60,60,14.1,22.7
Ted Ginn Jr.,WR,NO,1,46,46,70,2,7,2,9,0.5,1.1
Golden Tate,WR,NYG,1,66,66,94,0,12,6,12,19.5,29.5
Andre Roberts,WR,BUF,1,13,13,19,0,23,8,23,0.7,5.4
Emmanuel Sanders,WR,SF,1,24,24,29,0,17,8,17,2.4,10.0
Jimmy Graham,TE,GB,1,41,41,63,0,7,5,7,5.9,14.4
Julio Jones,WR,ATL,1,60,60,79,0,15,5,15,7.9,13.2
Mark Ingram II,RB,BAL,1,22,22,48,41,0,41,41,9.4,42.7
Randall Cobb,WR,DAL,1,57,57,79,0,14,12,16,16.6,29.1
Kyle Rudolph,TE,MIN,1,55,55,76,0,9,7,9,15.4,28.0
Lance Kendricks,TE,LAC,1,6,6,8,0,17,0,17,0.0,0.0
Luke Stocker,TE,ATL,1,30,30,39,0,0,0,0,0.0,0.0
Anthony Sherman,RB,KC,1,4,4,5,0,0,0,0,0.0,0.0
Dion Lewis,RB,TEN,1,14,14,28,0,0,0,0,0.0,0.0
Lee Smith,TE,BUF,1,17,17,25,0,0,0,0,0.0,0.0
Virgil Green,TE,LAC,1,21,21,28,0,0,0,0,0.0,0.0
Robert Griffin III,QB,BAL,1,12,12,26,0,0,42,42,0.7,5.8
Ryan Tannehill,QB,TEN,1,50,50,100,6,0,44,44,18.9,37.8
Kirk Cousins,QB,MIN,1,72,72,100,1,0,46,46,19.3,26.8
Russell Wilson,QB,SEA,1,73,73,100,8,0,55,55,17.6,24.1
Marvin Jones Jr.,WR,DET,1,75,75,91,0,7,7,7,7.7,10.3
Rhett Ellison,TE,NYG,1,34,34,49,0,9,9,9,4.2,12.4
Derek Carrier,TE,OAK,1,12,12,21,0,0,0,0,0.0,0.0
Josh Gordon,WR,SEA,1,27,27,37,0,7,7,7,2.7,10.0
Cole Beasley,WR,BUF,1,46,46,68,0,13,9,13,7.4,16.1
Garrett Celek,TE,SF,1,10,10,12,0,0,0,0,0.0,0.0
Travis Kelce,TE,KC,1,78,78,94,0,9,9,9,13.5,17.3
Marquise Goodwin,WR,SF,1,10,10,12,0,30,0,30,0.0,0.0
Robert Woods,WR,LAR,1,75,75,100,0,15,9,15,9.5,12.7
Cordarrelle Patterson,RB,CHI,1,14,14,25,0,0,0,0,0.0,0.0
Keenan Allen,WR,LAC,1,64,64,85,2,17,14,19,8.6,13.4
Tavon Austin,WR,DAL,1,14,14,19,7,0,7,7,0.7,5.0
Giovani Bernard,RB,CIN,1,18,18,25,22,6,28,28,-1.2,-6.7
Le'Veon Bell,RB,NYJ,1,48,48,71,38,8,46,46,12.8,26.7
Kenjon Barner,RB,ATL,1,10,10,13,10,0,10,10,1.2,12.0
Tyler Eifert,TE,CIN,1,23,23,32,0,17,9,17,8.0,34.8
Levine Toilolo,TE,SF,1,12,12,15,0,0,0,0,0.0,0.0
Vance McDonald,TE,PIT,1,71,71,97,1,10,6,11,1.3,1.8
Kyle Juszczyk,RB,SF,1,39,39,48,0,3,0,3,0.0,0.0
Luke Willson,TE,SEA,1,14,14,19,0,0,0,0,0.0,0.0
Latavius Murray,RB,NO,1,16,16,24,31,13,44,44,1.9,11.9
Ryan Griffin,TE,NYJ,1,42,42,62,0,2,2,2,-0.2,-0.5
Demetrius Harris,TE,CLE,1,33,33,48,0,6,6,6,2.8,8.5
Zach Line,RB,NO,1,8,8,12,0,25,25,25,0.5,6.3
Jack Doyle,TE,IND,1,42,42,61,0,10,7,10,10.4,24.8
Patrick DiMarco,RB,BUF,1,11,11,16,9,9,18,18,0.4,3.6
Blake Bortles,QB,LAR,1,1,1,1,100,0,100,100,0.1,10.0
Derek Carr,QB,OAK,1,58,58,100,2,0,55,55,13.1,22.6
Logan Thomas,TE,DET,1,18,18,22,0,11,11,11,1.9,10.6
Devonta Freeman,RB,ATL,1,30,30,39,33,13,43,47,4.8,16.0
Sammy Watkins,WR,KC,1,63,63,76,3,14,11,17,5.1,8.1
Mike Evans,WR,TB,1,73,73,88,0,8,5,8,8.2,11.2
Davante Adams,WR,GB,1,50,50,77,0,20,14,20,11.8,23.6
Allen Robinson II,WR,CHI,1,54,54,96,0,17,11,17,8.6,15.9
Odell Beckham Jr.,WR,CLE,1,66,66,96,0,18,8,18,5.7,8.6
Jarvis Landry,WR,CLE,1,64,64,93,0,16,14,16,15.7,24.5
Eric Ebron,TE,IND,1,42,42,61,0,29,12,29,5.6,13.3
Trey Burton,TE,CHI,1,20,20,36,0,5,0,5,0.0,0.0
Cody Latimer,WR,NYG,1,6,6,9,0,17,0,17,0.0,0.0
Jimmy Garoppolo,QB,SF,1,82,82,100,2,0,59,59,11.0,13.4
John Brown,WR,BUF,1,63,63,93,0,17,8,17,7.7,12.2
Damien Williams,RB,KC,1,60,60,72,32,8,40,40,8.9,14.8
Albert Wilson,WR,MIA,1,35,35,54,0,9,3,9,0.0,0.0
Taylor Gabriel,WR,CHI,1,48,48,86,2,13,10,15,9.8,20.4
Willie Snead IV,WR,BAL,1,22,22,48,0,14,9,14,1.2,5.5
Allen Hurns,WR,MIA,1,58,58,89,0,7,3,7,3.2,5.5
Bennie Fowler III,WR,NYG,1,53,53,76,0,6,4,6,3.6,6.8
Keith Smith,RB,ATL,1,10,10,13,0,0,0,0,0.0,0.0
Cameron Brate,TE,TB,1,15,15,18,0,0,0,0,0.0,0.0
Josh Hill,TE,NO,1,22,22,33,0,0,0,0,0.0,0.0
Seth Roberts,WR,BAL,1,18,18,39,0,0,0,0,0.0,0.0
Jameis Winston,QB,TB,1,83,83,100,4,0,61,61,20.3,24.5
Amari Cooper,WR,DAL,1,63,63,88,0,22,17,22,20.7,32.9
DeVante Parker,WR,MIA,1,62,62,95,0,16,8,16,6.9,11.1
Melvin Gordon III,RB,LAC,1,47,47,63,47,2,49,49,19.3,41.1
Todd Gurley II,RB,LAR,1,55,55,73,22,7,22,29,7.3,13.3
Maxx Williams,TE,ARI,1,30,30,45,0,7,3,7,1.5,5.0
Ameer Abdullah,RB,MIN,1,5,5,7,0,0,0,0,0.0,0.0
Tevin Coleman,RB,SF,1,40,40,49,23,10,33,33,7.2,18.0
David Johnson,RB,ARI,1,29,29,43,17,3,21,21,-1.0,-3.4
Malcolm Brown,RB,LAR,1,12,12,16,42,0,42,42,1.0,8.3
Clive Walford,TE,MIA,1,7,7,11,0,14,14,14,0.8,11.4
Jesse James,TE,DET,1,28,28,34,0,4,0,4,0.0,0.0
Tyler Kroft,TE,BUF,1,29,29,43,0,0,0,0,0.0,0.0
Nick Boyle,TE,BAL,1,35,35,76,0,11,11,11,7.8,22.3
MyCole Pruitt,TE,TEN,1,18,18,36,0,0,0,0,0.0,0.0
Blake Bell,TE,KC,1,34,34,41,0,0,0,0,0.0,0.0
Justin Hardy,WR,ATL,1,4,4,5,0,0,0,0,0.0,0.0
Tyler Lockett,WR,SEA,1,52,52,71,2,8,8,10,2.9,5.6
Breshad Perriman,WR,TB,1,56,56,67,0,7,4,7,1.7,3.0
Jamison Crowder,WR,NYJ,1,47,47,69,0,13,11,13,14.1,30.0
Ty Montgomery,RB,NYJ,1,5,5,7,0,0,0,0,0.0,0.0
Stefon Diggs,WR,MIN,1,58,58,81,0,10,5,10,4.9,8.4
Chris Manhertz,TE,CAR,1,23,23,32,0,0,0,0,0.0,0.0
