player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Darrell Daniels,TE,ARI,1,2,2,3,0,0,0,0,0.0,0.0,13
Isaiah McKenzie,WR,BUF,1,30,30,44,0,10,10,10,3.4,11.3,13
Gehrig Dieter,WR,KC,1,3,3,5,0,0,0,0,0.0,0.0,13
Blake Jarwin,TE,DAL,1,25,25,33,0,12,8,12,0.9,3.6,13
Aaron Jones,RB,GB,1,38,38,58,29,16,39,45,3.1,8.2,13
Alex Armah Jr.,RB,CAR,1,4,4,5,25,0,25,25,0.2,5.0,13
Ricky Seals-Jones,TE,CLE,1,14,14,21,0,0,0,0,0.0,0.0,13
Johnny Mundt,TE,LAR,1,23,23,29,0,4,0,4,0.0,0.0,13
Chris Carson,RB,SEA,1,39,39,52,59,5,62,64,16.9,43.3,13
David Moore,WR,SEA,1,10,10,13,0,40,20,40,12.5,125.0,13
Anthony Firkser,TE,TEN,1,19,19,32,0,21,16,21,2.2,11.6,13
Keelan Cole Sr.,WR,JAC,1,34,34,50,0,6,3,6,1.1,3.2,13
Dare Ogunbowale,RB,TB,1,23,23,31,4,9,13,13,1.2,5.2,13
Andre Patton,WR,LAC,1,38,38,61,0,5,3,5,0.8,2.1,13
Zach Pascal,WR,IND,1,70,70,100,0,14,10,14,10.9,15.6,13
Kendrick Bourne,WR,SF,1,24,24,44,0,13,13,13,4.2,17.5,13
Tyrone Swoopes,TE,SEA,1,12,12,16,0,0,0,0,0.0,0.0,13
Taysom Hill,QB,NO,1,13,13,26,15,15,38,38,16.5,126.9,13
Greg Ward,WR,PHI,1,29,29,41,0,10,3,10,0.5,1.7,13
Patrick Ricard,RB,BAL,1,26,26,41,0,8,4,8,0.0,0.0,13
Fred Brown,WR,DEN,1,1,1,2,0,0,0,0,0.0,0.0,13
Trey Edmunds,RB,PIT,1,3,3,5,0,0,0,0,0.0,0.0,13
Lamar Jackson,QB,BAL,1,64,64,100,25,0,61,61,22.3,34.8,13
Sam Darnold,QB,NYJ,1,72,72,100,3,0,69,69,10.5,14.6,13
Baker Mayfield,QB,CLE,1,64,64,97,2,0,52,52,9.0,14.1,13
Saquon Barkley,RB,NYG,1,63,63,95,30,11,35,41,11.5,18.3,13
Derrius Guice,RB,WAS,1,19,19,30,53,11,63,63,25.7,135.3,13
Ronald Jones II,RB,TB,1,21,21,28,29,0,29,29,0.8,3.8,13
Royce Freeman,RB,DEN,1,31,31,55,16,13,29,29,2.4,7.7,13
Nick Chubb,RB,CLE,1,39,39,59,41,5,44,46,7.9,20.3,13
Kalen Ballage,RB,MIA,1,11,11,15,27,9,27,36,0.0,0.0,13
Myles Gaskin,RB,MIA,1,16,16,22,13,6,19,19,2.6,16.3,13
Courtland Sutton,WR,DEN,1,55,55,98,0,9,7,9,19.4,35.3,13
James Washington,WR,PIT,1,40,40,71,0,10,10,10,17.1,42.8,13
Anthony Miller,WR,CHI,1,56,56,86,0,23,16,23,14.0,25.0,13
Marcell Ateman,WR,OAK,1,4,4,7,0,0,0,0,0.0,0.0,13
Calvin Ridley,WR,ATL,1,85,85,93,0,12,9,12,9.1,10.7,13
Michael Gallup,WR,DAL,1,67,67,88,0,10,4,10,6.3,9.4,13
Tre'Quan Smith,WR,NO,1,36,36,72,0,6,6,6,1.4,3.9,13
Deon Cain,WR,PIT,1,14,14,25,0,7,7,7,0.5,3.6,13
DJ Moore,WR,CAR,1,70,70,95,1,17,10,19,13.2,18.9,13
Trey Quinn,WR,WAS,1,7,7,11,0,14,0,14,0.0,0.0,13
Christian Kirk,WR,ARI,1,60,60,95,0,12,5,12,2.3,3.8,13
Mark Andrews,TE,BAL,1,28,28,44,0,21,11,21,11.0,39.3,13
Dallas Goedert,TE,PHI,1,39,39,55,0,18,15,18,6.6,16.9,13
Jaylen Samuels,RB,PIT,1,32,32,57,22,6,28,28,5.4,16.9,13
Mike Gesicki,TE,MIA,1,53,53,74,0,13,9,13,13.9,26.2,13
Troy Fumagalli,TE,DEN,1,15,15,27,0,0,0,0,0.0,0.0,13
Hayden Hurst,TE,BAL,1,23,23,36,0,17,13,17,2.1,9.1,13
Braxton Berrios,WR,NYJ,1,8,8,11,0,25,13,25,0.5,6.3,13
D.J. Chark Jr.,WR,JAC,1,62,62,91,0,8,3,8,4.7,7.6,13
Nyheim Hines,RB,IND,1,31,31,44,13,6,19,19,10.0,32.3,13
Josh Allen,QB,BUF,1,67,67,99,15,0,51,51,23.5,35.1,13
Bo Scarbrough,RB,DET,1,34,34,45,62,0,62,62,8.3,24.4,13
