player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Trayveon Williams,RB,CIN,1,3,3,5,0,0,0,0,0.0,0.0,13
Benny Snell Jr.,RB,PIT,1,20,20,36,80,5,85,85,12.7,63.5,13
Irv Smith Jr.,TE,MIN,1,46,46,85,0,7,2,7,0.6,1.3,13
Jace Sternberger,TE,GB,1,14,14,22,0,0,0,0,0.0,0.0,13
Diontae Johnson,WR,PIT,1,36,36,64,3,14,6,17,3.1,8.6,13
Darwin Thompson,RB,KC,1,23,23,35,48,0,48,48,10.4,45.2,13
Alexander Mattison,RB,MIN,1,26,26,48,15,19,31,35,7.3,28.1,13
Stanley Morgan Jr.,WR,CIN,1,22,22,34,0,9,0,9,0.0,0.0,13
Kerrith Whyte Jr.,RB,PIT,1,8,8,14,38,0,38,38,1.0,12.5,13
Dawson Knox,TE,BUF,1,52,52,76,0,8,6,8,1.7,3.3,13
Miles Boykin,WR,BAL,1,24,24,38,0,0,0,0,0.0,0.0,13
Ashton Dulin,WR,IND,1,40,40,57,0,3,3,3,1.3,3.3,13
Chandler Cox,RB,MIA,1,11,11,15,0,0,0,0,0.0,0.0,13
Tony Pollard,RB,DAL,1,11,11,14,27,9,27,36,0.7,6.4,13
Darius Slayton,WR,NYG,1,62,62,94,0,15,10,15,4.4,7.1,13
Bisi Johnson,WR,MIN,1,30,30,56,0,10,3,10,0.1,0.3,13
Andrew Beck,TE,DEN,1,16,16,29,0,6,6,6,1.1,6.9,13
David Blough,QB,DET,1,74,74,99,1,0,53,53,18.3,24.7,13
Stephen Carlson,TE,CLE,1,17,17,26,0,12,12,12,2.8,16.5,13
Michael Walker,WR,JAC,1,7,7,10,0,29,14,29,0.6,8.6,13
Carson Meier,TE,ATL,1,26,26,29,0,0,0,0,0.0,0.0,13
Hale Hentges,TE,WAS,1,30,30,47,0,3,0,3,0.0,0.0,13
Khari Blasingame,RB,TEN,1,10,10,17,0,0,0,0,0.0,0.0,13
Olamide Zaccheaus,WR,ATL,1,7,7,8,0,14,0,14,0.0,0.0,13
Jalen Guyton,WR,LAC,1,5,5,8,0,0,0,0,0.0,0.0,13
Steven Sims Jr.,WR,WAS,1,37,37,58,0,11,8,11,2.9,7.8,13
Ventell Bryant,WR,DAL,1,1,1,1,0,100,100,100,7.5,750.0,13
Charles Jones,TE,JAC,1,6,6,9,0,0,0,0,0.0,0.0,13
Damion Willis,WR,CIN,1,10,10,15,0,10,0,10,0.0,0.0,13
Devlin Hodges,QB,PIT,1,56,56,100,9,0,46,46,11.7,20.9,13
