Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,67,67,85,4,0,54,54,9.5,14.2
Adrian Peterson,RB,WAS,1,20,20,34,50,5,55,55,4.9,24.5
Benjamin Watson,TE,NE,1,47,47,69,0,2,0,2,0.0,0.0
Danny Amendola,WR,DET,1,46,46,62,0,7,7,7,2.1,4.6
Drew Brees,QB,NO,1,62,62,97,0,0,63,63,23.4,37.7
Frank Gore,RB,BUF,1,22,22,30,68,0,68,68,6.5,29.5
Greg Olsen,TE,CAR,1,68,68,91,0,10,7,10,4.4,6.5
Jared Cook,TE,NO,1,36,36,56,0,22,17,22,15.9,44.2
Jason Witten,TE,DAL,1,51,51,81,0,8,2,8,0.5,1.0
Julian Edelman,WR,NE,1,66,66,97,0,18,12,18,9.3,14.1
Marcedes Lewis,TE,GB,1,27,27,34,0,0,0,0,0.0,0.0
Matt Ryan,QB,ATL,1,74,74,87,1,0,64,64,8.6,11.6
Matt Schaub,QB,ATL,1,11,11,13,0,0,82,82,6.2,56.4
Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
Ryan Fitzpatrick,QB,MIA,1,63,63,100,8,0,70,70,25.1,39.8
Ted Ginn Jr.,WR,NO,1,36,36,56,0,14,6,14,3.8,10.6
Tom Brady,QB,NE,1,68,68,100,3,0,57,57,11.3,16.6
Golden Tate,WR,NYG,1,50,50,81,0,14,6,14,9.3,18.6
Andre Roberts,WR,BUF,1,4,4,5,0,0,0,0,0.0,0.0
Emmanuel Sanders,WR,SF,1,32,32,65,0,3,3,3,1.5,4.7
Jimmy Graham,TE,GB,1,38,38,48,0,5,3,5,0.7,1.8
Julio Jones,WR,ATL,1,48,48,56,0,21,10,21,6.8,14.2
Mark Ingram II,RB,BAL,1,24,24,31,63,4,67,67,23.8,99.2
Randall Cobb,WR,DAL,1,28,28,44,0,25,14,25,8.6,30.7
Luke Stocker,TE,ATL,1,31,31,36,0,3,0,3,0.0,0.0
Dion Lewis,RB,TEN,1,8,8,14,63,25,75,88,4.5,56.3
Lee Smith,TE,BUF,1,13,13,18,0,0,0,0,0.0,0.0
Robert Griffin III,QB,BAL,1,16,16,21,19,0,38,38,1.3,8.1
Ryan Tannehill,QB,TEN,1,53,53,95,13,0,47,47,32.4,61.1
Nick Foles,QB,JAC,1,85,85,100,4,0,60,60,14.9,17.5
Russell Wilson,QB,SEA,1,61,61,98,5,0,46,46,10.5,17.2
T.Y. Hilton,WR,IND,1,25,25,37,0,24,12,24,1.8,7.2
Marvin Jones Jr.,WR,DET,1,67,67,91,0,16,7,16,4.6,6.9
Brandon Bolden,RB,NE,1,7,7,10,14,0,14,14,1.1,15.7
Derek Carrier,TE,OAK,1,7,7,12,0,14,0,14,0.0,0.0
Case Keenum,QB,WAS,1,1,1,2,100,0,100,100,-0.1,-10.0
Josh Gordon,WR,SEA,1,20,20,32,0,10,5,10,1.0,5.0
Cole Beasley,WR,BUF,1,60,60,81,0,15,10,15,13.6,22.7
Garrett Celek,TE,SF,1,15,15,31,0,0,0,0,0.0,0.0
DeAndre Hopkins,WR,HOU,1,58,58,98,0,14,10,14,21.4,36.9
Robert Woods,WR,LAR,1,34,34,65,0,26,18,26,9.7,28.5
Kenny Stills,WR,HOU,1,36,36,61,0,6,3,6,0.6,1.7
Cordarrelle Patterson,RB,CHI,1,12,12,16,0,0,0,0,0.0,0.0
Tavon Austin,WR,DAL,1,13,13,21,0,8,0,8,0.0,0.0
Giovani Bernard,RB,CIN,1,21,21,37,5,14,19,19,3.0,14.3
